Wall time,Step,Value
1638731718.6608047,49,0.3359375
1638731719.3383574,99,0.3515625
1638731720.0303206,149,0.42578125
1638731720.7092977,199,0.46875
1638731721.3964658,249,0.49609375
1638731722.0834625,299,0.55859375
1638731723.7267413,349,0.625
1638731724.435704,399,0.5703125
1638731725.1354246,449,0.6484375
1638731725.8111012,499,0.59765625
1638731726.5043674,549,0.67578125
1638731727.1905713,599,0.64453125
1638731727.8610754,649,0.69140625
1638731729.450748,699,0.68359375
1638731730.1348438,749,0.63671875
1638731730.8174758,799,0.640625
1638731731.5126076,849,0.69921875
1638731732.2611272,899,0.69140625
1638731732.9450142,949,0.66796875
1638731733.6243734,999,0.671875
1638731735.4705749,1049,0.76171875
1638731736.1651385,1099,0.72265625
1638731736.9063823,1149,0.7109375
1638731737.5930586,1199,0.6875
1638731738.272833,1249,0.72265625
1638731738.9447944,1299,0.765625
1638731739.6328237,1349,0.671875
1638731741.2787158,1399,0.70703125
1638731741.9655385,1449,0.63671875
1638731742.641189,1499,0.7421875
1638731743.3161001,1549,0.71484375
1638731743.9995146,1599,0.71875
1638731744.6735146,1649,0.72265625
1638731745.3487422,1699,0.70703125
1638731746.967557,1749,0.7421875
1638731747.6444283,1799,0.7265625
1638731748.3237317,1849,0.734375
1638731748.995812,1899,0.7265625
1638731749.6799273,1949,0.75390625
1638731750.3510811,1999,0.7578125
1638731751.0275762,2049,0.734375
1638731752.2805114,2099,0.734375
1638731752.9556773,2149,0.6875
1638731753.6387026,2199,0.69921875
1638731754.3254287,2249,0.69140625
1638731754.9979866,2299,0.7421875
1638731755.6762948,2349,0.75
1638731756.3461916,2399,0.734375
1638731757.5982938,2449,0.73046875
1638731758.2855513,2499,0.70703125
1638731758.950044,2549,0.7578125
1638731759.6239772,2599,0.734375
1638731760.3031738,2649,0.69921875
1638731760.967986,2699,0.72265625
1638731762.2347808,2749,0.77734375
1638731762.909047,2799,0.77734375
1638731763.5722065,2849,0.7421875
1638731764.2518566,2899,0.734375
1638731764.916089,2949,0.7578125
1638731765.5879502,2999,0.78515625
1638731766.2566366,3049,0.69921875
1638731767.9097705,3099,0.7734375
1638731768.5888221,3149,0.7578125
1638731769.2701805,3199,0.79296875
1638731769.9426532,3249,0.78125
1638731770.6190622,3299,0.7734375
1638731771.3018556,3349,0.7421875
1638731771.9659438,3399,0.76171875
1638731773.6270869,3449,0.77734375
1638731774.314261,3499,0.734375
1638731774.991908,3549,0.78125
1638731775.687878,3599,0.796875
1638731776.3793478,3649,0.78515625
1638731777.0611854,3699,0.765625
1638731777.733132,3749,0.75
1638731779.4464781,3799,0.80859375
1638731780.1193295,3849,0.8359375
1638731780.7876277,3899,0.80078125
1638731781.456193,3949,0.79296875
1638731782.1382692,3999,0.77734375
1638731782.8195505,4049,0.8046875
1638731783.483149,4099,0.7578125
1638731785.1460285,4149,0.76953125
1638731785.8283606,4199,0.7890625
1638731786.5032294,4249,0.7890625
1638731787.1739788,4299,0.81640625
1638731787.8514216,4349,0.7734375
1638731788.5314717,4399,0.80859375
1638731789.2007358,4449,0.828125
1638731790.85259,4499,0.83984375
1638731791.5373518,4549,0.79296875
1638731792.208523,4599,0.80078125
1638731792.8822303,4649,0.8203125
1638731793.5672243,4699,0.84375
1638731794.262785,4749,0.8046875
1638731794.9465616,4799,0.75390625
1638731796.2018316,4849,0.8046875
1638731796.8812926,4899,0.8203125
1638731797.5721152,4949,0.78515625
1638731798.2427657,4999,0.8046875
1638731798.9119828,5049,0.80859375
1638731799.5932283,5099,0.8359375
1638731801.2595916,5149,0.83984375
1638731801.9344766,5199,0.8046875
1638731802.6051636,5249,0.84375
1638731803.29437,5299,0.8046875
1638731803.979546,5349,0.84765625
1638731804.666111,5399,0.8515625
1638731805.3555474,5449,0.765625
1638731807.0069997,5499,0.828125
1638731807.6941266,5549,0.86328125
1638731808.3694177,5599,0.828125
1638731809.063302,5649,0.83984375
1638731809.7657256,5699,0.80078125
1638731810.4671159,5749,0.80859375
1638731811.164631,5799,0.8359375
1638731812.8177295,5849,0.85546875
1638731813.5029807,5899,0.86328125
1638731814.1778083,5949,0.86328125
1638731814.9337966,5999,0.8515625
1638731815.673152,6049,0.8125
1638731816.3367717,6099,0.8359375
1638731817.021709,6149,0.828125
1638731818.9499574,6199,0.87890625
1638731819.640805,6249,0.8984375
1638731820.341161,6299,0.8515625
1638731821.0294297,6349,0.89453125
1638731821.7148044,6399,0.89453125
