Wall time,Step,Value
1638726589.164035,49,0.27734375
1638726589.8261821,99,0.3671875
1638726590.5063024,149,0.421875
1638726591.1819801,199,0.4921875
1638726591.8584268,249,0.47265625
1638726592.5180283,299,0.55859375
1638726594.1170037,349,0.6484375
1638726594.7960763,399,0.5625
1638726595.4433644,449,0.58203125
1638726596.105672,499,0.6171875
1638726596.7743247,549,0.5625
1638726597.4506335,599,0.6328125
1638726598.1202493,649,0.625
1638726599.7361913,699,0.734375
1638726600.4014144,749,0.66796875
1638726601.071424,799,0.703125
1638726601.8018093,849,0.6796875
1638726602.5314317,899,0.703125
1638726603.1914756,949,0.71484375
1638726603.847171,999,0.70703125
1638726605.6079586,1049,0.79296875
1638726606.323314,1099,0.6953125
1638726606.9967494,1149,0.7578125
1638726607.6769595,1199,0.65234375
1638726608.3354802,1249,0.68359375
1638726608.9907706,1299,0.7265625
1638726609.6725683,1349,0.68359375
1638726611.2603295,1399,0.7421875
1638726611.9243476,1449,0.7890625
1638726612.593204,1499,0.74609375
1638726613.257334,1549,0.7109375
1638726613.9184647,1599,0.70703125
1638726614.5729687,1649,0.6953125
1638726615.2500718,1699,0.76171875
1638726616.4524984,1749,0.7421875
1638726617.127454,1799,0.7578125
1638726617.801096,1849,0.75390625
1638726618.4858782,1899,0.6875
1638726619.1494653,1949,0.7109375
1638726619.814603,1999,0.68359375
1638726620.4751196,2049,0.734375
1638726621.6912282,2099,0.75390625
1638726622.3631198,2149,0.734375
1638726623.0347824,2199,0.6875
1638726623.6893663,2249,0.6875
1638726624.3639193,2299,0.734375
1638726625.0351834,2349,0.73828125
1638726625.7023046,2399,0.73046875
1638726626.887154,2449,0.7578125
1638726627.557746,2499,0.69140625
1638726628.2331607,2549,0.75390625
1638726628.904161,2599,0.734375
1638726629.5617292,2649,0.66796875
1638726630.2255783,2699,0.734375
1638726631.8955562,2749,0.79296875
1638726632.5566363,2799,0.75390625
1638726633.222935,2849,0.75390625
1638726633.8994005,2899,0.71875
1638726634.56778,2949,0.72265625
1638726635.2257602,2999,0.71484375
1638726635.8827968,3049,0.7421875
1638726637.5229075,3099,0.80859375
1638726638.2183313,3149,0.734375
1638726638.8923776,3199,0.7890625
1638726639.5597775,3249,0.7421875
1638726640.2170715,3299,0.76171875
1638726640.8893719,3349,0.75390625
1638726641.567697,3399,0.734375
1638726643.2803607,3449,0.796875
1638726643.9550145,3499,0.75390625
1638726644.6261191,3549,0.765625
1638726645.2872906,3599,0.72265625
1638726645.9501448,3649,0.77734375
1638726646.6120584,3699,0.765625
1638726647.2720234,3749,0.76171875
1638726648.4958355,3799,0.8203125
1638726649.1724222,3849,0.76171875
1638726649.8571165,3899,0.7265625
1638726650.520901,3949,0.7734375
1638726651.1955786,3999,0.73828125
1638726651.8588316,4049,0.796875
1638726652.5466545,4099,0.76953125
1638726654.2198212,4149,0.7734375
1638726654.891722,4199,0.79296875
1638726655.5614583,4249,0.80078125
1638726656.2391458,4299,0.74609375
1638726656.9284494,4349,0.76953125
1638726657.5952942,4399,0.78515625
1638726658.2697937,4449,0.7734375
1638726659.4782598,4499,0.84375
1638726660.152944,4549,0.8359375
1638726660.8073282,4599,0.81640625
1638726661.484046,4649,0.79296875
1638726662.1696553,4699,0.8203125
1638726662.830994,4749,0.75
1638726663.4982314,4799,0.80859375
1638726665.0486944,4849,0.83984375
1638726665.7061682,4899,0.78125
1638726666.3715127,4949,0.796875
1638726667.0434744,4999,0.7578125
1638726667.7041492,5049,0.8046875
1638726668.3678102,5099,0.84765625
1638726669.9579039,5149,0.84375
1638726670.6316345,5199,0.8671875
1638726671.2980776,5249,0.76953125
1638726671.9586134,5299,0.80078125
1638726672.623875,5349,0.83984375
1638726673.300754,5399,0.796875
1638726673.9721205,5449,0.79296875
1638726675.57529,5499,0.8671875
1638726676.2485638,5549,0.79296875
1638726676.9264503,5599,0.8125
1638726677.6091368,5649,0.8359375
1638726678.3784742,5699,0.80078125
1638726679.0511506,5749,0.828125
1638726679.735936,5799,0.83203125
1638726681.3642507,5849,0.84765625
1638726682.0492325,5899,0.85546875
1638726682.8013582,5949,0.88671875
1638726683.4619124,5999,0.83984375
1638726684.2008333,6049,0.8515625
