Wall time,Step,Value
1638725479.5867074,49,0.25390625
1638725480.2670052,99,0.390625
1638725480.9395287,149,0.55859375
1638725481.6230667,199,0.58203125
1638725482.2886777,249,0.625
1638725482.942477,299,0.6171875
1638725483.6050427,349,0.6875
1638725484.2761796,399,0.70703125
1638725484.956186,449,0.7421875
1638725485.6431406,499,0.7421875
1638725486.3230088,549,0.765625
1638725486.9970188,599,0.75
1638725487.7073464,649,0.75
1638725489.4950163,699,0.78125
1638725490.1668043,749,0.84765625
1638725490.8342707,799,0.8359375
1638725491.5097818,849,0.828125
1638725492.1820555,899,0.87109375
1638725492.8807907,949,0.8125
1638725493.5571866,999,0.859375
1638725494.2394981,1049,0.8046875
1638725494.9129746,1099,0.8671875
1638725495.6066608,1149,0.86328125
1638725496.2807674,1199,0.859375
1638725496.9370334,1249,0.875
1638725497.633655,1299,0.8571428656578064
1638725499.4350133,1349,0.86328125
1638725500.1130626,1399,0.86328125
1638725500.7925174,1449,0.90234375
1638725501.4751747,1499,0.84765625
1638725502.1403973,1549,0.85546875
1638725502.8175762,1599,0.84765625
1638725503.5003722,1649,0.83203125
1638725504.1705248,1699,0.875
1638725504.8337843,1749,0.875
1638725505.5217896,1799,0.85546875
1638725506.205012,1849,0.88671875
1638725506.892384,1899,0.859375
1638725507.585124,1949,0.7678571343421936
1638725509.3687599,1999,0.859375
1638725510.0382462,2049,0.87890625
1638725510.7023106,2099,0.89453125
1638725511.3728387,2149,0.86328125
1638725512.039061,2199,0.8515625
1638725512.7150896,2249,0.875
1638725513.3977158,2299,0.85546875
1638725514.072198,2349,0.8828125
1638725514.7522244,2399,0.875
1638725515.4285963,2449,0.875
1638725516.0891428,2499,0.859375
1638725516.765105,2549,0.8828125
1638725517.4586153,2599,0.875
1638725518.8580685,2649,0.87109375
1638725519.512998,2699,0.8671875
1638725520.1644564,2749,0.84765625
1638725520.8358107,2799,0.85546875
1638725521.5009747,2849,0.86328125
1638725522.174749,2899,0.85546875
1638725522.8400605,2949,0.89453125
1638725523.5081294,2999,0.859375
1638725524.1723602,3049,0.87890625
1638725524.916021,3099,0.875
1638725525.6042118,3149,0.84375
1638725526.2729437,3199,0.8828125
1638725526.9851587,3249,0.8571428656578064
1638725528.4122055,3299,0.84765625
1638725529.0786684,3349,0.87890625
1638725529.7559688,3399,0.90625
1638725530.4329524,3449,0.86328125
1638725531.153632,3499,0.8828125
1638725531.8109376,3549,0.87890625
1638725532.4889987,3599,0.88671875
1638725533.170357,3649,0.875
1638725533.8400571,3699,0.88671875
1638725534.5107365,3749,0.90234375
1638725535.1697865,3799,0.8828125
1638725535.8331244,3849,0.8828125
1638725536.5754108,3899,0.7678571343421936
1638725537.963337,3949,0.9140625
1638725538.640738,3999,0.8671875
1638725539.310681,4049,0.89453125
1638725539.9766858,4099,0.84765625
1638725540.654115,4149,0.85546875
1638725541.3139546,4199,0.84375
1638725541.9711883,4249,0.89453125
1638725542.6359317,4299,0.84765625
1638725543.318993,4349,0.859375
