word,phonemes,label
abadžija,start,B
abadžija,start B,AE
abadžija,start B AE,JH
abadžija,start B AE JH,IH
abadžija,start B AE JH IH,Y
abadžija,start B AE JH IH Y,AE
abadžija,start B AE JH IH Y AE,stop
abaiti,start,AE
abaiti,start AE,B
abaiti,start AE B,AE
abaiti,start AE B AE,IH
abaiti,start AE B AE IH,T
abaiti,start AE B AE IH T,IH
abaiti,start AE B AE IH T IH,stop
abak,start,B
abak,start B,AE
abak,start B AE,K
abak,start B AE K,stop
abažur,start,AE
abažur,start AE,B
abažur,start AE B,ZH
abažur,start AE B ZH,UW
abažur,start AE B ZH UW,R
abažur,start AE B ZH UW R,stop
abdest,start,B
abdest,start B,D
abdest,start B D,EH
abdest,start B D EH,S
abdest,start B D EH S,T
abdest,start B D EH S T,stop
abdikacija,start,AE
abdikacija,start AE,B
abdikacija,start AE B,D
abdikacija,start AE B D,IH
abdikacija,start AE B D IH,K
abdikacija,start AE B D IH K,IH
abdikacija,start AE B D IH K IH,Y
abdikacija,start AE B D IH K IH Y,AE
abdikacija,start AE B D IH K IH Y AE,stop
abdomen,start,AE
abdomen,start AE,B
abdomen,start AE B,D
abdomen,start AE B D,M
abdomen,start AE B D M,EH
abdomen,start AE B D M EH,N
abdomen,start AE B D M EH N,stop
abdomenski,start,AE
abdomenski,start AE,B
abdomenski,start AE B,D
abdomenski,start AE B D,M
abdomenski,start AE B D M,EH
abdomenski,start AE B D M EH,N
abdomenski,start AE B D M EH N,S
abdomenski,start AE B D M EH N S,K
abdomenski,start AE B D M EH N S K,IH
abdomenski,start AE B D M EH N S K IH,stop
abdominalan,start,B
abdominalan,start B,D
abdominalan,start B D,OH
abdominalan,start B D OH,M
abdominalan,start B D OH M,IH
abdominalan,start B D OH M IH,N
abdominalan,start B D OH M IH N,AE
abdominalan,start B D OH M IH N AE,L
abdominalan,start B D OH M IH N AE L,AE
abdominalan,start B D OH M IH N AE L AE,N
abdominalan,start B D OH M IH N AE L AE N,stop
abeceda,start,AE
abeceda,start AE,B
abeceda,start AE B,EH
abeceda,start AE B EH,D
abeceda,start AE B EH D,AE
abeceda,start AE B EH D AE,stop
abecedar,start,AE
abecedar,start AE,B
abecedar,start AE B,EH
abecedar,start AE B EH,D
abecedar,start AE B EH D,AE
abecedar,start AE B EH D AE,R
abecedar,start AE B EH D AE R,stop
abecedarij,start,AE
abecedarij,start AE,B
abecedarij,start AE B,EH
abecedarij,start AE B EH,D
abecedarij,start AE B EH D,AE
abecedarij,start AE B EH D AE,R
abecedarij,start AE B EH D AE R,IH
abecedarij,start AE B EH D AE R IH,Y
abecedarij,start AE B EH D AE R IH Y,stop
abecedni,start,B
abecedni,start B,EH
abecedni,start B EH,EH
abecedni,start B EH EH,D
abecedni,start B EH EH D,N
abecedni,start B EH EH D N,IH
abecedni,start B EH EH D N IH,stop
abesinija,start,AE
abesinija,start AE,B
abesinija,start AE B,EH
abesinija,start AE B EH,S
abesinija,start AE B EH S,N
abesinija,start AE B EH S N,IH
abesinija,start AE B EH S N IH,Y
abesinija,start AE B EH S N IH Y,AE
abesinija,start AE B EH S N IH Y AE,stop
abesinski,start,AE
abesinski,start AE,B
abesinski,start AE B,S
abesinski,start AE B S,IH
abesinski,start AE B S IH,N
abesinski,start AE B S IH N,S
abesinski,start AE B S IH N S,K
abesinski,start AE B S IH N S K,IH
abesinski,start AE B S IH N S K IH,stop
abhaski,start,B
abhaski,start B,AE
abhaski,start B AE,S
abhaski,start B AE S,K
abhaski,start B AE S K,IH
abhaski,start B AE S K IH,stop
abhaz,start,B
abhaz,start B,AE
abhaz,start B AE,Z
abhaz,start B AE Z,stop
abhazija,start,B
abhazija,start B,AE
abhazija,start B AE,Z
abhazija,start B AE Z,IH
abhazija,start B AE Z IH,Y
abhazija,start B AE Z IH Y,AE
abhazija,start B AE Z IH Y AE,stop
abhažanka,start,AE
abhažanka,start AE,B
abhažanka,start AE B,ZH
abhažanka,start AE B ZH,AE
abhažanka,start AE B ZH AE,N
abhažanka,start AE B ZH AE N,K
abhažanka,start AE B ZH AE N K,AE
abhažanka,start AE B ZH AE N K AE,stop
abidjan,start,B
abidjan,start B,IH
abidjan,start B IH,JH
abidjan,start B IH JH,AE
abidjan,start B IH JH AE,N
abidjan,start B IH JH AE N,stop
abidžan,start,B
abidžan,start B,IH
abidžan,start B IH,JH
abidžan,start B IH JH,AE
abidžan,start B IH JH AE,N
abidžan,start B IH JH AE N,stop
ablacija,start,AE
ablacija,start AE,B
ablacija,start AE B,L
ablacija,start AE B L,IH
ablacija,start AE B L IH,Y
ablacija,start AE B L IH Y,AE
ablacija,start AE B L IH Y AE,stop
ablaut,start,B
ablaut,start B,L
ablaut,start B L,AE
ablaut,start B L AE,UW
ablaut,start B L AE UW,T
ablaut,start B L AE UW T,stop
abnormalan,start,B
abnormalan,start B,N
