word,phonemes,label
eliksir,start EH L K S IH R,stop
furiozno,start F R,IH
raspoznatljivost,start R AE S P OH Z N,T
neusporediv,start N EH UW,S
selica,start S L IH,AE
ekscentričan,start EH K S N T R IH CH AE N,stop
uzica,start Z,IH
apsorbirati,start AE P S OH R B R,AE
oposum,start,P
kretenčina,start K R EH,T
arzuhal,start AE,R
umišljati,start UW M SH AE T IH,stop
pohotno,start,P
bar,start,B
porudžbina,start P R,UW
nastaviti,start,N
superiornost,start S UW P EH R IH,R
papak,start P P AE,K
kremljolog,start K R,EH
primalac,start P R M AE L AE,stop
jednosoban,start Y EH D N S OH B AE N,stop
krištanovečki,start K R,IH
krampaški,start,K
severnjak,start S EH R AE K,stop
vagon,start G OH,N
sastavčić,start S S,T
individualizam,start IH N D IH IH D UW AE L,Z
božikovina,start B OH ZH K OH IH N,AE
komad,start K M AE D,stop
specijalitet,start,S
prljavac,start P,R
kurzivni,start,K
akumulatorski,start AE K UW M UW L T,OH
telegraf,start T,EH
human,start,M
knežev,start K N ZH EH,stop
uspjeh,start S P Y,EH
volovski,start L OH S K IH,stop
figurativno,start F,G
bibliotečni,start B IH B L IH T EH CH N IH,stop
amoralnost,start AE M OH R L,N
neuništivost,start N EH UW N SH T,IH
verbalistički,start EH R B AE L S T,IH
kampanologija,start K AE M P AE N OH,L
tradicija,start T R,D
egoističan,start EH G OH S T IH CH AE,N
odbojkaški,start OH D B Y K AE SH K IH,stop
neznabožac,start N,EH
pohota,start P OH T,AE
šimpanza,start SH IH M P N Z AE,stop
prepričavati,start P R,EH
krstopuće,start,K
lima,start L M AE,stop
potražiti,start P OH T R ZH,IH
misir,start M S IH R,stop
hazardni,start,Z
kancerozan,start K N,EH
bitanga,start B T AE N G,AE
zamerka,start Z M EH R,K
teritorijalni,start,T
doktorand,start D OH,K
zdravlje,start Z D,R
lisice,start,L
kvalitativan,start K L IH T AE T IH AE N,stop
italijanka,start IH T AE L,Y
suicidalan,start S IH IH,D
nacionalistički,start N AE T S IH OH N AE L S T,IH
violončelo,start IH OH L N CH EH,L
planirati,start P L,AE
striptizer,start S T R IH P T Z EH,R
kostrika,start K S T R,IH
štucati,start,SH
mjestimičan,start M Y S T IH M IH CH AE,N
akreditiv,start AE K R EH D T IH,stop
druželjubiv,start D R UW ZH EH,B
montanizam,start M OH N T AE,N
mišićni,start M SH IH N IH,stop
užasno,start ZH AE S N OH,stop
isceljivati,start IH S EH AE,T
adresa,start AE D R S,AE
grk,start G,R
protivno,start P R T IH,N
patricijski,start P AE T R T,S
redovit,start R EH D IH,T
proizvodni,start P R IH,Z
čvrsnuti,start CH R,S
četvrtina,start CH EH T T,IH
omamljivati,start OH M AE M AE,T
antikvar,start AE N T K,AE
zlotvoran,start Z,L
prosperirati,start P R OH S,P
betula,start B T,UW
preksutra,start P R K S UW T R,AE
rasprodaja,start,R
dozvoljavati,start D OH Z OH,AE
sustanar,start S S T AE N AE,R
srodnost,start S,R
saft,start S,F
ushićeno,start S IH EH,N
očekivano,start OH CH K IH AE N OH,stop
vojnički,start Y N IH CH,K
umnažati,start UW M N ZH AE T,IH
svladavati,start S L AE D,AE
robusnost,start R B,UW
sastojak,start S S T OH Y,AE
legislativan,start L G IH S L AE T,IH
kukumar,start K,K
spljoštiti,start S P SH,T
lobotomija,start L OH B OH T,M
balčak,start,B
oznaka,start Z,N
erevan,start R EH AE,N
bengalski,start B N G AE L,S
prilagodljivost,start P,R
alveola,start AE L EH,L
savez,start,S
kritizirati,start K R IH T IH Z R AE T,IH
slišati,start S L SH AE T IH,stop
inventivnost,start IH N EH,N
oslobađati,start OH S L OH B,AE
lenjingrad,start L,IH
konzul,start K N Z,UW
trojak,start,T
bijeliti,start B IH Y L IH T,IH
polumesečni,start P L UW M EH S EH CH N IH,stop
uceniti,start UW N IH T IH,stop
neprimjetljiv,start,N
kobilica,start K,B
ispatiti,start S P AE T IH,T
đumrugdžija,start UW M R,G
smirivati,start S M,IH
imperfektivizacija,start IH M P EH R F EH K T IH IH Z,IH
fizioterapijski,start F IH Z IH OH,T
zeba,start Z,B
krakovski,start K R K OH S K IH,stop
nezgrapan,start N Z G R AE,P
odjedanput,start OH D Y EH D N P UW T,stop
uprava,start P R AE AE,stop
objektivno,start B Y,EH
nacionalistički,start,N
primjetan,start,P
konfuzija,start K N F UW Z,IH
jahve,start,Y
kerber,start,K
siromašan,start S IH R M AE SH AE,N
pretrpeti,start P R EH T P,EH
prodajni,start P R D AE Y,N
presuda,start P R S UW,D
dezorganizacija,start D EH Z,OH
švanjiti,start SH IH T,IH
zaudarati,start Z AE D AE,R
nakot,start N,K
isprava,start S P R AE,AE
žderati,start ZH D R AE T,IH
zabugariti,start Z AE B UW G R IH,T
neprecizan,start,N
vještačiti,start Y EH SH T CH,IH
oblizati,start OH B L Z AE T IH,stop
eritreja,start,EH
krampaš,start,K
kobilica,start K B,IH
kubanac,start K UW B N,AE
poznavati,start,P
hormonalan,start R M OH N,AE
umetnički,start M EH T,N
napulj,start,N
formalistički,start F OH R M AE L S T IH CH K IH,stop
nepresušan,start N P R EH,S
racionalistkinja,start R AE IH OH N L IH S,T
odnekud,start D N EH K,UW
uznemiravati,start UW Z N EH M IH R AE,T
metateza,start M EH T T EH,Z
idealist,start IH D EH L,IH
kvartet,start K R,T
evanđeoski,start EH AE N EH,S
razaznati,start R AE,Z
počinuti,start,P
rudište,start R D IH SH T,EH
poroditi,start P OH R D IH,T
neudat,start N UW D,AE
ikakav,start K AE K,AE
bezbožan,start B,Z
prosjakinja,start P R,OH
šamizen,start SH M IH Z,EH
odstranjivati,start OH D S T R,AE
aklimatizacija,start AE K L IH M AE T IH Z IH Y AE,stop
troglodit,start T R OH G,L
utovarivati,start UW T OH AE,R
narukvica,start N R UW K IH,AE
ugrožavati,start UW G R OH ZH AE,T
špotati,start SH,P
teniski,start T,N
letonija,start L T OH N IH Y,AE
krmetina,start K,M
razdražiti,start R,AE
neuspjeh,start N UW,S
sestrinski,start S S T R,IH
stotina,start S T T IH,N
probava,start P,R
pribosti,start P R B OH S T,IH
cvijetak,start IH Y T AE K,stop
totalitaran,start T T AE L IH T,AE
besparica,start B S P AE R IH AE,stop
zadovoljavati,start Z AE D OH OH AE T,IH
dostupnost,start D S T UW P N OH,S
opreka,start P R EH K AE,stop
sprečavati,start S P,R
zvuk,start Z,K
potanko,start P,T
koromač,start K OH R,M
bas,start,B
osnivački,start OH S N AE CH,K
rešetka,start,R
odveć,start D EH,stop
bezuspješnost,start B EH Z S,P
pogrešan,start,P
bezličnost,start B,Z
autonomaštvo,start AE UW T,OH
rodjen,start R,D
sačinjavati,start S AE CH,IH
simbolizirati,start S IH M B OH,L
rečnički,start R CH N IH CH,K
krivodočanin,start K R IH,OH
neumerenost,start N EH M EH R EH N,OH
draga,start D R G,AE
pokretač,start P OH K R T,AE
izmenično,start Z M EH N IH,CH
autonomistički,start,AE
spektralan,start S P K T,R
sintetički,start S IH N T T IH T SH,K
most,start M S T,stop
čudotvoran,start CH D OH,T
kontemplativan,start K N,T
masovno,start M S OH,N
amortizacijski,start AE M OH,R
haški,start SH K,IH
vitrina,start IH,T
krčati,start K CH AE T IH,stop
naježiti,start N,AE
zemljište,start Z,M
nadvijati,start N AE D Y AE T,IH
pokušavati,start P OH K UW SH AE T,IH
šampion,start SH AE M P OH,N
suvislo,start S IH S L,OH
stroj,start S T R,Y
banditski,start B N D IH T S,K
liker,start L K,EH
iračanin,start,IH
brodograditelj,start B R OH D OH,G
izobilje,start Z OH,B
trbuhozborac,start T R B,UW
raznosački,start R AE Z N S AE T SH K,IH
konoba,start,K
selektivan,start S L EH,K
ter,start T EH R,stop
porijeklo,start P,OH
žongler,start ZH N,G
hrvatski,start AE T S K,IH
miroljubiv,start M IH R OH B IH,stop
plavojka,start P L OH Y K AE,stop
kititi,start K T IH T IH,stop
oblizivati,start OH B L IH Z AE,T
nabavljačica,start N AE B AE CH,IH
dlanovnik,start D L N OH N IH,K
iskušavati,start IH S K,UW
izoštriti,start IH Z SH T R IH,T
skandal,start,S
najezda,start,N
razgovor,start R Z G OH,OH
nervozan,start N,R
kestenov,start K S T EH,N
kontroverzija,start K OH N T R OH R Z IH Y,AE
majmunče,start M,Y
šprih,start SH,P
sjevernoafrički,start S Y EH EH,R
preraspodela,start P R EH R S P OH,D
koliba,start K L IH B,AE
stratigrafija,start S T,R
bihevioristički,start B IH EH IH OH R,S
žonglirati,start ZH OH N G L R AE T,IH
sindikat,start S IH N D K AE,T
pokraj,start P,K
imaginarno,start M AE G IH N AE R N OH,stop
licemjerka,start L,EH
prigovarati,start P R IH G OH,R
španati,start SH P N AE T,IH
arzuhal,start AE R Z,AE
