word,phonemes,label
r,start,AX
r,start AX,R
r,start AX R,stop
s,start,S
s,start S,stop
a,start,AE
a,start AE,stop
aagje,start,AE
aagje,start AE,Y
aagje,start AE Y,AX
aagje,start AE Y AX,stop
aagt,start,AE
aagt,start AE,T
aagt,start AE T,stop
aagtappel,start,AE
aagtappel,start AE,T
aagtappel,start AE T,AA
aagtappel,start AE T AA,P
aagtappel,start AE T AA P,AX
aagtappel,start AE T AA P AX,L
aagtappel,start AE T AA P AX L,stop
aai,start,AE
aai,start AE,IH
aai,start AE IH,stop
aaibaarheid,start,AE
aaibaarheid,start AE,IH
aaibaarheid,start AE IH,B
aaibaarheid,start AE IH B,AE
aaibaarheid,start AE IH B AE,R
aaibaarheid,start AE IH B AE R,EH
aaibaarheid,start AE IH B AE R EH,IH
aaibaarheid,start AE IH B AE R EH IH,T
aaibaarheid,start AE IH B AE R EH IH T,stop
aaien,start,AE
aaien,start AE,IH
aaien,start AE IH,AX
aaien,start AE IH AX,N
aaien,start AE IH AX N,stop
aaiing,start,AE
aaiing,start AE,IH
aaiing,start AE IH,IH
aaiing,start AE IH IH,NG
aaiing,start AE IH IH NG,stop
aalbert,start,AE
aalbert,start AE,L
aalbert,start AE L,B
aalbert,start AE L B,EH
aalbert,start AE L B EH,R
aalbert,start AE L B EH R,T
aalbert,start AE L B EH R T,stop
aalbes,start,AE
aalbes,start AE,L
aalbes,start AE L,B
aalbes,start AE L B,EH
aalbes,start AE L B EH,S
aalbes,start AE L B EH S,stop
aalbessenjam,start,AE
aalbessenjam,start AE,L
aalbessenjam,start AE L,B
aalbessenjam,start AE L B,EH
aalbessenjam,start AE L B EH,S
aalbessenjam,start AE L B EH S,AX
aalbessenjam,start AE L B EH S AX,N
aalbessenjam,start AE L B EH S AX N,ZH
aalbessenjam,start AE L B EH S AX N ZH,EH
aalbessenjam,start AE L B EH S AX N ZH EH,M
aalbessenjam,start AE L B EH S AX N ZH EH M,stop
aalbessesap,start,AE
aalbessesap,start AE,L
aalbessesap,start AE L,B
aalbessesap,start AE L B,EH
aalbessesap,start AE L B EH,S
aalbessesap,start AE L B EH S,AX
aalbessesap,start AE L B EH S AX,S
aalbessesap,start AE L B EH S AX S,AA
aalbessesap,start AE L B EH S AX S AA,P
aalbessesap,start AE L B EH S AX S AA P,stop
aalbrecht,start,AE
aalbrecht,start AE,L
aalbrecht,start AE L,B
aalbrecht,start AE L B,R
aalbrecht,start AE L B R,EH
aalbrecht,start AE L B R EH,T
aalbrecht,start AE L B R EH T,stop
aalderik,start,AE
aalderik,start AE,L
aalderik,start AE L,D
aalderik,start AE L D,AX
aalderik,start AE L D AX,R
aalderik,start AE L D AX R,IH
aalderik,start AE L D AX R IH,K
aalderik,start AE L D AX R IH K,stop
aaldert,start,AE
aaldert,start AE,L
aaldert,start AE L,D
aaldert,start AE L D,AX
aaldert,start AE L D AX,R
aaldert,start AE L D AX R,T
aaldert,start AE L D AX R T,stop
aalgeer,start,AE
aalgeer,start AE,L
aalgeer,start AE L,EH
aalgeer,start AE L EH,R
aalgeer,start AE L EH R,stop
aalglad,start,AE
