word,phonemes,label
cause,start,K
cause,start K,AH
cause,start K AH,Z
cause,start K AH Z,stop
course,start,K
course,start K,AO
course,start K AO,R
course,start K AO R,S
course,start K AO R S,stop
n,start,AH
n,start AH,N
n,start AH N,stop
aalen,start,AE
aalen,start AE,L
aalen,start AE L,AH
aalen,start AE L AH,N
aalen,start AE L AH N,#
aardvark,start,AA
aardvark,start AA,R
aardvark,start AA R,D
aardvark,start AA R D,V
aardvark,start AA R D V,AA
aardvark,start AA R D V AA,R
aardvark,start AA R D V AA R,K
aardvark,start AA R D V AA R K,stop
abadi,start,AH
abadi,start AH,B
abadi,start AH B,AE
abadi,start AH B AE,D
abadi,start AH B AE D,IY
abadi,start AH B AE D IY,stop
abated,start,AH
abated,start AH,B
abated,start AH B,EY
abated,start AH B EY,T
abated,start AH B EY T,IH
abated,start AH B EY T IH,D
abated,start AH B EY T IH D,stop
abbott,start,AE
abbott,start AE,B
abbott,start AE B,AH
abbott,start AE B AH,T
abbott,start AE B AH T,stop
abbreviations,start,AH
abbreviations,start AH,B
abbreviations,start AH B,R
abbreviations,start AH B R,IY
abbreviations,start AH B R IY,V
abbreviations,start AH B R IY V,IY
abbreviations,start AH B R IY V IY,EY
abbreviations,start AH B R IY V IY EY,SH
abbreviations,start AH B R IY V IY EY SH,AH
abbreviations,start AH B R IY V IY EY SH AH,N
abbreviations,start AH B R IY V IY EY SH AH N,Z
abbreviations,start AH B R IY V IY EY SH AH N Z,stop
abdicate,start,AE
abdicate,start AE,B
abdicate,start AE B,D
abdicate,start AE B D,AH
abdicate,start AE B D AH,K
abdicate,start AE B D AH K,EY
abdicate,start AE B D AH K EY,T
abdicate,start AE B D AH K EY T,stop
abdicates,start,AE
abdicates,start AE,B
abdicates,start AE B,D
abdicates,start AE B D,AH
abdicates,start AE B D AH,K
abdicates,start AE B D AH K,EY
abdicates,start AE B D AH K EY,T
abdicates,start AE B D AH K EY T,S
abdicates,start AE B D AH K EY T S,stop
abdicating,start,AE
abdicating,start AE,B
abdicating,start AE B,D
abdicating,start AE B D,IH
abdicating,start AE B D IH,K
abdicating,start AE B D IH K,EY
abdicating,start AE B D IH K EY,T
abdicating,start AE B D IH K EY T,IH
abdicating,start AE B D IH K EY T IH,NG
abdicating,start AE B D IH K EY T IH NG,stop
abdnor,start,AE
abdnor,start AE,B
abdnor,start AE B,D
abdnor,start AE B D,N
abdnor,start AE B D N,ER
abdnor,start AE B D N ER,stop
abdo,start,AE
abdo,start AE,B
abdo,start AE B,D
abdo,start AE B D,OW
abdo,start AE B D OW,stop
abdollah,start,AE
abdollah,start AE,B
abdollah,start AE B,D
abdollah,start AE B D,AA
abdollah,start AE B D AA,L
abdollah,start AE B D AA L,AH
abdollah,start AE B D AA L AH,stop
abduction,start,AE
abduction,start AE,B
abduction,start AE B,D
abduction,start AE B D,AH
abduction,start AE B D AH,K
abduction,start AE B D AH K,SH
abduction,start AE B D AH K SH,AH
abduction,start AE B D AH K SH AH,N
abduction,start AE B D AH K SH AH N,stop
abductions,start,AE
abductions,start AE,B
abductions,start AE B,D
abductions,start AE B D,AH
abductions,start AE B D AH,K
abductions,start AE B D AH K,SH
abductions,start AE B D AH K SH,AH
abductions,start AE B D AH K SH AH,N
abductions,start AE B D AH K SH AH N,Z
abductions,start AE B D AH K SH AH N Z,stop
abductor,start,AE
abductor,start AE,B
abductor,start AE B,D
abductor,start AE B D,AH
abductor,start AE B D AH,K
abductor,start AE B D AH K,T
abductor,start AE B D AH K T,ER
abductor,start AE B D AH K T ER,stop
abele,start,AH
abele,start AH,B
abele,start AH B,EH
abele,start AH B EH,L
abele,start AH B EH L,stop
aberg,start,AE
aberg,start AE,B
aberg,start AE B,ER
aberg,start AE B ER,G
aberg,start AE B ER G,stop
abernathy,start,AE
abernathy,start AE,B
abernathy,start AE B,ER
abernathy,start AE B ER,N
abernathy,start AE B ER N,AE
abernathy,start AE B ER N AE,TH
abernathy,start AE B ER N AE TH,IY
abernathy,start AE B ER N AE TH IY,stop
abiding,start,AH
abiding,start AH,B
abiding,start AH B,AY
abiding,start AH B AY,D
abiding,start AH B AY D,IH
abiding,start AH B AY D IH,NG
abiding,start AH B AY D IH NG,stop
abie,start,AE
abie,start AE,B
abie,start AE B,IY
abie,start AE B IY,stop
abloom,start,AH
abloom,start AH,B
