word,phonemes,label
a,start,AE
a,start AE,stop
abbadís,start,AE
abbadís,start AE,P
abbadís,start AE P,AE
abbadís,start AE P AE,T
abbadís,start AE P AE T,IH
abbadís,start AE P AE T IH,S
abbadís,start AE P AE T IH S,stop
ada,start,AE
ada,start AE,T
ada,start AE T,AE
ada,start AE T AE,stop
adamsepli,start,AE
adamsepli,start AE,D
adamsepli,start AE D,AE
adamsepli,start AE D AE,M
adamsepli,start AE D AE M,S
adamsepli,start AE D AE M S,EH
adamsepli,start AE D AE M S EH,HH
adamsepli,start AE D AE M S EH HH,P
adamsepli,start AE D AE M S EH HH P,L
adamsepli,start AE D AE M S EH HH P L,IH
adamsepli,start AE D AE M S EH HH P L IH,stop
adda,start,AE
adda,start AE,T
adda,start AE T,AE
adda,start AE T AE,stop
af,start,AE
af,start AE,V
af,start AE V,stop
afar,start,AE
afar,start AE,V
afar,start AE V,AE
afar,start AE V AE,R
afar,start AE V AE R,stop
afbaka,start,AE
afbaka,start AE,V
afbaka,start AE V,P
afbaka,start AE V P,AE
afbaka,start AE V P AE,K
afbaka,start AE V P AE K,AE
afbaka,start AE V P AE K AE,stop
afbrigði,start,AE
afbrigði,start AE,V
afbrigði,start AE V,P
afbrigði,start AE V P,R
afbrigði,start AE V P R,IH
afbrigði,start AE V P R IH,DH
afbrigði,start AE V P R IH DH,IH
afbrigði,start AE V P R IH DH IH,stop
afbrigðilegur,start,AE
afbrigðilegur,start AE,V
afbrigðilegur,start AE V,P
afbrigðilegur,start AE V P,R
afbrigðilegur,start AE V P R,IH
afbrigðilegur,start AE V P R IH,DH
afbrigðilegur,start AE V P R IH DH,IH
afbrigðilegur,start AE V P R IH DH IH,L
afbrigðilegur,start AE V P R IH DH IH L,EH
afbrigðilegur,start AE V P R IH DH IH L EH,R
afbrigðilegur,start AE V P R IH DH IH L EH R,stop
afbrot,start,AE
afbrot,start AE,V
afbrot,start AE V,P
afbrot,start AE V P,R
afbrot,start AE V P R,AO
afbrot,start AE V P R AO,T
afbrot,start AE V P R AO T,stop
afbrýði,start,AE
afbrýði,start AE,V
afbrýði,start AE V,P
afbrýði,start AE V P,R
afbrýði,start AE V P R,IH
afbrýði,start AE V P R IH,DH
afbrýði,start AE V P R IH DH,IH
afbrýði,start AE V P R IH DH IH,stop
afburður,start,AE
afburður,start AE,V
afburður,start AE V,P
afburður,start AE V P,R
afburður,start AE V P R,DH
afburður,start AE V P R DH,R
afburður,start AE V P R DH R,stop
afbökun,start,AE
afbökun,start AE,V
afbökun,start AE V,P
afbökun,start AE V P,AE
afbökun,start AE V P AE,K
afbökun,start AE V P AE K,N
afbökun,start AE V P AE K N,stop
afdrep,start,AE
afdrep,start AE,V
afdrep,start AE V,T
afdrep,start AE V T,R
afdrep,start AE V T R,EH
afdrep,start AE V T R EH,P
afdrep,start AE V T R EH P,stop
afgangur,start,AE
afgangur,start AE,V
afgangur,start AE V,K
afgangur,start AE V K,AE
afgangur,start AE V K AE,UW
afgangur,start AE V K AE UW,NG
afgangur,start AE V K AE UW NG,K
afgangur,start AE V K AE UW NG K,R
afgangur,start AE V K AE UW NG K R,stop
afganistan,start,AE
afganistan,start AE,V
afganistan,start AE V,K
afganistan,start AE V K,AE
afganistan,start AE V K AE,N
afganistan,start AE V K AE N,IH
afganistan,start AE V K AE N IH,S
afganistan,start AE V K AE N IH S,T
afganistan,start AE V K AE N IH S T,AE
afganistan,start AE V K AE N IH S T AE,N
afganistan,start AE V K AE N IH S T AE N,stop
afgreiða,start,AE
afgreiða,start AE,V
afgreiða,start AE V,K
afgreiða,start AE V K,R
afgreiða,start AE V K R,EH
afgreiða,start AE V K R EH,IH
afgreiða,start AE V K R EH IH,DH
afgreiða,start AE V K R EH IH DH,AE
afgreiða,start AE V K R EH IH DH AE,stop
afgreiðsla,start,AE
afgreiðsla,start AE,V
afgreiðsla,start AE V,K
afgreiðsla,start AE V K,R
afgreiðsla,start AE V K R,EH
afgreiðsla,start AE V K R EH,IH
afgreiðsla,start AE V K R EH IH,DH
afgreiðsla,start AE V K R EH IH DH,S
afgreiðsla,start AE V K R EH IH DH S,T
afgreiðsla,start AE V K R EH IH DH S T,L
afgreiðsla,start AE V K R EH IH DH S T L,AE
afgreiðsla,start AE V K R EH IH DH S T L AE,stop
afhenda,start,AE
afhenda,start AE,F
afhenda,start AE F,HH
afhenda,start AE F HH,EH
afhenda,start AE F HH EH,N
afhenda,start AE F HH EH N,T
afhenda,start AE F HH EH N T,AE
afhenda,start AE F HH EH N T AE,stop
afhending,start,AE
afhending,start AE,F
afhending,start AE F,HH
afhending,start AE F HH,EH
afhending,start AE F HH EH,N
afhending,start AE F HH EH N,T
afhending,start AE F HH EH N T,IH
afhending,start AE F HH EH N T IH,NG
afhending,start AE F HH EH N T IH NG,K
afhending,start AE F HH EH N T IH NG K,stop
afi,start,AE
afi,start AE,V
afi,start AE V,IH
afi,start AE V IH,stop
afklæða,start,AE
afklæða,start AE,V
afklæða,start AE V,K
afklæða,start AE V K,L
afklæða,start AE V K L,AE
afklæða,start AE V K L AE,IH
afklæða,start AE V K L AE IH,DH
afklæða,start AE V K L AE IH DH,AE
afklæða,start AE V K L AE IH DH AE,stop
afkomandi,start,AE
afkomandi,start AE,V
afkomandi,start AE V,K
afkomandi,start AE V K,AO
afkomandi,start AE V K AO,M
afkomandi,start AE V K AO M,AE
afkomandi,start AE V K AO M AE,N
afkomandi,start AE V K AO M AE N,T
afkomandi,start AE V K AO M AE N T,IH
afkomandi,start AE V K AO M AE N T IH,stop
afkvæmi,start,AE
afkvæmi,start AE,V
afkvæmi,start AE V,K
afkvæmi,start AE V K,V
afkvæmi,start AE V K V,AE
afkvæmi,start AE V K V AE,IH
afkvæmi,start AE V K V AE IH,M
afkvæmi,start AE V K V AE IH M,IH
afkvæmi,start AE V K V AE IH M IH,stop
afkáralegur,start,AE
afkáralegur,start AE,V
afkáralegur,start AE V,K
afkáralegur,start AE V K,AE
afkáralegur,start AE V K AE,UW
afkáralegur,start AE V K AE UW,R
afkáralegur,start AE V K AE UW R,AE
afkáralegur,start AE V K AE UW R AE,L
afkáralegur,start AE V K AE UW R AE L,EH
afkáralegur,start AE V K AE UW R AE L EH,R
afkáralegur,start AE V K AE UW R AE L EH R,stop
afl,start,AE
afl,start AE,P
afl,start AE P,L
afl,start AE P L,stop
afla,start,AE
afla,start AE,P
afla,start AE P,L
afla,start AE P L,AE
afla,start AE P L AE,stop
afleiðing,start,AE
afleiðing,start AE,V
afleiðing,start AE V,L
afleiðing,start AE V L,EH
afleiðing,start AE V L EH,IH
afleiðing,start AE V L EH IH,DH
afleiðing,start AE V L EH IH DH,IH
afleiðing,start AE V L EH IH DH IH,NG
afleiðing,start AE V L EH IH DH IH NG,K
afleiðing,start AE V L EH IH DH IH NG K,stop
afli,start,AE
afli,start AE,P
afli,start AE P,L
afli,start AE P L,IH
afli,start AE P L IH,stop
afmæli,start,AE
afmæli,start AE,M
afmæli,start AE M,M
afmæli,start AE M M,AE
afmæli,start AE M M AE,IH
afmæli,start AE M M AE IH,L
afmæli,start AE M M AE IH L,IH
afmæli,start AE M M AE IH L IH,stop
afmæli,start,AE
afmæli,start AE,V
afmæli,start AE V,M
afmæli,start AE V M,AE
afmæli,start AE V M AE,IH
afmæli,start AE V M AE IH,L
afmæli,start AE V M AE IH L,IH
afmæli,start AE V M AE IH L IH,stop
afmælisdagur,start,AE
afmælisdagur,start AE,M
afmælisdagur,start AE M,AE
afmælisdagur,start AE M AE,IH
afmælisdagur,start AE M AE IH,L
afmælisdagur,start AE M AE IH L,IH
afmælisdagur,start AE M AE IH L IH,S
afmælisdagur,start AE M AE IH L IH S,T
afmælisdagur,start AE M AE IH L IH S T,AE
afmælisdagur,start AE M AE IH L IH S T AE,R
afmælisdagur,start AE M AE IH L IH S T AE R,stop
afmælisdagur,start,AE
afmælisdagur,start AE,V
afmælisdagur,start AE V,M
afmælisdagur,start AE V M,AE
afmælisdagur,start AE V M AE,IH
afmælisdagur,start AE V M AE IH,L
afmælisdagur,start AE V M AE IH L,IH
afmælisdagur,start AE V M AE IH L IH,S
afmælisdagur,start AE V M AE IH L IH S,T
afmælisdagur,start AE V M AE IH L IH S T,AE
afmælisdagur,start AE V M AE IH L IH S T AE,R
afmælisdagur,start AE V M AE IH L IH S T AE R,stop
afmælisgjöf,start,AE
afmælisgjöf,start AE,V
afmælisgjöf,start AE V,M
afmælisgjöf,start AE V M,AE
afmælisgjöf,start AE V M AE,IH
afmælisgjöf,start AE V M AE IH,L
afmælisgjöf,start AE V M AE IH L,IH
afmælisgjöf,start AE V M AE IH L IH,S
afmælisgjöf,start AE V M AE IH L IH S,AE
afmælisgjöf,start AE V M AE IH L IH S AE,V
afmælisgjöf,start AE V M AE IH L IH S AE V,stop
afrit,start,AE
afrit,start AE,V
afrit,start AE V,R
afrit,start AE V R,IH
afrit,start AE V R IH,T
afrit,start AE V R IH T,stop
afráða,start,AE
afráða,start AE,V
afráða,start AE V,R
afráða,start AE V R,AE
afráða,start AE V R AE,UW
afráða,start AE V R AE UW,DH
afráða,start AE V R AE UW DH,AE
afráða,start AE V R AE UW DH AE,stop
afríka,start,AE
afríka,start AE,F
afríka,start AE F,R
afríka,start AE F R,IH
afríka,start AE F R IH,K
afríka,start AE F R IH K,AE
afríka,start AE F R IH K AE,stop
afríkanska,start,AE
afríkanska,start AE,F
afríkanska,start AE F,R
afríkanska,start AE F R,IH
afríkanska,start AE F R IH,K
afríkanska,start AE F R IH K,AE
afríkanska,start AE F R IH K AE,N
afríkanska,start AE F R IH K AE N,S
afríkanska,start AE F R IH K AE N S,K
afríkanska,start AE F R IH K AE N S K,AE
afríkanska,start AE F R IH K AE N S K AE,stop
afríkanskur,start,AE
afríkanskur,start AE,F
afríkanskur,start AE F,R
afríkanskur,start AE F R,IH
afríkanskur,start AE F R IH,K
afríkanskur,start AE F R IH K,AE
afríkanskur,start AE F R IH K AE,N
afríkanskur,start AE F R IH K AE N,S
afríkanskur,start AE F R IH K AE N S,K
afríkanskur,start AE F R IH K AE N S K,R
afríkanskur,start AE F R IH K AE N S K R,stop
afríkufíll,start,AE
afríkufíll,start AE,F
afríkufíll,start AE F,R
afríkufíll,start AE F R,IH
afríkufíll,start AE F R IH,K
afríkufíll,start AE F R IH K,F
afríkufíll,start AE F R IH K F,IH
afríkufíll,start AE F R IH K F IH,T
afríkufíll,start AE F R IH K F IH T,L
afríkufíll,start AE F R IH K F IH T L,stop
afrískur,start,AE
afrískur,start AE,F
afrískur,start AE F,R
afrískur,start AE F R,IH
afrískur,start AE F R IH,S
afrískur,start AE F R IH S,K
afrískur,start AE F R IH S K,R
afrískur,start AE F R IH S K R,stop
afsaka,start,AE
afsaka,start AE,F
afsaka,start AE F,S
afsaka,start AE F S,AE
afsaka,start AE F S AE,K
afsaka,start AE F S AE K,AE
afsaka,start AE F S AE K AE,stop
afskrá,start,AE
afskrá,start AE,F
afskrá,start AE F,S
afskrá,start AE F S,K
afskrá,start AE F S K,R
afskrá,start AE F S K R,AE
afskrá,start AE F S K R AE,UW
afskrá,start AE F S K R AE UW,stop
afskráning,start,AE
afskráning,start AE,F
afskráning,start AE F,S
afskráning,start AE F S,K
afskráning,start AE F S K,R
afskráning,start AE F S K R,AE
afskráning,start AE F S K R AE,UW
afskráning,start AE F S K R AE UW,N
afskráning,start AE F S K R AE UW N,IH
afskráning,start AE F S K R AE UW N IH,NG
afskráning,start AE F S K R AE UW N IH NG,K
afskráning,start AE F S K R AE UW N IH NG K,stop
afsláttur,start,AE
afsláttur,start AE,F
afsláttur,start AE F,S
afsláttur,start AE F S,T
afsláttur,start AE F S T,L
afsláttur,start AE F S T L,AE
afsláttur,start AE F S T L AE,UW
afsláttur,start AE F S T L AE UW,HH
