word,phonemes,label
árósar,start AE UW R OH,UW
gotneskur,start K AO HH T,N
mannasiður,start M AE N AE S,IH
ljósapera,start L Y OH UW S AE P EH R AE,stop
svartburkni,start S V,AE
þefa,start TH,EH
almætti,start AE L M,AE
skola,start S K AO,L
wiium,start,V
föggur,start F AE,K
meyjarhaft,start M,EH
rigning,start R IH K N IH,NG
íferðarfall,start IH F EH R,DH
skotland,start S K AO T L AE,N
öndun,start,AE
borgarstjóri,start P AO R K AE R,S
umdeildur,start M T EH,IH
misræmi,start,M
sundgleraugu,start S N T K,L
mjaldur,start M Y AE L T,R
handsnyrting,start HH AE N T S T,N
eggjaskurn,start EH AE S K R,T
gagnrýni,start K AE K N R,IH
ástfanginn,start AE UW S,T
scheving,start S EH V,IH
áfall,start AE,UW
flaga,start,F
stama,start S T,AE
hermikráka,start HH EH R M IH K,R
feyja,start,F
frumefni,start,F
skaka,start S,K
bull,start,P
hugleysingi,start HH L,EH
félagaskiptagluggi,start F Y EH,L
nína,start,N
reykja,start R EH,IH
eplatré,start EH HH P L AE T,R
bjartsýni,start P Y AE T,S
mosajafni,start M AO S AE,Y
hvelatengsl,start,EH
sifjarsóley,start S IH V Y AE R S,OH
haglabyssa,start HH AE,K
líffræðingur,start L IH F F R AE IH,DH
geirmundur,start EH,IH
feitur,start F EH IH T,R
þumlungur,start,TH
heimaverkefni,start HH EH IH M AE V EH K,EH
búðingur,start P UW DH IH NG K R,stop
niðurlægja,start N IH DH R L AE IH,Y
mella,start M EH T L,AE
kærulaus,start AE IH R L,S
blómvöndur,start,P
stöðvun,start S T AE,DH
klofna,start K L AO,P
hakk,start,HH
þriðji,start TH R IH DH Y,IH
dagskrá,start,T
fóarn,start F OH UW,AE
samfélagsmiðill,start S AE M F Y EH L AE S M IH DH,IH
geimfar,start EH IH M F AE R,stop
maskari,start M AE S K AE,R
smyrja,start S M IH R Y AE,stop
alvörulaus,start AE L V AE R L,S
roð,start,R
klár,start K,L
yfirtónn,start IH V IH,R
edik,start EH T,IH
rauðkál,start R DH K,AE
körfuknattleikur,start K AE R V K N AE HH,T
stunda,start S T N T AE,stop
fyrirferð,start F IH R IH R F EH R DH,stop
stilling,start S T IH,T
vitur,start V IH T,R
dreggjar,start T R,EH
dílaskóf,start T IH L AE S,K
púla,start,P
munaðarleysingjahæli,start M N AE DH AE R,L
sinnuleysi,start,S
ástfanginn,start AE UW S T F AE UW,IH
lystarstol,start L IH S,T
mildur,start M IH,L
gjóska,start OH UW S,K
þegja,start TH EH,IH
knattspyrna,start K,N
góla,start K,OH
fés,start F,Y
mikael,start M IH K,AE
minnisgripur,start M IH N IH S K,R
akarn,start,AE
hómófóbía,start HH OH UW M OH UW F,OH
málfrelsi,start M AE UW L F R EH L,S
nesti,start N,EH
brynjólfína,start P R IH N Y OH UW,L
beðja,start P,EH
krýning,start K R IH,N
eykt,start EH IH T,stop
grafít,start K R AE F,IH
kleina,start K L EH IH,N
þrábeiðni,start TH R,AE
guðleysingi,start K V DH L,EH
endurreisnarstefna,start EH,N
ísópren,start IH S OH UW P R,EH
heimsókn,start,HH
hæla,start HH,AE
naust,start N S,T
amerískur,start,AE
hnésbót,start Y EH S,P
innrita,start IH N R IH T,AE
auka,start K,AE
græða,start K R AE IH DH,AE
kvika,start,K
fortíðarþrá,start F AO T IH DH AE R TH R AE UW,stop
augnablik,start K N AE P L IH K,stop
tala,start T AE L AE,stop
melting,start M EH T IH NG K,stop
bylur,start P,IH
kornbreskur,start,K
hershöfðingi,start HH EH S HH AE V DH IH,IH
marmennill,start M AE,R
far,start F AE R,stop
skeiðklukka,start S EH IH DH,K
páka,start P AE UW K,AE
kjötbolla,start AE T,P
hanki,start HH AE UW IH,stop
reiður,start R EH IH DH R,stop
steikarhnífur,start S T EH IH K AE R IH V R,stop
kraftaverk,start K R AE F T,AE
systursonur,start S IH S T S AO N R,stop
botnlangabólga,start P AO HH T N,L
hylli,start HH IH T L IH,stop
merkúr,start M EH K UW,R
kverkar,start K,V
úthaf,start,UW
langamma,start,L
umdeildur,start M T EH IH,L
spil,start,S
bekkjarlalli,start P EH HH AE R,L
ætur,start AE IH T,R
veiði,start,V
hálfkák,start HH AE UW L V K AE UW,K
sæma,start S AE IH M,AE
kaffibrauð,start K AE,F
blautur,start P,L
stóll,start S T OH UW T,L
fjallgarður,start F Y AE T L K AE R DH R,stop
grunnsævi,start K R N,S
kósínus,start K OH UW S IH N S,stop
fell,start F EH T,L
tónleikar,start T OH UW,N
helta,start HH EH T,AE
stjörnuspeki,start S T Y AE,R
gjóla,start OH UW,L
miðaldir,start M IH DH AE L T IH R,stop
tíska,start,T
haldinn,start HH AE L T IH,N
teppi,start T EH HH P,IH
oxíð,start AO K S,IH
kennd,start EH N T,stop
sviti,start S V IH T IH,stop
þrístrendingur,start,TH
lýsingarháttur,start L IH S IH NG K AE R HH AE UW HH T R,stop
kíví,start K,IH
sleipur,start S T,L
vingull,start V,IH
prestastefna,start P,R
blæðari,start P L AE IH DH,AE
mynddiskur,start M IH,N
ísbjörn,start IH,S
fróður,start F,R
hrefna,start EH P,N
bjalla,start P Y,AE
lófatölva,start L OH UW V AE T AE L V AE,stop
sebrabraut,start S EH P R AE P R T,stop
naga,start N AE,AE
gleðilegur,start K L,EH
samför,start S,AE
hvalstöð,start K V AE L S,T
tíkarsonur,start,T
brenna,start P R EH N,AE
aðstoð,start AE DH,S
rýna,start R IH,N
samþykki,start S,AE
hreindís,start,EH
efnisyfirlit,start EH P N IH S IH V,IH
hrímblaðka,start IH,M
lyfta,start L IH,F
heimili,start HH EH,IH
minning,start M IH N,IH
kynkvísl,start IH,N
nærverufall,start N AE IH R V EH R F,AE
krap,start K R AE,P
gengismunur,start EH IH,IH
leiðari,start L EH IH DH,AE
þrístrendingur,start TH R IH S T R EH N T IH NG K,R
greip,start K R EH,IH
þekkja,start TH EH,HH
blóðskömm,start P L,OH
óheflaður,start OH UW HH,EH
barmmerki,start P AE,R
póstmódernismi,start P OH UW S,T
