word,phonemes,label
aalenian,start,AE
aalenian,start AE,L
aalenian,start AE L,EH
aalenian,start AE L EH,N
aalenian,start AE L EH N,IH
aalenian,start AE L EH N IH,AE
aalenian,start AE L EH N IH AE,N
aalenian,start AE L EH N IH AE N,stop
abacule,start,AE
abacule,start AE,B
abacule,start AE B,AE
abacule,start AE B AE,K
abacule,start AE B AE K,UW
abacule,start AE B AE K UW,L
abacule,start AE B AE K UW L,EH
abacule,start AE B AE K UW L EH,stop
abandonai,start,AE
abandonai,start AE,B
abandonai,start AE B,AE
abandonai,start AE B AE,N
abandonai,start AE B AE N,D
abandonai,start AE B AE N D,OH
abandonai,start AE B AE N D OH,N
abandonai,start AE B AE N D OH N,AE
abandonai,start AE B AE N D OH N AE,Y
abandonai,start AE B AE N D OH N AE Y,stop
abandonam,start,AE
abandonam,start AE,B
abandonam,start AE B,AE
abandonam,start AE B AE,N
abandonam,start AE B AE N,D
abandonam,start AE B AE N D,OH
abandonam,start AE B AE N D OH,N
abandonam,start AE B AE N D OH N,AE
abandonam,start AE B AE N D OH N AE,M
abandonam,start AE B AE N D OH N AE M,stop
abandonară,start,AE
abandonară,start AE,B
abandonară,start AE B,AE
abandonară,start AE B AE,N
abandonară,start AE B AE N,D
abandonară,start AE B AE N D,OH
abandonară,start AE B AE N D OH,N
abandonară,start AE B AE N D OH N,AE
abandonară,start AE B AE N D OH N AE,R
abandonară,start AE B AE N D OH N AE R,AX
abandonară,start AE B AE N D OH N AE R AX,stop
abandonarăm,start,AE
abandonarăm,start AE,B
abandonarăm,start AE B,AE
abandonarăm,start AE B AE,N
abandonarăm,start AE B AE N,D
abandonarăm,start AE B AE N D,OH
abandonarăm,start AE B AE N D OH,N
abandonarăm,start AE B AE N D OH N,AE
abandonarăm,start AE B AE N D OH N AE,R
abandonarăm,start AE B AE N D OH N AE R,AX
abandonarăm,start AE B AE N D OH N AE R AX,M
abandonarăm,start AE B AE N D OH N AE R AX M,stop
abandonarăți,start,AE
abandonarăți,start AE,B
abandonarăți,start AE B,AE
abandonarăți,start AE B AE,N
abandonarăți,start AE B AE N,D
abandonarăți,start AE B AE N D,OH
abandonarăți,start AE B AE N D OH,N
abandonarăți,start AE B AE N D OH N,AE
abandonarăți,start AE B AE N D OH N AE,R
abandonarăți,start AE B AE N D OH N AE R,AX
abandonarăți,start AE B AE N D OH N AE R AX,T
abandonarăți,start AE B AE N D OH N AE R AX T,S
abandonarăți,start AE B AE N D OH N AE R AX T S,stop
abandonase,start,AE
abandonase,start AE,B
abandonase,start AE B,AE
abandonase,start AE B AE,N
abandonase,start AE B AE N,D
abandonase,start AE B AE N D,OH
abandonase,start AE B AE N D OH,N
abandonase,start AE B AE N D OH N,AE
abandonase,start AE B AE N D OH N AE,S
abandonase,start AE B AE N D OH N AE S,EH
abandonase,start AE B AE N D OH N AE S EH,stop
abandonasem,start,AE
abandonasem,start AE,B
abandonasem,start AE B,AE
abandonasem,start AE B AE,N
abandonasem,start AE B AE N,D
abandonasem,start AE B AE N D,OH
abandonasem,start AE B AE N D OH,N
abandonasem,start AE B AE N D OH N,AE
abandonasem,start AE B AE N D OH N AE,S
abandonasem,start AE B AE N D OH N AE S,EH
abandonasem,start AE B AE N D OH N AE S EH,M
abandonasem,start AE B AE N D OH N AE S EH M,stop
abandonaseră,start,AE
abandonaseră,start AE,B
abandonaseră,start AE B,AE
abandonaseră,start AE B AE,N
abandonaseră,start AE B AE N,D
abandonaseră,start AE B AE N D,OH
abandonaseră,start AE B AE N D OH,N
abandonaseră,start AE B AE N D OH N,AE
abandonaseră,start AE B AE N D OH N AE,S
abandonaseră,start AE B AE N D OH N AE S,EH
abandonaseră,start AE B AE N D OH N AE S EH,R
abandonaseră,start AE B AE N D OH N AE S EH R,AX
abandonaseră,start AE B AE N D OH N AE S EH R AX,stop
abandonaserăm,start,AE
abandonaserăm,start AE,B
abandonaserăm,start AE B,AE
abandonaserăm,start AE B AE,N
abandonaserăm,start AE B AE N,D
abandonaserăm,start AE B AE N D,OH
abandonaserăm,start AE B AE N D OH,N
abandonaserăm,start AE B AE N D OH N,AE
abandonaserăm,start AE B AE N D OH N AE,S
abandonaserăm,start AE B AE N D OH N AE S,EH
abandonaserăm,start AE B AE N D OH N AE S EH,R
abandonaserăm,start AE B AE N D OH N AE S EH R,AX
abandonaserăm,start AE B AE N D OH N AE S EH R AX,M
abandonaserăm,start AE B AE N D OH N AE S EH R AX M,stop
abandonaserăți,start,AE
abandonaserăți,start AE,B
abandonaserăți,start AE B,AE
abandonaserăți,start AE B AE,N
abandonaserăți,start AE B AE N,D
abandonaserăți,start AE B AE N D,OH
abandonaserăți,start AE B AE N D OH,N
abandonaserăți,start AE B AE N D OH N,AE
abandonaserăți,start AE B AE N D OH N AE,S
abandonaserăți,start AE B AE N D OH N AE S,EH
abandonaserăți,start AE B AE N D OH N AE S EH,R
abandonaserăți,start AE B AE N D OH N AE S EH R,AX
abandonaserăți,start AE B AE N D OH N AE S EH R AX,T
abandonaserăți,start AE B AE N D OH N AE S EH R AX T,S
abandonaserăți,start AE B AE N D OH N AE S EH R AX T S,stop
abandonaseși,start,AE
abandonaseși,start AE,B
abandonaseși,start AE B,AE
abandonaseși,start AE B AE,N
abandonaseși,start AE B AE N,D
abandonaseși,start AE B AE N D,OH
abandonaseși,start AE B AE N D OH,N
abandonaseși,start AE B AE N D OH N,AE
abandonaseși,start AE B AE N D OH N AE,S
abandonaseși,start AE B AE N D OH N AE S,EH
abandonaseși,start AE B AE N D OH N AE S EH,SH
abandonaseși,start AE B AE N D OH N AE S EH SH,stop
abandonat,start,AE
abandonat,start AE,B
abandonat,start AE B,AE
abandonat,start AE B AE,N
abandonat,start AE B AE N,D
abandonat,start AE B AE N D,OH
abandonat,start AE B AE N D OH,N
abandonat,start AE B AE N D OH N,AE
abandonat,start AE B AE N D OH N AE,T
abandonat,start AE B AE N D OH N AE T,stop
abandonau,start,AE
abandonau,start AE,B
abandonau,start AE B,AE
abandonau,start AE B AE,N
abandonau,start AE B AE N,D
abandonau,start AE B AE N D,OH
abandonau,start AE B AE N D OH,N
abandonau,start AE B AE N D OH N,AE
abandonau,start AE B AE N D OH N AE,W
abandonau,start AE B AE N D OH N AE W,stop
abandonași,start,AE
abandonași,start AE,B
abandonași,start AE B,AE
abandonași,start AE B AE,N
abandonași,start AE B AE N,D
abandonași,start AE B AE N D,OH
abandonași,start AE B AE N D OH,N
abandonași,start AE B AE N D OH N,AE
abandonași,start AE B AE N D OH N AE,SH
abandonași,start AE B AE N D OH N AE SH,stop
abandonați,start,AE
abandonați,start AE,B
abandonați,start AE B,AE
abandonați,start AE B AE,N
abandonați,start AE B AE N,D
abandonați,start AE B AE N D,OH
abandonați,start AE B AE N D OH,N
abandonați,start AE B AE N D OH N,AE
abandonați,start AE B AE N D OH N AE,T
abandonați,start AE B AE N D OH N AE T,S
abandonați,start AE B AE N D OH N AE T S,stop
abandonează,start,AE
abandonează,start AE,B
abandonează,start AE B,AE
abandonează,start AE B AE,N
abandonează,start AE B AE N,D
abandonează,start AE B AE N D,OH
abandonează,start AE B AE N D OH,N
