Wall time,Step,Value
1636416832.6723087,49,0.37109375
1636416833.3721025,99,0.46875
1636416834.0676954,149,0.47265625
1636416834.8104377,199,0.45703125
1636416835.5101256,249,0.55078125
1636416836.2004035,299,0.51953125
1636416836.8867137,349,0.51953125
1636416837.6342223,399,0.55859375
1636416838.3170276,449,0.55859375
1636416838.991849,499,0.60546875
1636416839.680732,549,0.640625
1636416840.3790333,599,0.66015625
1636416841.0722718,649,0.640625
1636416841.7558753,699,0.6171875
1636416842.4368477,749,0.7421875
1636416843.1433089,799,0.66015625
1636416845.137503,849,0.69921875
1636416845.82886,899,0.78515625
1636416846.5083983,949,0.71484375
1636416847.1929507,999,0.7421875
1636416847.8834808,1049,0.76171875
1636416848.5726516,1099,0.7734375
1636416849.2590947,1149,0.7421875
1636416849.9439352,1199,0.76171875
1636416850.6246543,1249,0.76171875
1636416851.3133276,1299,0.7578125
1636416852.0006745,1349,0.7734375
1636416852.6918724,1399,0.75390625
1636416853.3820972,1449,0.72265625
1636416854.0771039,1499,0.8046875
1636416854.7684088,1549,0.796875
1636416855.452176,1599,0.8203125
1636416857.4810681,1649,0.8359375
1636416858.1833558,1699,0.80859375
1636416858.8669033,1749,0.80859375
1636416859.5606046,1799,0.828125
1636416860.2561717,1849,0.8515625
1636416860.9531848,1899,0.81640625
1636416861.6530309,1949,0.87109375
1636416862.3637245,1999,0.8515625
1636416863.1104598,2049,0.8359375
1636416863.7939394,2099,0.8515625
1636416864.4814994,2149,0.84375
1636416865.1671758,2199,0.828125
1636416865.8585207,2249,0.84375
1636416866.558309,2299,0.7890625
1636416867.2377262,2349,0.875
1636416867.923816,2399,0.79296875
1636416869.872787,2449,0.87890625
1636416870.5546389,2499,0.8984375
1636416871.2593415,2549,0.83984375
1636416871.943582,2599,0.86328125
1636416872.6403604,2649,0.85546875
1636416873.3244138,2699,0.8671875
1636416874.0010242,2749,0.84375
1636416874.678363,2799,0.8828125
1636416875.3694232,2849,0.86328125
1636416876.0659578,2899,0.8515625
