Wall time,Step,Value
1636417355.8231864,49,0.71875
1636417356.5021598,99,0.765625
1636417357.1796672,149,0.82421875
1636417357.8549044,199,0.86328125
1636417358.520476,249,0.87109375
1636417359.1792936,299,0.84765625
1636417359.8420339,349,0.83984375
1636417360.5018196,399,0.84765625
1636417361.1583648,449,0.90234375
1636417361.819394,499,0.8515625
1636417363.5945175,549,0.90234375
1636417364.2582357,599,0.9140625
1636417364.9314752,649,0.92578125
1636417365.5989888,699,0.875
1636417366.2717,749,0.87109375
1636417366.9462986,799,0.91796875
1636417367.6150963,849,0.94921875
1636417368.2899036,899,0.90625
1636417368.9685981,949,0.9296875
1636417369.6441748,999,0.89453125
1636417370.3131084,1049,0.91796875
1636417372.0843527,1099,0.95703125
1636417372.7623942,1149,0.95703125
1636417373.449245,1199,0.94140625
1636417374.1218836,1249,0.93359375
1636417374.8048189,1299,0.96875
1636417375.4829504,1349,0.93359375
1636417376.1601737,1399,0.984375
1636417376.8271623,1449,0.93359375
1636417377.5055342,1499,0.91796875
1636417378.184183,1549,0.9453125
1636417378.8469765,1599,0.9375
1636417380.6300824,1649,0.94140625
1636417381.3029583,1699,0.94140625
1636417381.9670992,1749,0.95703125
1636417382.6406984,1799,0.96484375
1636417383.3144648,1849,0.97265625
1636417383.9896867,1899,0.9375
1636417384.6688962,1949,0.91796875
1636417385.350534,1999,0.953125
1636417386.0192068,2049,0.9375
1636417386.6810422,2099,0.94140625
1636417387.3562624,2149,0.93359375
1636417388.7698703,2199,0.92578125
1636417389.445844,2249,0.9453125
1636417390.1135216,2299,0.953125
1636417390.7939448,2349,0.94140625
1636417391.4716637,2399,0.9375
1636417392.1436458,2449,0.93359375
1636417392.824878,2499,0.93359375
1636417393.5071056,2549,0.9140625
1636417394.1804066,2599,0.92578125
1636417394.8616765,2649,0.90234375
1636417395.5348253,2699,0.91015625
1636417396.925127,2749,0.9375
1636417397.604484,2799,0.9296875
1636417398.2661002,2849,0.94921875
1636417398.9305692,2899,0.90625
1636417399.6083412,2949,0.91015625
1636417400.2849355,2999,0.94140625
1636417400.9394033,3049,0.9140625
1636417401.6359708,3099,0.9296875
1636417402.3038971,3149,0.921875
1636417402.9778938,3199,0.91015625
1636417403.6532123,3249,0.921875
1636417405.025225,3299,0.93359375
1636417405.7182946,3349,0.91796875
1636417406.403201,3399,0.88671875
1636417407.0827134,3449,0.9296875
1636417407.7432075,3499,0.91015625
1636417408.4041207,3549,0.8984375
1636417409.0881004,3599,0.91796875
1636417409.7665288,3649,0.89453125
1636417410.4520833,3699,0.89453125
1636417411.1441855,3749,0.88671875
1636417411.828936,3799,0.90625
1636417413.2265108,3849,0.8828125
1636417413.8999047,3899,0.93359375
1636417414.5660915,3949,0.87890625
1636417415.2545087,3999,0.87890625
1636417415.9298139,4049,0.90234375
1636417416.6164982,4099,0.90625
1636417417.2938704,4149,0.8984375
1636417418.0434835,4199,0.91796875
1636417418.721081,4249,0.92578125
1636417419.3977227,4299,0.91015625
1636417420.0750961,4349,0.8984375
