Wall time,Step,Value
1636414194.0776458,49,0.70703125
1636414194.7460575,99,0.796875
1636414195.4222758,149,0.8515625
1636414196.1014187,199,0.90234375
1636414196.7743907,249,0.90234375
1636414197.445294,299,0.8984375
1636414198.1197853,349,0.89453125
1636414198.7849576,399,0.90234375
1636414199.4639363,449,0.89453125
1636414200.1545613,499,0.90625
1636414201.9460433,549,0.9453125
1636414202.6115887,599,0.9609375
1636414203.290825,649,0.9296875
1636414203.9505103,699,0.9375
1636414204.6261106,749,0.95703125
1636414205.333842,799,0.93359375
1636414206.010596,849,0.953125
1636414206.683971,899,0.9453125
1636414207.361083,949,0.97265625
1636414208.0400703,999,0.953125
1636414208.710801,1049,0.94140625
1636414210.4626877,1099,0.95703125
1636414211.1444821,1149,0.96484375
1636414211.82513,1199,0.95703125
1636414212.4960446,1249,0.94140625
1636414213.1587558,1299,0.97265625
1636414213.8265228,1349,0.96875
1636414214.5082345,1399,0.9609375
1636414215.1928027,1449,0.953125
1636414215.8699386,1499,0.9453125
1636414216.5544477,1549,0.94140625
1636414217.239742,1599,0.91796875
1636414218.6434045,1649,0.9609375
1636414219.3299794,1699,0.9765625
1636414220.0060072,1749,0.9609375
1636414220.6812632,1799,0.94921875
1636414221.352749,1849,0.9375
1636414222.0275269,1899,0.9453125
1636414222.6939876,1949,0.9453125
1636414223.3670168,1999,0.91015625
1636414224.0367992,2049,0.93359375
1636414224.7116904,2099,0.9375
1636414225.3867526,2149,0.9296875
1636414226.789294,2199,0.9375
1636414227.4760342,2249,0.95703125
1636414228.1595893,2299,0.95703125
1636414228.8403935,2349,0.94921875
1636414229.5256824,2399,0.96875
1636414230.193191,2449,0.95703125
1636414230.866505,2499,0.9375
1636414231.5315762,2549,0.9140625
1636414232.218216,2599,0.89453125
1636414232.8993006,2649,0.91015625
1636414233.571002,2699,0.91015625
1636414234.9437315,2749,0.94140625
1636414235.6277726,2799,0.9296875
1636414236.293462,2849,0.9296875
1636414236.9610424,2899,0.921875
1636414237.6406443,2949,0.95703125
1636414238.339544,2999,0.9140625
1636414239.0317678,3049,0.8984375
1636414239.721116,3099,0.91796875
1636414240.40525,3149,0.87890625
1636414241.0802913,3199,0.91796875
1636414241.7626832,3249,0.9296875
1636414243.1676195,3299,0.90625
1636414243.8479302,3349,0.92578125
1636414244.5190196,3399,0.90234375
1636414245.1869254,3449,0.89453125
1636414245.8557398,3499,0.8984375
1636414246.5271406,3549,0.88671875
1636414247.197782,3599,0.859375
1636414247.8771744,3649,0.90234375
1636414248.5481236,3699,0.85546875
1636414249.2290173,3749,0.9140625
1636414249.9126554,3799,0.90234375
