Wall time,Step,Value
1635608609.7840877,49,0.69921875
1635608610.4506938,99,0.78515625
1635608611.0969312,149,0.765625
1635608611.919911,199,0.7265625
1635608612.5758438,249,0.7890625
1635608613.2160707,299,0.796875
1635608613.8594103,349,0.78515625
1635608614.4955919,399,0.80859375
1635608616.1564074,449,0.84375
1635608616.8590467,499,0.8203125
1635608617.5108604,549,0.7734375
1635608618.1495488,599,0.875
1635608618.804419,649,0.8671875
1635608619.439784,699,0.890625
1635608620.078507,749,0.84765625
1635608620.7273164,799,0.85546875
1635608622.3342326,849,0.9296875
1635608622.9785397,899,0.875
1635608623.6090295,949,0.93359375
1635608624.2380269,999,0.91796875
1635608624.8775425,1049,0.9140625
1635608625.5204477,1099,0.91796875
1635608626.1645415,1149,0.93359375
1635608626.7917538,1199,0.9375
1635608627.4306924,1249,0.8984375
1635608629.0229979,1299,0.94140625
1635608629.6640763,1349,0.921875
1635608630.2953832,1399,0.9140625
1635608630.9386916,1449,0.921875
1635608631.5671146,1499,0.9296875
1635608632.1992168,1549,0.9296875
1635608632.8398807,1599,0.94140625
1635608633.485121,1649,0.921875
1635608634.6826353,1699,0.9375
1635608635.3235114,1749,0.9375
1635608635.9534676,1799,0.921875
1635608636.592671,1849,0.92578125
1635608637.2240348,1899,0.921875
1635608637.8580089,1949,0.921875
1635608638.4787858,1999,0.94140625
1635608639.1199832,2049,0.9296875
1635608639.7600832,2099,0.9453125
1635608641.0175993,2149,0.9375
1635608641.6715508,2199,0.94140625
1635608642.3223917,2249,0.9375
1635608642.959339,2299,0.921875
1635608643.6080804,2349,0.93359375
1635608644.242278,2399,0.91796875
1635608644.881033,2449,0.859375
1635608645.534888,2499,0.9375
1635608646.7405555,2549,0.91015625
1635608647.3873134,2599,0.94921875
1635608648.0266573,2649,0.9375
1635608648.6665602,2699,0.953125
1635608649.300248,2749,0.875
1635608649.936982,2799,0.91796875
1635608650.5795102,2849,0.91015625
1635608651.2164555,2899,0.8984375
1635608651.843553,2949,0.88671875
1635608653.0836306,2999,0.91796875
1635608653.7237594,3049,0.9296875
1635608654.3501246,3099,0.90234375
1635608654.99531,3149,0.91796875
1635608655.6132777,3199,0.91015625
1635608656.240777,3249,0.8828125
1635608656.8800254,3299,0.91796875
1635608657.5084598,3349,0.95703125
1635608658.7284286,3399,0.9375
1635608659.3804638,3449,0.91015625
1635608660.0117908,3499,0.921875
1635608660.6613245,3549,0.90234375
1635608661.3022306,3599,0.9140625
1635608661.9405673,3649,0.92578125
1635608662.5758986,3699,0.90625
1635608663.2393258,3749,0.90625
1635608664.4556172,3799,0.94140625
1635608665.087964,3849,0.93359375
1635608665.7118132,3899,0.91796875
1635608666.3410418,3949,0.88671875
1635608666.9737203,3999,0.92578125
1635608667.6133618,4049,0.91796875
1635608668.2503886,4099,0.91796875
1635608668.8858862,4149,0.94140625
1635608669.529474,4199,0.9296875
1635608670.7162313,4249,0.9296875
1635608671.3325636,4299,0.93359375
1635608671.955837,4349,0.93359375
1635608672.6307335,4399,0.9375
1635608673.2666192,4449,0.91015625
1635608673.9053195,4499,0.890625
1635608674.5382879,4549,0.9375
1635608675.1739576,4599,0.93359375
1635608676.4189115,4649,0.94921875
1635608677.0642002,4699,0.93359375
1635608677.7026126,4749,0.953125
1635608678.3390653,4799,0.9609375
1635608678.9922793,4849,0.921875
1635608679.620654,4899,0.93359375
1635608680.2569656,4949,0.9296875
1635608680.8951724,4999,0.92578125
1635608681.621231,5049,0.92578125
1635608682.851448,5099,0.9140625
1635608683.494728,5149,0.9140625
1635608684.1659014,5199,0.92578125
1635608684.859033,5249,0.94921875
1635608685.4796915,5299,0.921875
1635608686.1121387,5349,0.9140625
1635608686.7604094,5399,0.93359375
1635608687.4024403,5449,0.9453125
