Wall time,Step,Value
1636043009.9888105,49,0.26171875
1636043010.661405,99,0.41015625
1636043011.3409193,149,0.4375
1636043012.0251667,199,0.46484375
1636043012.82525,249,0.5390625
1636043013.511954,299,0.57421875
1636043014.1926599,349,0.5546875
1636043014.8796344,399,0.515625
1636043015.5711975,449,0.65234375
1636043016.2616596,499,0.66015625
1636043016.9755867,549,0.65234375
1636043017.6596372,599,0.65625
1636043018.3341548,649,0.66015625
1636043019.0085945,699,0.6484375
1636043019.7109058,749,0.734375
1636043020.4000173,799,0.734375
1636043022.3683796,849,0.72265625
1636043023.0442927,899,0.69140625
1636043023.7172608,949,0.765625
1636043024.3901703,999,0.78125
1636043025.0636394,1049,0.7265625
1636043025.7391624,1099,0.75
1636043026.422812,1149,0.7578125
1636043027.1045103,1199,0.72265625
1636043027.7777145,1249,0.73828125
1636043028.4995291,1299,0.80859375
1636043029.1637304,1349,0.72265625
1636043029.8259265,1399,0.796875
1636043030.496317,1449,0.7421875
1636043031.176241,1499,0.78125
1636043031.8482945,1549,0.71875
1636043032.5237567,1599,0.76171875
1636043034.465448,1649,0.78515625
1636043035.1413717,1699,0.8203125
1636043035.841324,1749,0.796875
1636043036.5477905,1799,0.796875
1636043037.2393782,1849,0.78515625
1636043037.9104645,1899,0.78515625
1636043038.5958977,1949,0.78125
1636043039.270849,1999,0.76953125
1636043039.9339905,2049,0.7734375
1636043040.6031992,2099,0.765625
1636043041.279566,2149,0.80859375
1636043041.9637408,2199,0.84375
1636043042.6322837,2249,0.80859375
1636043043.2967741,2299,0.796875
1636043043.9558928,2349,0.796875
1636043044.63368,2399,0.77734375
1636043046.628112,2449,0.83984375
1636043047.3104324,2499,0.8125
1636043047.9955215,2549,0.83203125
1636043048.6585903,2599,0.76953125
1636043049.3486335,2649,0.859375
1636043050.0317342,2699,0.7734375
1636043050.7071977,2749,0.83984375
1636043051.408487,2799,0.8125
1636043052.1025963,2849,0.82421875
1636043052.7859945,2899,0.75
1636043053.4527004,2949,0.73046875
1636043054.1205537,2999,0.8203125
1636043054.7983072,3049,0.796875
1636043055.4686275,3099,0.78515625
1636043056.1568804,3149,0.7890625
1636043056.8351362,3199,0.77734375
1636043058.4345267,3249,0.78125
1636043059.1210492,3299,0.76171875
1636043059.8152509,3349,0.80859375
1636043060.4872015,3399,0.83203125
1636043061.1493735,3449,0.80859375
1636043061.8205085,3499,0.828125
1636043062.4961455,3549,0.81640625
1636043063.1605527,3599,0.8359375
1636043063.8414361,3649,0.74609375
1636043064.521489,3699,0.796875
1636043065.2019598,3749,0.7734375
1636043065.892655,3799,0.796875
1636043066.5761762,3849,0.80078125
1636043067.2582757,3899,0.76953125
1636043067.938034,3949,0.76171875
1636043068.6229434,3999,0.75390625
1636043070.160816,4049,0.828125
1636043070.8407474,4099,0.8125
1636043071.5205252,4149,0.7890625
1636043072.2099218,4199,0.8046875
1636043072.8807356,4249,0.78125
1636043073.5673413,4299,0.8125
1636043074.2478924,4349,0.74609375
1636043074.9396179,4399,0.8125
1636043075.6360462,4449,0.8125
1636043076.3156712,4499,0.88671875
1636043077.0033288,4549,0.82421875
1636043077.702897,4599,0.81640625
1636043078.4139395,4649,0.77734375
1636043079.1018116,4699,0.80078125
1636043079.8052366,4749,0.7890625
1636043080.4869497,4799,0.796875
1636043082.1827233,4849,0.7265625
1636043082.8577187,4899,0.78125
1636043083.5410829,4949,0.80859375
1636043084.2225482,4999,0.84765625
1636043084.8885562,5049,0.7734375
1636043085.5573013,5099,0.8359375
1636043086.2501516,5149,0.8046875
1636043086.9290023,5199,0.8046875
1636043087.6154397,5249,0.80078125
