Wall time,Step,Value
1636493681.9570518,49,0.27734375
1636493682.6073716,99,0.375
1636493683.2502596,149,0.43359375
1636493683.9225802,199,0.51953125
1636493684.5548723,249,0.53125
1636493685.1843858,299,0.5078125
1636493685.813486,349,0.5625
1636493686.4328291,399,0.5859375
1636493688.0247514,449,0.62109375
1636493688.6452875,499,0.6484375
1636493689.285177,549,0.6875
1636493689.9297771,599,0.69921875
1636493690.5685194,649,0.70703125
1636493691.2182217,699,0.66015625
1636493691.847284,749,0.65234375
1636493692.475697,799,0.7265625
1636493694.059862,849,0.75
1636493694.6795073,899,0.73828125
1636493695.3782375,949,0.78125
1636493696.0012703,999,0.66015625
1636493696.6447666,1049,0.73828125
1636493697.2747328,1099,0.734375
1636493697.9413714,1149,0.72265625
1636493698.5747476,1199,0.74609375
1636493700.1864133,1249,0.7421875
1636493700.8253276,1299,0.7265625
1636493701.4551632,1349,0.7578125
1636493702.0983787,1399,0.70703125
1636493702.7289455,1449,0.75390625
1636493703.3605003,1499,0.734375
1636493703.9944,1549,0.76171875
1636493704.6063676,1599,0.7734375
1636493706.188826,1649,0.76953125
1636493706.8023384,1699,0.7265625
1636493707.4209151,1749,0.80078125
1636493708.065043,1799,0.7265625
1636493708.7169688,1849,0.7734375
1636493709.3468077,1899,0.76171875
1636493709.9739573,1949,0.74609375
1636493710.6168525,1999,0.7421875
1636493711.7556875,2049,0.7734375
1636493712.3818269,2099,0.74609375
1636493713.001759,2149,0.7890625
1636493713.6374497,2199,0.71875
1636493714.276272,2249,0.7734375
1636493714.8951135,2299,0.7578125
1636493715.5146198,2349,0.77734375
1636493716.1388555,2399,0.75
1636493717.322173,2449,0.7578125
1636493717.9530776,2499,0.76171875
1636493718.577359,2549,0.75
1636493719.2074459,2599,0.76171875
1636493719.8220513,2649,0.7734375
1636493720.4430199,2699,0.7421875
1636493721.1275737,2749,0.7578125
1636493721.7512279,2799,0.78125
1636493722.92575,2849,0.80078125
1636493723.5534227,2899,0.75
1636493724.1794667,2949,0.7734375
1636493724.8085072,2999,0.80859375
1636493725.466614,3049,0.73828125
1636493726.084102,3099,0.7578125
1636493726.7142007,3149,0.76953125
1636493727.3287854,3199,0.77734375
1636493728.5099313,3249,0.83203125
1636493729.132999,3299,0.79296875
1636493729.7837315,3349,0.7578125
1636493730.4475992,3399,0.76953125
1636493731.0827181,3449,0.8125
1636493731.6914647,3499,0.78515625
1636493732.331179,3549,0.82421875
1636493732.9582696,3599,0.78515625
1636493734.5707862,3649,0.83203125
1636493735.1855013,3699,0.82421875
1636493735.8019016,3749,0.79296875
1636493736.4306533,3799,0.80078125
1636493737.0492551,3849,0.8359375
1636493737.6744115,3899,0.82421875
1636493738.3312657,3949,0.796875
1636493738.9568472,3999,0.78125
1636493739.6059694,4049,0.7636363506317139
1636493741.1632068,4099,0.85546875
1636493741.8169487,4149,0.84375
1636493742.4475613,4199,0.8046875
1636493743.080076,4249,0.8046875
1636493743.7142503,4299,0.8046875
1636493744.3428717,4349,0.8203125
1636493744.978407,4399,0.8046875
1636493745.6086197,4449,0.8203125
1636493747.1989808,4499,0.8125
1636493747.8348832,4549,0.828125
1636493748.4694421,4599,0.84765625
1636493749.0906146,4649,0.8515625
1636493749.717545,4699,0.8046875
1636493750.3537545,4749,0.82421875
1636493750.999337,4799,0.828125
