Wall time,Step,Value
1636510080.719944,49,0.3671875
1636510081.3611724,99,0.46875
1636510082.013514,149,0.453125
1636510082.6592581,199,0.51953125
1636510083.313514,249,0.5078125
1636510083.9657967,299,0.5
1636510085.553182,349,0.56640625
1636510086.2039418,399,0.5703125
1636510086.8484395,449,0.6015625
1636510087.4867983,499,0.5859375
1636510088.1090765,549,0.65625
1636510088.7620237,599,0.625
1636510089.4287121,649,0.66015625
1636510091.0191565,699,0.76953125
1636510091.6531496,749,0.76953125
1636510092.3305387,799,0.75
1636510092.9701142,849,0.75390625
1636510093.6952126,899,0.78515625
1636510094.3635566,949,0.734375
1636510095.0206242,999,0.796875
1636510096.801383,1049,0.7734375
1636510097.5331635,1099,0.76953125
1636510098.2025826,1149,0.828125
1636510098.8331182,1199,0.77734375
1636510099.5021148,1249,0.8125
1636510100.1574023,1299,0.75
1636510100.8049462,1349,0.74609375
1636510102.3883796,1399,0.859375
1636510103.037847,1449,0.8359375
1636510103.683602,1499,0.796875
1636510104.3358204,1549,0.80859375
1636510104.9879756,1599,0.81640625
1636510105.62838,1649,0.8125
1636510106.282778,1699,0.80078125
1636510107.4670928,1749,0.8359375
1636510108.1299884,1799,0.80859375
1636510108.775557,1849,0.76953125
1636510109.4293954,1899,0.75
1636510110.1122103,1949,0.77734375
1636510110.757047,1999,0.7421875
1636510111.4061556,2049,0.77734375
1636510112.6136723,2099,0.83203125
1636510113.2613082,2149,0.8046875
1636510113.9209516,2199,0.80078125
1636510114.5984907,2249,0.7734375
1636510115.2416518,2299,0.77734375
1636510115.8882494,2349,0.80078125
1636510116.5241861,2399,0.7421875
1636510117.7333739,2449,0.80078125
1636510118.3796844,2499,0.81640625
1636510119.049886,2549,0.8203125
1636510119.7177281,2599,0.7890625
1636510120.3868623,2649,0.78125
1636510121.023506,2699,0.75390625
1636510122.2011907,2749,0.8125
1636510122.8704062,2799,0.7890625
1636510123.501696,2849,0.796875
1636510124.1602142,2899,0.79296875
1636510124.8146248,2949,0.77734375
1636510125.487793,2999,0.80078125
1636510126.1396463,3049,0.78125
1636510127.3648741,3099,0.84765625
1636510128.021934,3149,0.8046875
1636510128.6868327,3199,0.7890625
1636510129.3603933,3249,0.76953125
1636510130.021506,3299,0.828125
1636510130.658901,3349,0.828125
1636510131.2963545,3399,0.8046875
1636510132.4998841,3449,0.84765625
1636510133.168242,3499,0.83203125
1636510133.8134787,3549,0.8203125
1636510134.479799,3599,0.84375
1636510135.2057986,3649,0.79296875
1636510135.8688118,3699,0.80078125
1636510136.5257692,3749,0.79296875
1636510137.7053378,3799,0.828125
1636510138.366081,3849,0.83984375
1636510139.0313737,3899,0.81640625
1636510139.676342,3949,0.80859375
1636510140.3228319,3999,0.859375
1636510140.9689221,4049,0.8125
1636510141.6439605,4099,0.8515625
1636510142.8323393,4149,0.82421875
1636510143.5038974,4199,0.8359375
1636510144.1473808,4249,0.8046875
1636510144.806256,4299,0.796875
1636510145.461584,4349,0.8359375
1636510146.151077,4399,0.83203125
1636510146.797809,4449,0.83203125
1636510148.0210123,4499,0.8671875
1636510148.6666217,4549,0.8671875
1636510149.328485,4599,0.8359375
1636510149.977484,4649,0.796875
1636510150.622248,4699,0.83203125
1636510151.2654908,4749,0.8515625
1636510151.925675,4799,0.83203125
1636510153.5309026,4849,0.84765625
1636510154.1988468,4899,0.80859375
1636510154.854742,4949,0.8515625
1636510155.489613,4999,0.84375
1636510156.1594756,5049,0.8515625
1636510156.809008,5099,0.81640625
1636510157.9916296,5149,0.84375
1636510158.6513922,5199,0.85546875
1636510159.2929623,5249,0.88671875
1636510159.9796064,5299,0.85546875
1636510160.6492357,5349,0.859375
1636510161.3123713,5399,0.8828125
1636510161.9592288,5449,0.875
1636510163.1842875,5499,0.87109375
1636510163.859952,5549,0.89453125
1636510164.5299325,5599,0.859375
1636510165.2074156,5649,0.86328125
1636510165.8385828,5699,0.8671875
1636510166.5043418,5749,0.87109375
1636510167.2675145,5799,0.8828125
1636510168.9228468,5849,0.890625
1636510169.6249871,5899,0.90234375
1636510170.3014467,5949,0.88671875
1636510171.013601,5999,0.87890625
1636510171.6605005,6049,0.88671875
1636510172.325817,6099,0.88671875
1636510172.962587,6149,0.8828125
1636510174.2414625,6199,0.9140625
1636510174.9044392,6249,0.90625
1636510175.5812252,6299,0.921875
1636510176.255095,6349,0.90625
1636510176.8948388,6399,0.85546875
1636510177.5313146,6449,0.91015625
1636510178.178776,6499,0.890625
1636510179.359277,6549,0.92578125
1636510180.019816,6599,0.9375
1636510180.666475,6649,0.93359375
1636510181.3258536,6699,0.90234375
1636510181.9868295,6749,0.9140625
1636510182.6357527,6799,0.91015625
1636510183.2782824,6849,0.8828125
1636510184.4791641,6899,0.9296875
1636510185.1230214,6949,0.9375
1636510185.8025095,6999,0.94140625
1636510186.4682603,7049,0.91796875
1636510187.1101696,7099,0.92578125
1636510187.7434847,7149,0.9453125
1636510188.409173,7199,0.91015625
1636510189.6480117,7249,0.94921875
1636510190.3384364,7299,0.96875
1636510190.9940712,7349,0.953125
1636510191.6586885,7399,0.953125
1636510192.3013911,7449,0.94140625
1636510192.9453716,7499,0.94140625
1636510194.178797,7549,0.98046875
1636510194.8506112,7599,0.98046875
1636510195.5006258,7649,0.96484375
1636510196.149426,7699,0.984375
1636510196.8114836,7749,0.96484375
1636510197.4616113,7799,0.97265625
1636510198.1425111,7849,0.9453125
1636510199.3592207,7899,0.984375
1636510200.0201557,7949,0.98828125
1636510200.672895,7999,0.984375
1636510201.3369522,8049,0.9609375
1636510202.0389512,8099,0.9765625
1636510202.7071583,8149,0.98046875
1636510203.3712647,8199,0.97265625
1636510204.555858,8249,0.98828125
1636510205.24044,8299,0.98828125
1636510205.9252126,8349,0.984375
1636510206.5780134,8399,0.9921875
1636510207.2303147,8449,0.9765625
1636510207.8962145,8499,0.9921875
1636510208.575151,8549,0.984375
1636510209.8079739,8599,0.9921875
1636510210.4614165,8649,0.99609375
1636510211.1143818,8699,0.99609375
1636510211.7467487,8749,0.9921875
1636510212.3955967,8799,0.99609375
1636510213.0305965,8849,0.98828125
1636510213.7013814,8899,1.0
1636510214.89597,8949,0.99609375
1636510215.5606694,8999,0.99609375
1636510216.2346804,9049,0.98828125
1636510216.880554,9099,0.98828125
1636510217.5553188,9149,0.9921875
1636510218.207092,9199,1.0
1636510218.8476768,9249,0.99609375
