Wall time,Step,Value
1636467838.5249286,49,0.59375
1636467839.2087533,99,0.66015625
1636467840.037702,149,0.70703125
1636467840.708156,199,0.734375
1636467841.3952694,249,0.79296875
1636467842.085714,299,0.80078125
1636467842.7330701,349,0.83203125
1636467843.389781,399,0.859375
1636467845.0889876,449,0.90234375
1636467845.7454967,499,0.8828125
1636467846.4147038,549,0.8984375
1636467847.0911472,599,0.90234375
1636467847.7674785,649,0.88671875
1636467848.442062,699,0.8984375
1636467849.1028848,749,0.90234375
1636467849.7639868,799,0.93359375
1636467851.490167,849,0.95703125
1636467852.1854732,899,0.9375
1636467852.8661165,949,0.92578125
1636467853.5324972,999,0.91796875
1636467854.2106848,1049,0.9453125
1636467854.8929222,1099,0.88671875
1636467855.5501606,1149,0.9375
1636467856.2297907,1199,0.9453125
1636467856.8773282,1249,0.91796875
1636467858.1736183,1299,0.93359375
1636467858.8257976,1349,0.9296875
1636467859.4880228,1399,0.96875
1636467860.1619086,1449,0.94140625
1636467860.8542979,1499,0.921875
1636467861.5066726,1549,0.8984375
1636467862.1773148,1599,0.8984375
1636467862.8369558,1649,0.90625
1636467864.1302774,1699,0.91796875
1636467864.7936008,1749,0.91015625
1636467865.46126,1799,0.9296875
1636467866.115986,1849,0.93359375
1636467866.7684357,1899,0.8984375
1636467867.437275,1949,0.92578125
1636467868.0870452,1999,0.890625
1636467868.7468858,2049,0.90234375
1636467869.4088855,2099,0.91796875
1636467870.7076395,2149,0.90234375
1636467871.3879452,2199,0.91015625
1636467872.0551794,2249,0.92578125
1636467872.7190425,2299,0.9140625
1636467873.3855171,2349,0.91015625
1636467874.0522907,2399,0.90234375
1636467874.7294536,2449,0.91015625
1636467875.383433,2499,0.9140625
1636467876.660577,2549,0.90234375
1636467877.3390307,2599,0.890625
1636467877.9863198,2649,0.94921875
1636467878.68659,2699,0.9296875
1636467879.353645,2749,0.9140625
1636467880.0134897,2799,0.8984375
1636467880.6934116,2849,0.9296875
1636467881.3792646,2899,0.89453125
1636467882.0497198,2949,0.87890625
1636467883.3079827,2999,0.921875
1636467883.9837105,3049,0.90625
1636467884.6498706,3099,0.88671875
1636467885.3333752,3149,0.875
1636467885.9848409,3199,0.92578125
1636467886.6392088,3249,0.90234375
1636467887.317698,3299,0.88671875
1636467888.0024605,3349,0.88671875
1636467889.3169384,3399,0.92578125
1636467890.003504,3449,0.921875
1636467890.6730924,3499,0.91796875
1636467891.3458853,3549,0.875
1636467892.0477147,3599,0.8984375
1636467892.7302752,3649,0.890625
1636467893.4201126,3699,0.91015625
1636467894.1388338,3749,0.90234375
1636467895.4727294,3799,0.88671875
1636467896.1358395,3849,0.8984375
1636467896.8106983,3899,0.8984375
1636467897.476248,3949,0.90234375
1636467898.1681008,3999,0.87109375
1636467898.8315454,4049,0.921875
1636467899.5015051,4099,0.85546875
1636467900.1814013,4149,0.90234375
1636467900.8528116,4199,0.91796875
1636467902.173158,4249,0.8984375
1636467902.8330662,4299,0.91796875
1636467903.4865236,4349,0.87890625
1636467904.1471682,4399,0.91015625
1636467904.8050387,4449,0.87109375
1636467905.4648097,4499,0.88671875
1636467906.1467733,4549,0.9296875
1636467906.811759,4599,0.92578125
1636467908.089657,4649,0.89453125
1636467908.7678213,4699,0.90625
1636467909.466882,4749,0.8828125
1636467910.1548734,4799,0.91015625
1636467910.831293,4849,0.890625
1636467911.499417,4899,0.9140625
1636467912.1540346,4949,0.8828125
1636467912.8928292,4999,0.9140625
1636467913.5600622,5049,0.890625
