Wall time,Step,Value
1636493798.0922737,49,0.66015625
1636493798.9394329,99,0.79296875
1636493799.7438395,149,0.796875
1636493800.547758,199,0.7890625
1636493801.341328,249,0.83984375
1636493802.1380603,299,0.81640625
1636493802.9545896,349,0.859375
1636493803.7692065,399,0.84375
1636493804.6147804,449,0.85546875
1636493805.4133763,499,0.83984375
1636493806.2047007,549,0.83984375
1636493807.0124927,599,0.859375
1636493807.8262286,649,0.8671875
1636493808.6375978,699,0.85546875
1636493809.431067,749,0.83984375
1636493810.2485394,799,0.86328125
1636493811.0695224,849,0.89453125
1636493811.8622303,899,0.87890625
1636493812.6694546,949,0.83984375
1636493813.4956386,999,0.84765625
1636493814.3253498,1049,0.89453125
1636493815.1295671,1099,0.859375
1636493815.9260347,1149,0.85546875
1636493816.7297003,1199,0.8671875
1636493817.539314,1249,0.87109375
1636493818.3497474,1299,0.84375
1636493819.144977,1349,0.875
1636493820.0112429,1399,0.87109375
1636493820.8126273,1449,0.859375
1636493821.6135175,1499,0.9140625
1636493822.4702225,1549,0.85546875
1636493823.2560954,1599,0.88671875
1636493824.072803,1649,0.875
1636493824.8652425,1699,0.88671875
1636493825.6868315,1749,0.8984375
1636493826.4875324,1799,0.8359375
1636493827.2912958,1849,0.88671875
1636493828.1061914,1899,0.84765625
1636493828.9148698,1949,0.890625
1636493829.720672,1999,0.88671875
1636493830.5210302,2049,0.8828125
1636493831.32664,2099,0.84375
1636493832.132672,2149,0.8203125
1636493832.9325695,2199,0.87109375
1636493833.7264853,2249,0.8671875
1636493834.5303848,2299,0.8515625
1636493835.3366268,2349,0.90234375
1636493836.1357558,2399,0.89453125
1636493836.9293704,2449,0.91015625
1636493837.7445805,2499,0.87890625
1636493838.5597186,2549,0.87890625
1636493839.3520873,2599,0.890625
1636493840.1521578,2649,0.85546875
1636493841.0239332,2699,0.875
1636493841.8334205,2749,0.90625
1636493842.6365855,2799,0.89453125
1636493843.4539356,2849,0.84375
1636493847.1355364,2899,0.89453125
1636493847.9309692,2949,0.90234375
1636493848.7507727,2999,0.91015625
1636493849.5587056,3049,0.91015625
1636493850.3953419,3099,0.90625
1636493851.2028606,3149,0.90625
1636493852.0088518,3199,0.86328125
1636493852.8463006,3249,0.85546875
