Wall time,Step,Value
1636467257.2502751,49,0.484375
1636467258.0800705,99,0.52734375
1636467258.9191597,149,0.546875
1636467259.7656662,199,0.56640625
1636467260.6011536,249,0.69921875
1636467261.4401917,299,0.6015625
1636467262.2731144,349,0.625
1636467263.1325843,399,0.66015625
1636467263.9597793,449,0.73828125
1636467264.783926,499,0.71484375
1636467265.631586,549,0.74609375
1636467266.4934604,599,0.76171875
1636467267.3441377,649,0.7578125
1636467268.1808887,699,0.76171875
1636467269.0186465,749,0.765625
1636467269.852326,799,0.7890625
1636467270.7093732,849,0.81640625
1636467271.5564454,899,0.8828125
1636467272.3953133,949,0.80078125
1636467273.2428837,999,0.80078125
1636467274.0929937,1049,0.7734375
1636467274.9487667,1099,0.8359375
1636467275.7861576,1149,0.83984375
1636467276.6257484,1199,0.80078125
1636467277.4640665,1249,0.8359375
1636467278.2966309,1299,0.8515625
1636467279.1201763,1349,0.81640625
1636467279.9589705,1399,0.84765625
1636467280.788462,1449,0.8359375
1636467281.6446276,1499,0.87109375
1636467282.4973888,1549,0.859375
1636467283.3329852,1599,0.84765625
1636467284.169825,1649,0.86328125
1636467285.0241864,1699,0.84765625
1636467285.8507757,1749,0.80859375
1636467286.6906726,1799,0.8515625
1636467287.5336885,1849,0.8359375
1636467288.3647738,1899,0.84765625
1636467289.204685,1949,0.86328125
1636467290.0486748,1999,0.83984375
1636467290.8885033,2049,0.84765625
1636467291.7283576,2099,0.86328125
1636467292.568262,2149,0.8828125
1636467293.4211128,2199,0.859375
1636467294.2492192,2249,0.8671875
1636467295.0889194,2299,0.875
1636467295.9308262,2349,0.875
1636467296.7751796,2399,0.890625
1636467297.645404,2449,0.875
1636467298.487989,2499,0.83984375
1636467299.3469772,2549,0.87890625
1636467300.1799076,2599,0.875
1636467301.0154817,2649,0.88671875
1636467301.9484127,2699,0.890625
1636467302.7754607,2749,0.88671875
1636467303.611799,2799,0.86328125
1636467304.4700954,2849,0.85546875
1636467308.3728235,2899,0.88671875
1636467309.2305567,2949,0.8671875
1636467310.0624633,2999,0.8671875
1636467310.9230843,3049,0.87890625
1636467311.757452,3099,0.87109375
1636467312.619492,3149,0.8828125
1636467313.4729397,3199,0.859375
1636467314.322573,3249,0.87109375
1636467315.1623733,3299,0.88671875
1636467316.0096588,3349,0.8515625
1636467316.8620636,3399,0.890625
1636467317.7072525,3449,0.87109375
1636467318.5437303,3499,0.890625
1636467319.4034944,3549,0.84765625
1636467320.249097,3599,0.87109375
1636467321.0816905,3649,0.88671875
1636467321.9461167,3699,0.8984375
1636467322.777424,3749,0.875
1636467323.605112,3799,0.8984375
1636467324.4434466,3849,0.87890625
1636467325.2975667,3899,0.91015625
1636467326.1396449,3949,0.8671875
1636467326.9982204,3999,0.859375
1636467327.8259487,4049,0.890625
1636467328.668108,4099,0.875
1636467329.5178676,4149,0.88671875
1636467330.3755639,4199,0.87890625
1636467331.2329807,4249,0.87890625
1636467332.0793185,4299,0.87890625
1636467332.936724,4349,0.8671875
1636467333.8534932,4399,0.859375
1636467334.6933715,4449,0.859375
1636467335.5366747,4499,0.8515625
1636467336.38652,4549,0.9140625
1636467337.2176998,4599,0.8828125
1636467338.061589,4649,0.90625
1636467338.8920102,4699,0.86328125
1636467339.7362325,4749,0.875
1636467340.60519,4799,0.8671875
1636467341.4550676,4849,0.84765625
1636467342.3025281,4899,0.84375
1636467343.1384141,4949,0.859375
1636467343.9818552,4999,0.82421875
1636467344.8228362,5049,0.91796875
1636467345.670068,5099,0.875
1636467346.523232,5149,0.8828125
1636467347.3689382,5199,0.88671875
1636467348.2016206,5249,0.859375
1636467349.0388198,5299,0.87109375
1636467349.8863535,5349,0.875
1636467350.7266214,5399,0.87890625
1636467351.5479896,5449,0.890625
1636467352.3932467,5499,0.87109375
1636467353.2597997,5549,0.859375
1636467354.0863142,5599,0.87890625
1636467354.915929,5649,0.87890625
1636467355.760195,5699,0.87890625
1636467356.6058173,5749,0.84765625
1636467360.4662542,5799,0.8671875
1636467361.3127356,5849,0.85546875
1636467362.1592195,5899,0.87109375
1636467363.0063107,5949,0.88671875
1636467363.8301892,5999,0.875
1636467364.678625,6049,0.8359375
1636467365.6079996,6099,0.8671875
1636467366.4828343,6149,0.83984375
1636467367.3160694,6199,0.87890625
1636467368.1784706,6249,0.87890625
1636467369.0650637,6299,0.90625
1636467369.8816,6349,0.890625
1636467370.7372723,6399,0.90625
1636467371.5757275,6449,0.87890625
1636467372.4133108,6499,0.87109375
1636467373.2364023,6549,0.8828125
1636467374.1431146,6599,0.8671875
1636467374.965327,6649,0.91015625
1636467375.8077824,6699,0.86328125
1636467376.6648927,6749,0.8515625
1636467377.499954,6799,0.8828125
1636467378.3554604,6849,0.88671875
1636467379.20518,6899,0.84765625
1636467380.0483265,6949,0.87109375
1636467380.887756,6999,0.8828125
1636467381.7319717,7049,0.84765625
1636467382.5775738,7099,0.84375
1636467383.4123123,7149,0.890625
1636467384.2559154,7199,0.859375
1636467385.0868006,7249,0.8828125
1636467385.914641,7299,0.8359375
1636467386.7561138,7349,0.8515625
1636467387.602669,7399,0.796875
1636467388.4434698,7449,0.859375
1636467389.2696571,7499,0.87109375
1636467390.1112,7549,0.8828125
1636467390.9548795,7599,0.8515625
1636467391.796866,7649,0.84375
1636467392.6437275,7699,0.875
1636467393.474696,7749,0.84765625
1636467394.3148813,7799,0.8046875
1636467395.1391234,7849,0.8828125
1636467396.0028284,7899,0.87109375
1636467396.8543081,7949,0.87109375
1636467397.7048328,7999,0.890625
1636467398.577549,8049,0.87890625
1636467399.408918,8099,0.8828125
1636467400.2530422,8149,0.86328125
1636467401.1144814,8199,0.85546875
1636467401.9775147,8249,0.85546875
1636467402.8039231,8299,0.859375
1636467403.6512117,8349,0.875
1636467404.5013144,8399,0.86328125
1636467405.3643477,8449,0.8515625
1636467406.2108934,8499,0.84375
1636467407.0558324,8549,0.86328125
1636467407.9150321,8599,0.85546875
1636467408.8084118,8649,0.85546875
1636467412.3213177,8699,0.86328125
1636467413.1643655,8749,0.86328125
1636467414.020613,8799,0.83203125
1636467414.8718498,8849,0.88671875
1636467415.7284591,8899,0.88671875
1636467416.5858073,8949,0.8828125
1636467417.431029,8999,0.8515625
1636467418.27413,9049,0.87890625
1636467419.1382737,9099,0.8359375
1636467419.9628518,9149,0.8828125
1636467420.804066,9199,0.83203125
1636467421.6531725,9249,0.8671875
1636467422.5292258,9299,0.86328125
1636467423.3683012,9349,0.80859375
1636467424.2118444,9399,0.89453125
1636467425.0449634,9449,0.87109375
1636467425.8801343,9499,0.86328125
1636467426.7130132,9549,0.87890625
1636467427.5701716,9599,0.85546875
1636467428.413142,9649,0.828125
1636467429.2574508,9699,0.85546875
1636467430.0932128,9749,0.875
1636467430.9184926,9799,0.87109375
1636467431.808976,9849,0.86328125
1636467432.639949,9899,0.8359375
1636467433.4861803,9949,0.875
1636467434.321286,9999,0.875
1636467435.1637535,10049,0.87890625
1636467436.0072849,10099,0.8984375
1636467436.907136,10149,0.86328125
1636467437.810788,10199,0.8828125
1636467438.641249,10249,0.8515625
1636467439.4872582,10299,0.87890625
1636467440.3292482,10349,0.890625
1636467441.1640263,10399,0.8359375
1636467442.002889,10449,0.87109375
1636467442.8329563,10499,0.87109375
1636467443.6921113,10549,0.83984375
1636467444.5302513,10599,0.87109375
1636467445.3640177,10649,0.8359375
1636467446.205519,10699,0.859375
1636467447.0380907,10749,0.8515625
1636467447.8760188,10799,0.84375
1636467448.7034152,10849,0.84375
1636467449.5687737,10899,0.86328125
1636467450.3963573,10949,0.83203125
