Wall time,Step,Value
1635822567.041714,49,0.4765625
1635822568.078995,99,0.40625
1635822569.1075947,149,0.453125
1635822570.2074575,199,0.46875
1635822571.2395155,249,0.40625
1635822572.262512,299,0.5
1635822573.2915678,349,0.4375
1635822574.288363,399,0.5546875
1635822575.3231525,449,0.5390625
1635822576.3717184,499,0.5625
1635822577.4058633,549,0.671875
1635822578.4345896,599,0.7265625
1635822579.4787273,649,0.703125
1635822580.5064476,699,0.65625
1635822581.5885057,749,0.6875
1635822582.6506088,799,0.7578125
1635822585.8373082,849,0.7890625
1635822586.886636,899,0.8046875
1635822587.9266877,949,0.734375
1635822588.9724793,999,0.765625
1635822590.0047357,1049,0.8125
1635822591.0320663,1099,0.703125
1635822592.0539825,1149,0.75
1635822593.0693722,1199,0.78125
1635822594.1181552,1249,0.8046875
1635822595.1460035,1299,0.8046875
1635822596.188466,1349,0.84375
1635822597.215093,1399,0.8359375
1635822598.225089,1449,0.7578125
1635822599.2539387,1499,0.78125
1635822600.289138,1549,0.875
1635822601.3156009,1599,0.8671875
1635822604.5288062,1649,0.84375
1635822605.5464365,1699,0.875
1635822606.585689,1749,0.890625
1635822607.6101022,1799,0.859375
1635822608.6363459,1849,0.84375
1635822609.652845,1899,0.859375
1635822610.6702363,1949,0.8046875
1635822611.700863,1999,0.8671875
1635822612.7250884,2049,0.875
1635822613.755434,2099,0.8984375
1635822614.7640123,2149,0.890625
1635822615.7830622,2199,0.8203125
1635822616.8267062,2249,0.84375
1635822617.8562665,2299,0.90625
1635822618.9301994,2349,0.9140625
1635822619.9624693,2399,0.8359375
1635822623.1796408,2449,0.8671875
1635822624.2259429,2499,0.90625
1635822625.2974625,2549,0.9140625
1635822626.411096,2599,0.9140625
1635822627.4425554,2649,0.9375
1635822628.468892,2699,0.859375
1635822629.5018606,2749,0.859375
1635822630.5311499,2799,0.828125
1635822631.5868165,2849,0.875
1635822632.6337044,2899,0.875
1635822633.6683218,2949,0.8984375
1635822634.6991818,2999,0.84375
1635822635.7287183,3049,0.875
1635822636.7697017,3099,0.8671875
1635822637.8056583,3149,0.84375
1635822638.8295455,3199,0.890625
1635822641.6124353,3249,0.90625
1635822642.6612031,3299,0.890625
1635822643.6962752,3349,0.90625
1635822644.7506592,3399,0.953125
1635822645.783877,3449,0.890625
1635822646.805884,3499,0.859375
1635822647.8166683,3549,0.859375
1635822648.8288121,3599,0.9140625
1635822649.8665736,3649,0.890625
1635822650.8915932,3699,0.8515625
1635822651.9228861,3749,0.90625
1635822652.934045,3799,0.84375
1635822653.9570885,3849,0.84375
1635822654.9767962,3899,0.8359375
1635822656.0075805,3949,0.8515625
1635822657.0567753,3999,0.8515625
1635822659.8278706,4049,0.9296875
1635822660.8588586,4099,0.8671875
1635822661.8978696,4149,0.9140625
1635822662.9280927,4199,0.859375
1635822663.9359896,4249,0.9140625
1635822664.9946065,4299,0.8359375
1635822666.0215242,4349,0.8671875
1635822667.0534344,4399,0.875
1635822668.101995,4449,0.875
1635822669.1542187,4499,0.890625
1635822670.163748,4549,0.890625
1635822671.2897546,4599,0.8203125
1635822672.350471,4649,0.921875
1635822673.4076087,4699,0.8203125
1635822674.4558437,4749,0.8671875
1635822675.5083432,4799,0.890625
1635822678.2736945,4849,0.8515625
1635822679.3913622,4899,0.8515625
1635822680.424064,4949,0.8671875
1635822681.4372838,4999,0.9140625
1635822682.4566953,5049,0.875
1635822683.4856844,5099,0.8984375
1635822684.5019712,5149,0.9140625
1635822685.5431318,5199,0.875
1635822686.5705805,5249,0.84375
1635822687.608113,5299,0.8671875
1635822688.6287053,5349,0.890625
1635822689.6570964,5399,0.8046875
1635822690.689565,5449,0.859375
1635822691.7358432,5499,0.90625
1635822692.7476919,5549,0.890625
1635822693.7897637,5599,0.8671875
1635822694.8068044,5649,0.8984375
1635822697.577494,5699,0.890625
1635822698.6013234,5749,0.859375
1635822699.6391835,5799,0.90625
1635822700.6594286,5849,0.9140625
1635822701.7059212,5899,0.875
1635822702.7157693,5949,0.9453125
1635822703.7313657,5999,0.8515625
1635822704.768452,6049,0.875
1635822705.7892725,6099,0.8359375
1635822706.8348749,6149,0.8984375
1635822707.9011593,6199,0.8828125
1635822708.9370317,6249,0.8125
1635822709.9808474,6299,0.8671875
1635822711.0243149,6349,0.9140625
1635822712.0480826,6399,0.8828125
1635822713.116191,6449,0.875
1635822715.8909705,6499,0.90625
1635822716.9301214,6549,0.8984375
1635822717.9485087,6599,0.859375
1635822718.9890335,6649,0.8515625
1635822720.0218596,6699,0.859375
1635822721.0399141,6749,0.8671875
1635822722.0726032,6799,0.953125
1635822723.1009874,6849,0.9140625
1635822724.128064,6899,0.8671875
1635822725.1832883,6949,0.90625
1635822726.2246256,6999,0.8125
1635822727.253952,7049,0.921875
1635822728.2722645,7099,0.8515625
1635822729.3415582,7149,0.8828125
1635822730.3834562,7199,0.8984375
1635822731.4389603,7249,0.875
1635822734.2258704,7299,0.8828125
1635822735.2690363,7349,0.890625
1635822736.2925866,7399,0.9296875
1635822737.3285966,7449,0.890625
1635822738.3416193,7499,0.875
1635822739.3642845,7549,0.875
1635822740.3949823,7599,0.8515625
