Wall time,Step,Value
1635820959.7053924,49,0.3046875
1635820960.7199383,99,0.4375
1635820961.7367094,149,0.3828125
1635820962.7549276,199,0.3671875
1635820963.7607973,249,0.40625
1635820964.7846556,299,0.4296875
1635820965.8089736,349,0.390625
1635820966.8123279,399,0.5078125
1635820967.8439753,449,0.53125
1635820968.8819175,499,0.4609375
1635820969.895411,549,0.5390625
1635820970.9315763,599,0.484375
1635820971.9611676,649,0.5859375
1635820972.9832194,699,0.59375
1635820974.0304646,749,0.6328125
1635820975.0698302,799,0.5859375
1635820976.0910914,849,0.5546875
1635820977.1252043,899,0.6484375
1635820978.1504786,949,0.640625
1635820979.1701183,999,0.6953125
1635820980.187138,1049,0.6796875
1635820981.2074654,1099,0.7265625
1635820982.2234035,1149,0.703125
1635820983.2628844,1199,0.6640625
1635820984.3009307,1249,0.734375
1635820985.326324,1299,0.6875
1635820986.3703268,1349,0.8046875
1635820987.4054434,1399,0.7421875
1635820988.4136755,1449,0.7421875
1635820989.458928,1499,0.796875
1635820990.470996,1549,0.734375
1635820991.5263052,1599,0.7578125
1635820992.5863667,1649,0.6953125
1635820993.6003947,1699,0.7578125
1635820994.612404,1749,0.78125
1635820995.6164055,1799,0.765625
1635820996.6609538,1849,0.671875
1635820997.6882207,1899,0.7734375
1635820998.7064111,1949,0.7109375
1635820999.7447479,1999,0.8046875
1635821000.7689748,2049,0.7734375
1635821001.7956028,2099,0.7890625
1635821002.825977,2149,0.734375
1635821003.8587964,2199,0.71875
1635821004.8919382,2249,0.828125
1635821005.9097326,2299,0.765625
1635821006.9620528,2349,0.78125
1635821007.9728165,2399,0.78125
1635821008.9932694,2449,0.8046875
1635821010.0152984,2499,0.7734375
1635821011.0336106,2549,0.7890625
1635821012.061641,2599,0.7265625
1635821013.0849411,2649,0.796875
1635821014.143214,2699,0.796875
1635821015.1827776,2749,0.8125
1635821016.2860832,2799,0.7890625
1635821017.3338716,2849,0.8203125
1635821022.0904958,2899,0.7734375
1635821023.2159548,2949,0.84375
1635821024.2292154,2999,0.828125
1635821025.2488875,3049,0.859375
1635821026.2711892,3099,0.828125
1635821027.349147,3149,0.796875
1635821028.386239,3199,0.8515625
1635821029.4142382,3249,0.7890625
1635821030.422583,3299,0.8125
1635821031.4446173,3349,0.7421875
1635821032.4745424,3399,0.8203125
1635821033.5349543,3449,0.8671875
1635821034.5482457,3499,0.7890625
1635821035.5810113,3549,0.8203125
1635821036.5955408,3599,0.8203125
1635821037.635756,3649,0.8046875
1635821038.638126,3699,0.84375
1635821039.6569352,3749,0.8359375
1635821040.7350726,3799,0.765625
1635821041.7650526,3849,0.78125
1635821042.7997181,3899,0.8515625
1635821043.8143945,3949,0.8203125
1635821044.8268886,3999,0.8671875
1635821045.837641,4049,0.84375
1635821046.8427029,4099,0.796875
1635821047.8754408,4149,0.8046875
1635821048.892512,4199,0.8515625
1635821049.9038687,4249,0.859375
1635821050.9231546,4299,0.7890625
1635821051.950317,4349,0.8125
1635821052.9799762,4399,0.796875
1635821053.9896977,4449,0.8125
1635821054.9902797,4499,0.8046875
1635821056.0155678,4549,0.859375
1635821057.0581882,4599,0.8359375
1635821058.0888236,4649,0.828125
1635821059.1905372,4699,0.7421875
1635821060.2065048,4749,0.8515625
1635821061.2423525,4799,0.8359375
1635821062.2572916,4849,0.8203125
1635821063.2891178,4899,0.8046875
1635821064.3109856,4949,0.859375
1635821065.333957,4999,0.84375
1635821066.3515964,5049,0.828125
1635821067.3743923,5099,0.8125
1635821068.4235053,5149,0.8671875
1635821069.4869685,5199,0.7890625
1635821070.5022278,5249,0.8046875
1635821071.5585198,5299,0.90625
1635821072.5850081,5349,0.8359375
1635821073.6151912,5399,0.859375
1635821074.641475,5449,0.8203125
1635821075.6989484,5499,0.8515625
1635821076.7467954,5549,0.875
1635821077.7982335,5599,0.8125
1635821078.8376052,5649,0.90625
1635821079.8695953,5699,0.84375
1635821080.8929672,5749,0.84375
1635821085.5236554,5799,0.84375
1635821086.5721154,5849,0.875
1635821087.6252115,5899,0.8359375
1635821088.6347585,5949,0.8984375
1635821089.6904852,5999,0.8671875
1635821090.724628,6049,0.890625
1635821091.7809587,6099,0.8125
1635821092.8079,6149,0.8515625
1635821093.8359394,6199,0.890625
1635821094.8850152,6249,0.8515625
1635821095.8937993,6299,0.8671875
1635821096.9007936,6349,0.890625
1635821097.938508,6399,0.875
1635821099.0076659,6449,0.8984375
1635821100.0344262,6499,0.8359375
1635821101.0582764,6549,0.84375
1635821102.0939753,6599,0.8515625
1635821103.118062,6649,0.8359375
1635821104.1405895,6699,0.8046875
1635821105.169224,6749,0.953125
1635821106.2182717,6799,0.859375
1635821107.271888,6849,0.828125
1635821108.303265,6899,0.8671875
1635821109.3477254,6949,0.8515625
1635821110.36232,6999,0.8984375
1635821111.410122,7049,0.84375
1635821112.4215386,7099,0.8515625
1635821113.4806151,7149,0.8046875
1635821114.5061316,7199,0.8203125
1635821115.532512,7249,0.8671875
1635821116.5919406,7299,0.890625
1635821117.6231725,7349,0.8203125
1635821118.6444647,7399,0.8046875
1635821119.7038996,7449,0.828125
1635821120.8361306,7499,0.84375
1635821121.8793225,7549,0.8359375
1635821122.894103,7599,0.8828125
1635821123.9179118,7649,0.828125
1635821125.0310502,7699,0.875
1635821126.0600781,7749,0.8828125
1635821127.0784955,7799,0.859375
1635821128.087812,7849,0.890625
1635821129.1302757,7899,0.7890625
1635821130.1349156,7949,0.828125
1635821131.210094,7999,0.8203125
1635821132.2498522,8049,0.8984375
1635821133.28472,8099,0.8359375
1635821134.3262894,8149,0.8828125
1635821135.3285491,8199,0.890625
1635821136.3596005,8249,0.8671875
1635821137.402282,8299,0.8046875
1635821138.4400034,8349,0.7734375
1635821139.492596,8399,0.8671875
1635821140.5185182,8449,0.828125
1635821141.5855768,8499,0.84375
1635821142.6217728,8549,0.84375
1635821143.653477,8599,0.8125
1635821144.725016,8649,0.8828125
1635821149.4069881,8699,0.859375
1635821150.4578357,8749,0.859375
1635821151.5127668,8799,0.8359375
1635821152.5605845,8849,0.7890625
1635821153.6186216,8899,0.8984375
1635821154.6846554,8949,0.90625
1635821155.7449102,8999,0.84375
1635821156.7649264,9049,0.75
1635821157.798753,9099,0.890625
1635821158.8189502,9149,0.875
1635821159.8729136,9199,0.84375
1635821160.8939984,9249,0.8046875
1635821161.9094718,9299,0.859375
1635821162.9347322,9349,0.8359375
1635821163.9845154,9399,0.828125
1635821165.0352492,9449,0.859375
1635821166.0501876,9499,0.8359375
1635821167.0780425,9549,0.8671875
1635821168.1059852,9599,0.84375
1635821169.167905,9649,0.8671875
1635821170.1962976,9699,0.8515625
1635821171.238954,9749,0.8359375
1635821172.2956653,9799,0.8359375
1635821173.3387341,9849,0.8125
1635821174.370916,9899,0.875
1635821175.4305642,9949,0.8359375
1635821176.506892,9999,0.8984375
1635821177.5514627,10049,0.828125
1635821178.5950592,10099,0.8671875
1635821179.6333723,10149,0.859375
1635821180.6932783,10199,0.84375
1635821181.7345579,10249,0.8359375
1635821182.7793536,10299,0.84375
1635821183.8090215,10349,0.859375
1635821184.8395128,10399,0.8359375
1635821185.8899167,10449,0.8046875
1635821186.8987825,10499,0.8671875
1635821187.9248126,10549,0.828125
1635821188.9515157,10599,0.8203125
1635821189.9875648,10649,0.8828125
1635821191.0099669,10699,0.8203125
1635821192.050179,10749,0.7890625
1635821193.1344337,10799,0.7890625
1635821194.149253,10849,0.78125
1635821195.2023058,10899,0.875
1635821196.2909594,10949,0.828125
1635821197.3142235,10999,0.8671875
1635821198.364025,11049,0.8125
1635821199.4341602,11099,0.8828125
1635821200.4869857,11149,0.8984375
1635821201.5642374,11199,0.8203125
1635821202.5873246,11249,0.84375
1635821203.6185493,11299,0.828125
1635821204.641129,11349,0.8671875
1635821205.7123601,11399,0.875
1635821206.7509031,11449,0.8359375
1635821207.787628,11499,0.8125
1635821208.8166776,11549,0.8125
1635821213.1703663,11599,0.875
1635821214.2108896,11649,0.890625
1635821215.2545934,11699,0.8671875
1635821216.303559,11749,0.8203125
1635821217.3626068,11799,0.8359375
1635821218.4483047,11849,0.8515625
1635821219.4997234,11899,0.8671875
1635821220.549091,11949,0.8515625
1635821221.5860143,11999,0.8671875
1635821222.6101627,12049,0.8359375
1635821223.7031968,12099,0.90625
1635821224.823125,12149,0.875
1635821225.8567464,12199,0.84375
1635821226.896871,12249,0.8125
1635821228.0506911,12299,0.875
1635821229.0822601,12349,0.875
1635821230.0994263,12399,0.84375
1635821231.1448414,12449,0.9296875
1635821232.1791623,12499,0.84375
1635821233.2139866,12549,0.859375
1635821234.2225373,12599,0.875
1635821235.2688327,12649,0.8984375
1635821236.308911,12699,0.8359375
1635821237.3356824,12749,0.8203125
1635821238.345845,12799,0.8359375
1635821239.3852127,12849,0.828125
1635821240.409204,12899,0.84375
1635821241.4538321,12949,0.8125
1635821242.475053,12999,0.875
1635821243.499175,13049,0.8359375
1635821244.5398743,13099,0.859375
1635821245.591196,13149,0.875
1635821246.6182623,13199,0.875
1635821247.6341727,13249,0.875
1635821248.663538,13299,0.8359375
1635821249.7354467,13349,0.8671875
1635821250.7507625,13399,0.8203125
1635821251.7990556,13449,0.859375
1635821252.8024092,13499,0.828125
1635821253.8300881,13549,0.8515625
1635821254.8434794,13599,0.8515625
1635821255.884389,13649,0.890625
1635821256.9166932,13699,0.8359375
1635821257.9545226,13749,0.8203125
1635821258.980749,13799,0.875
1635821259.9998617,13849,0.8359375
1635821261.0341492,13899,0.8046875
1635821262.0516686,13949,0.84375
1635821263.0821242,13999,0.875
1635821264.127542,14049,0.84375
1635821265.173238,14099,0.84375
1635821266.2159526,14149,0.875
1635821267.2644548,14199,0.84375
1635821268.2715657,14249,0.8828125
1635821269.3019254,14299,0.8359375
1635821270.3352416,14349,0.84375
1635821271.4606993,14399,0.8671875
1635821272.4839253,14449,0.9140625
1635821276.7596006,14499,0.84375
1635821277.7871845,14549,0.8046875
1635821278.824889,14599,0.8203125
1635821279.8672779,14649,0.84375
1635821280.8789463,14699,0.875
1635821281.9119475,14749,0.796875
1635821282.937539,14799,0.8515625
1635821283.9530597,14849,0.8515625
1635821284.9801364,14899,0.8515625
1635821286.0009298,14949,0.7578125
1635821287.0593216,14999,0.8046875
1635821288.0998368,15049,0.84375
1635821289.1336563,15099,0.9375
1635821290.167421,15149,0.8359375
1635821291.1970365,15199,0.84375
1635821292.227163,15249,0.8515625
1635821293.246013,15299,0.8046875
1635821294.2886708,15349,0.8046875
