Wall time,Step,Value
1635826207.3002646,49,0.91015625
1635826208.331885,99,0.91015625
1635826209.3116446,149,0.9375
1635826210.3068414,199,0.96484375
1635826211.2931037,249,0.9453125
1635826212.269418,299,0.96875
1635826213.2387848,349,0.96484375
1635826214.2079706,399,0.98046875
1635826215.197705,449,0.97265625
1635826216.1641116,499,0.96484375
1635826217.1321497,549,0.95703125
1635826218.0981567,599,0.96484375
1635826219.0575113,649,0.96484375
1635826220.0414903,699,0.98046875
1635826220.9895515,749,0.9609375
1635826221.9512606,799,0.96875
1635826222.9372199,849,0.9765625
1635826223.9099066,899,0.96484375
1635826224.8665583,949,0.984375
1635826225.8177567,999,0.984375
1635826226.798517,1049,0.9765625
1635826227.8140023,1099,0.97265625
1635826228.7930834,1149,0.9765625
1635826229.779945,1199,0.98828125
1635826230.7441988,1249,0.97265625
1635826231.746003,1299,0.97265625
1635826232.707833,1349,0.97265625
1635826233.7047694,1399,0.9765625
1635826234.6725893,1449,0.96875
1635826235.6419492,1499,0.98046875
1635826236.6197531,1549,0.9765625
1635826237.6087306,1599,0.9765625
1635826238.5813832,1649,0.984375
1635826239.556456,1699,0.98828125
1635826240.5219753,1749,0.9765625
1635826241.4956236,1799,0.98828125
1635826242.451164,1849,0.98046875
1635826243.4375868,1899,0.984375
1635826244.4089856,1949,0.9765625
1635826245.356918,1999,0.97265625
1635826246.3214247,2049,0.9921875
1635826247.3173327,2099,0.99609375
1635826248.273766,2149,0.96484375
1635826252.1797018,2199,0.9921875
1635826253.156756,2249,0.9921875
1635826254.1272318,2299,0.98828125
1635826255.1272898,2349,0.98828125
1635826256.1021335,2399,0.99609375
1635826257.0823631,2449,0.984375
1635826258.047823,2499,0.96875
1635826259.030653,2549,0.98046875
1635826260.0239851,2599,0.9921875
1635826260.9866438,2649,0.99609375
1635826261.970967,2699,0.9921875
1635826262.9445117,2749,0.984375
1635826263.9077468,2799,0.98828125
1635826264.875896,2849,0.99609375
1635826265.8532813,2899,0.98828125
1635826266.84079,2949,0.98828125
1635826267.8016198,2999,0.9765625
1635826268.765692,3049,0.9921875
1635826269.7385187,3099,0.97265625
1635826270.7143273,3149,0.97265625
1635826271.6829915,3199,0.97265625
1635826272.6554077,3249,0.98046875
1635826273.6168263,3299,0.99609375
1635826274.5928571,3349,0.98046875
1635826275.5658112,3399,0.97265625
1635826276.5401804,3449,0.9921875
1635826277.5962772,3499,0.98046875
1635826278.5558457,3549,0.984375
1635826279.5364912,3599,0.97265625
1635826280.5244431,3649,0.984375
1635826281.5177257,3699,0.984375
1635826282.481131,3749,0.984375
1635826283.4548533,3799,0.98046875
1635826284.421477,3849,0.98046875
1635826285.3886228,3899,0.98046875
1635826286.363441,3949,0.953125
1635826287.3587925,3999,0.9921875
1635826288.3333616,4049,0.9921875
1635826289.3307111,4099,0.9765625
1635826290.296552,4149,0.9921875
1635826291.2753658,4199,0.9765625
1635826292.267594,4249,0.9765625
1635826293.257806,4299,0.9765625
1635826294.2400825,4349,0.97265625
1635826297.8726122,4399,0.9765625
