Wall time,Step,Value
1637689100.4680889,49,0.796875
1637689101.3651893,99,0.84765625
1637689102.1651115,149,0.90625
1637689102.9794114,199,0.85546875
1637689103.7732935,249,0.90625
1637689104.5639894,299,0.88671875
1637689105.3901527,349,0.921875
1637689106.2009008,399,0.95703125
1637689106.9934099,449,0.9375
1637689107.824524,499,0.94140625
1637689108.622268,549,0.95703125
1637689109.4349809,599,0.94921875
1637689110.247628,649,0.94140625
1637689111.0626907,699,0.96484375
1637689111.875224,749,0.9453125
1637689112.6801164,799,0.96484375
1637689113.5154588,849,0.95703125
1637689114.3417156,899,0.96875
1637689115.184887,949,0.96875
1637689116.0100322,999,0.97265625
1637689116.864209,1049,0.95703125
1637689117.74663,1099,0.96875
1637689118.6235588,1149,0.953125
1637689119.4639502,1199,0.97265625
1637689120.3122413,1249,0.9765625
1637689121.1423266,1299,0.98046875
1637689121.964846,1349,0.96875
1637689122.7929661,1399,0.984375
1637689123.6427011,1449,0.96875
1637689124.4798968,1499,0.98046875
1637689125.3210752,1549,0.9765625
1637689126.1570396,1599,0.984375
1637689126.9768863,1649,0.98046875
1637689127.8321264,1699,0.98828125
1637689128.6755073,1749,0.97265625
1637689129.499453,1799,0.98046875
1637689130.3761668,1849,0.9921875
1637689131.205128,1899,0.9765625
1637689132.0280318,1949,0.98046875
1637689132.8834622,1999,0.98046875
1637689133.7081528,2049,0.98046875
1637689134.5414116,2099,0.9765625
1637689135.3689249,2149,0.98046875
1637689138.840915,2199,0.98046875
1637689139.6886413,2249,0.99609375
1637689140.529995,2299,0.97265625
1637689141.3973467,2349,0.97265625
1637689142.2225394,2399,1.0
1637689143.0349529,2449,0.98046875
1637689143.8841028,2499,0.984375
1637689144.7145214,2549,1.0
1637689145.5878208,2599,0.984375
1637689146.473268,2649,0.96875
1637689147.339403,2699,0.96875
1637689148.2220488,2749,0.984375
1637689149.083009,2799,0.98046875
1637689149.9355066,2849,0.98046875
1637689150.8541276,2899,0.99609375
1637689151.7006214,2949,0.97265625
1637689152.5538712,2999,0.99609375
1637689153.4391065,3049,0.96484375
1637689154.2836645,3099,0.984375
1637689155.1408877,3149,0.9765625
1637689156.008304,3199,0.96875
1637689156.8640578,3249,0.98828125
1637689157.723556,3299,0.98828125
1637689158.6022406,3349,0.9921875
1637689159.4732628,3399,0.98828125
1637689160.352859,3449,0.9921875
1637689161.3022432,3499,0.97265625
1637689162.190631,3549,0.9765625
1637689163.0392663,3599,0.984375
1637689163.9237654,3649,0.9609375
1637689164.7818072,3699,1.0
1637689165.630226,3749,0.98828125
1637689166.470886,3799,0.97265625
1637689167.3389845,3849,0.984375
1637689168.2277558,3899,0.98046875
1637689169.0598197,3949,0.98046875
1637689169.93349,3999,0.9765625
1637689170.8029082,4049,0.984375
1637689171.6428516,4099,0.984375
1637689172.4957805,4149,0.98046875
1637689173.3625722,4199,0.98046875
1637689174.2161813,4249,0.97265625
1637689175.0651524,4299,0.98828125
1637689175.9438996,4349,0.9765625
1637689179.1456144,4399,0.9765625
1637689180.0289075,4449,0.96875
1637689180.9838014,4499,0.98046875
1637689181.8476686,4549,0.98046875
1637689182.7313492,4599,0.98828125
1637689183.6555128,4649,0.984375
1637689184.619415,4699,0.98046875
1637689185.520642,4749,0.9765625
1637689186.4265442,4799,0.98046875
1637689187.3292356,4849,0.98828125
1637689188.1889534,4899,0.98046875
1637689189.0621321,4949,0.97265625
1637689189.9643023,4999,0.96875
1637689190.8452961,5049,0.984375
1637689191.7350209,5099,0.98046875
1637689192.6039114,5149,0.984375
1637689193.4504824,5199,0.98046875
1637689194.288105,5249,0.9765625
1637689195.1213155,5299,0.96875
1637689195.9891481,5349,0.96875
1637689196.8435824,5399,0.96875
1637689197.6812983,5449,0.984375
1637689198.5055263,5499,0.984375
1637689199.335309,5549,0.94921875
1637689200.1761086,5599,0.98828125
1637689201.014956,5649,0.96875
1637689201.8679411,5699,0.96875
1637689202.703169,5749,0.9609375
1637689203.540805,5799,0.99609375
1637689204.3928676,5849,0.984375
1637689205.273583,5899,0.9921875
1637689206.1453543,5949,0.98046875
1637689206.9863517,5999,0.95703125
1637689207.8085558,6049,0.9609375
1637689208.677343,6099,0.96875
1637689209.5327234,6149,0.9921875
1637689210.4213762,6199,0.98046875
1637689211.3095448,6249,0.9765625
1637689212.2056441,6299,0.97265625
1637689213.0947497,6349,0.9921875
1637689213.9767652,6399,0.96484375
1637689214.802935,6449,0.9921875
1637689215.6934934,6499,0.97265625
1637689216.610307,6549,0.9609375
1637689219.7816298,6599,0.97265625
1637689220.6521647,6649,0.96875
1637689221.5614228,6699,0.98046875
1637689222.4448502,6749,0.9765625
1637689223.3368623,6799,0.97265625
1637689224.2065015,6849,0.9765625
1637689225.082158,6899,0.98046875
1637689225.9524124,6949,0.96875
1637689226.8234253,6999,0.98046875
1637689227.706934,7049,0.98046875
1637689228.6324902,7099,0.98046875
1637689229.4954398,7149,0.96875
1637689230.3903465,7199,0.96875
1637689231.237769,7249,0.96875
1637689232.1245203,7299,0.96875
1637689233.0026162,7349,0.96484375
1637689233.85109,7399,0.96484375
1637689234.7260923,7449,0.9453125
1637689235.5844939,7499,0.9765625
1637689236.477626,7549,0.9609375
1637689237.365702,7599,0.97265625
1637689238.2270005,7649,0.96484375
1637689239.1042163,7699,0.95703125
1637689239.9727433,7749,0.96484375
1637689240.884497,7799,0.97265625
1637689241.7511985,7849,0.9453125
1637689242.636251,7899,0.953125
1637689243.5199707,7949,0.953125
1637689244.4294758,7999,0.94921875
1637689245.3061924,8049,0.95703125
1637689246.1849945,8099,0.95703125
1637689247.0373526,8149,0.97265625
1637689247.9168148,8199,0.97265625
1637689248.8132656,8249,0.97265625
1637689249.6593688,8299,0.9609375
1637689250.5803716,8349,0.953125
1637689251.45678,8399,0.9609375
1637689252.3439353,8449,0.95703125
1637689253.2419777,8499,0.9609375
1637689254.1294875,8549,0.96484375
1637689255.0111248,8599,0.9609375
1637689255.9092906,8649,0.94921875
1637689256.7674315,8699,0.96484375
1637689257.654805,8749,0.9453125
1637689260.8833983,8799,0.97265625
1637689261.740574,8849,0.96875
1637689262.5861998,8899,0.9609375
1637689263.4511318,8949,0.95703125
1637689264.3652332,8999,0.98046875
1637689265.238507,9049,0.92578125
1637689266.2044241,9099,0.95703125
1637689267.0832934,9149,0.953125
1637689267.9566538,9199,0.94921875
1637689268.8441687,9249,0.9453125
1637689269.784978,9299,0.95703125
1637689270.6638381,9349,0.95703125
1637689271.536184,9399,0.94921875
1637689272.404396,9449,0.96875
1637689273.2704046,9499,0.94921875
1637689274.1612928,9549,0.9609375
1637689275.0022924,9599,0.96875
1637689275.8729808,9649,0.953125
1637689276.7274203,9699,0.96875
1637689277.601041,9749,0.93359375
1637689278.444363,9799,0.9453125
1637689279.2860749,9849,0.9609375
1637689280.1359766,9899,0.94921875
1637689281.0013828,9949,0.9453125
1637689281.8932772,9999,0.953125
1637689282.7614958,10049,0.984375
1637689283.6080027,10099,0.9296875
1637689284.4798648,10149,0.9609375
1637689285.3415494,10199,0.953125
1637689286.1885529,10249,0.97265625
1637689287.0513334,10299,0.96484375
