Wall time,Step,Value
1637688287.3238633,49,0.7890625
1637688288.2262552,99,0.88671875
1637688289.0496237,149,0.84765625
1637688289.8871853,199,0.92578125
1637688290.7252746,249,0.87890625
1637688291.592834,299,0.94140625
1637688292.4640024,349,0.95703125
1637688293.3057342,399,0.9453125
1637688294.1218407,449,0.9296875
1637688294.9696863,499,0.9453125
1637688295.793969,549,0.9609375
1637688296.606382,599,0.96875
1637688297.4167695,649,0.95703125
1637688298.2441137,699,0.9609375
1637688299.0802379,749,0.95703125
1637688299.9111917,799,0.953125
1637688300.7051873,849,0.96484375
1637688301.5500777,899,0.97265625
1637688302.4034228,949,0.96875
1637688303.2230005,999,0.97265625
1637688304.0645597,1049,0.9609375
1637688304.8992953,1099,0.97265625
1637688305.7108152,1149,0.94921875
1637688306.5302973,1199,0.97265625
1637688307.3539038,1249,0.98046875
1637688308.1679142,1299,0.97265625
1637688309.0085819,1349,0.98828125
1637688309.7982566,1399,0.98046875
1637688310.6131427,1449,0.984375
1637688311.4086664,1499,0.9765625
1637688312.2199895,1549,0.98046875
1637688313.0497823,1599,0.96875
1637688313.8694594,1649,0.97265625
1637688314.7051563,1699,0.96484375
1637688315.5136843,1749,0.9921875
1637688316.3271494,1799,0.94921875
1637688317.1439004,1849,0.97265625
1637688317.966269,1899,0.9765625
1637688318.7984898,1949,0.98046875
1637688319.6366787,1999,0.984375
1637688320.4459298,2049,0.97265625
1637688321.2558398,2099,0.9921875
1637688322.0594573,2149,0.9921875
1637688325.5285168,2199,0.984375
1637688326.4187033,2249,0.98046875
1637688327.2749138,2299,0.98046875
1637688328.1188693,2349,0.98828125
1637688328.9580834,2399,0.9921875
1637688329.7878702,2449,0.984375
1637688330.6701243,2499,0.9921875
1637688331.5091035,2549,0.98828125
1637688332.3988516,2599,0.9765625
1637688333.285416,2649,0.98828125
1637688334.1748018,2699,0.98828125
1637688335.038146,2749,0.98828125
1637688335.9138396,2799,0.98046875
1637688336.7226224,2849,0.9921875
1637688337.5943606,2899,0.984375
1637688338.4027946,2949,0.9765625
1637688339.2579882,2999,0.984375
1637688340.10002,3049,0.97265625
1637688340.9241452,3099,0.9765625
1637688341.7602727,3149,0.984375
1637688342.5884094,3199,0.9921875
1637688343.3998344,3249,0.98046875
1637688344.2391121,3299,0.98828125
1637688345.088522,3349,0.9765625
1637688345.9964747,3399,0.98828125
1637688346.8092396,3449,0.98046875
1637688347.6410432,3499,0.98828125
1637688348.4910293,3549,0.9765625
1637688349.3077247,3599,0.97265625
1637688350.121655,3649,0.97265625
1637688350.9286766,3699,0.98828125
1637688351.7577167,3749,0.98828125
1637688352.613684,3799,0.984375
1637688353.47013,3849,0.98828125
1637688354.3081431,3899,0.9921875
1637688355.1355114,3949,0.98046875
1637688355.961091,3999,0.9921875
1637688356.813918,4049,0.9765625
1637688357.686349,4099,0.98046875
1637688358.5054688,4149,0.97265625
1637688359.338989,4199,0.984375
1637688360.1794763,4249,0.98046875
1637688360.99472,4299,0.9765625
1637688361.8239715,4349,0.984375
1637688364.9650207,4399,0.984375
1637688365.7949934,4449,0.96875
1637688366.6373897,4499,0.9921875
1637688367.5086036,4549,0.98046875
1637688368.2849724,4599,0.98828125
1637688369.1134148,4649,0.98046875
1637688369.92197,4699,0.984375
1637688370.841349,4749,0.98828125
1637688371.6547709,4799,0.98046875
1637688372.4737144,4849,0.9765625
1637688373.298912,4899,0.98046875
1637688374.1313791,4949,0.98046875
1637688374.9428823,4999,0.984375
1637688375.7886484,5049,0.9765625
1637688376.6168938,5099,0.97265625
1637688377.476495,5149,0.94921875
1637688378.2998629,5199,0.97265625
1637688379.1435404,5249,0.9765625
1637688379.97835,5299,0.96484375
1637688380.7533162,5349,0.96875
1637688381.5742385,5399,0.9765625
1637688382.4037092,5449,0.98046875
1637688383.1899714,5499,0.97265625
1637688384.0192306,5549,0.94921875
1637688384.8549101,5599,0.98046875
1637688385.6911836,5649,0.96875
1637688386.5325668,5699,0.98046875
1637688387.3963573,5749,0.9765625
1637688388.217285,5799,0.9609375
1637688389.0233881,5849,0.9921875
1637688389.825811,5899,0.97265625
1637688390.6967933,5949,0.98046875
1637688391.5323818,5999,0.9921875
1637688392.3875592,6049,0.9765625
1637688393.2248652,6099,0.98828125
1637688394.050433,6149,0.97265625
1637688394.8775713,6199,0.95703125
1637688395.7240381,6249,0.98828125
1637688396.5301845,6299,0.9609375
1637688397.3463993,6349,0.98828125
1637688398.1722233,6399,0.98046875
1637688399.0041845,6449,0.96875
1637688399.8527236,6499,0.96875
1637688400.7472744,6549,0.96484375
1637688403.8019474,6599,0.96875
1637688404.6140096,6649,0.97265625
1637688405.4362373,6699,0.95703125
1637688406.2498934,6749,0.98828125
1637688407.1226044,6799,0.97265625
1637688407.9441009,6849,0.97265625
1637688408.8049874,6899,0.98828125
1637688409.6479652,6949,0.98046875
