Wall time,Step,Value
1637686247.3567357,49,0.6875
1637686248.227955,99,0.7890625
1637686249.0278566,149,0.80859375
1637686249.8196156,199,0.796875
1637686250.6186726,249,0.85546875
1637686251.4021564,299,0.8515625
1637686252.2034934,349,0.87109375
1637686252.9909484,399,0.8984375
1637686253.7774265,449,0.9140625
1637686254.5723922,499,0.90234375
1637686255.3685114,549,0.921875
1637686256.1577435,599,0.93359375
1637686256.9418647,649,0.92578125
1637686257.7361042,699,0.9375
1637686258.5362625,749,0.91796875
1637686259.3213167,799,0.9140625
1637686260.113004,849,0.93359375
1637686260.8942323,899,0.9375
1637686261.690424,949,0.9609375
1637686262.4761634,999,0.94921875
1637686263.2720647,1049,0.953125
1637686264.0556078,1099,0.9375
1637686264.8382533,1149,0.97265625
1637686265.6351087,1199,0.9921875
1637686266.421427,1249,0.9765625
1637686267.199456,1299,0.9609375
1637686267.9783344,1349,0.96875
1637686268.7651427,1399,0.953125
1637686269.5405545,1449,0.984375
1637686270.3455076,1499,0.96484375
1637686271.1265361,1549,0.9609375
1637686271.913962,1599,0.9765625
1637686272.7213027,1649,0.9921875
1637686273.5141232,1699,0.97265625
1637686274.2968473,1749,0.9765625
1637686275.0803785,1799,0.96875
1637686275.855481,1849,0.96875
1637686276.6493638,1899,0.9609375
1637686277.4374154,1949,0.9765625
1637686278.2234907,1999,0.9609375
1637686279.0335732,2049,0.984375
1637686279.8314078,2099,0.984375
1637686280.6234655,2149,0.9765625
1637686284.037385,2199,0.98828125
1637686284.8609464,2249,0.96875
1637686285.6516216,2299,0.98828125
1637686286.4552932,2349,0.97265625
1637686287.2570813,2399,0.96875
1637686288.0644078,2449,0.98046875
1637686288.892667,2499,0.9765625
1637686289.6993127,2549,0.98828125
1637686290.5117693,2599,0.984375
1637686291.32706,2649,0.98046875
1637686292.1473856,2699,0.984375
1637686292.9607291,2749,0.98828125
1637686293.7670934,2799,0.96875
1637686294.6074033,2849,0.9765625
1637686295.4261625,2899,0.9765625
1637686296.260133,2949,0.96875
1637686297.1096704,2999,0.984375
1637686297.9409933,3049,0.9765625
1637686298.7991326,3099,0.98046875
1637686299.6622813,3149,0.99609375
1637686300.5169718,3199,0.97265625
1637686301.359841,3249,0.97265625
1637686302.1985543,3299,0.98046875
1637686303.050154,3349,0.97265625
1637686303.971903,3399,0.9765625
1637686304.7883933,3449,0.9765625
1637686305.6448152,3499,0.97265625
1637686306.4927237,3549,0.98046875
1637686307.3309808,3599,0.9921875
1637686308.1831698,3649,0.97265625
1637686309.0452979,3699,0.984375
1637686309.898228,3749,0.9765625
1637686310.7708852,3799,0.97265625
1637686311.6245365,3849,0.98046875
1637686312.5160725,3899,0.98828125
1637686313.393111,3949,0.9609375
1637686314.2551918,3999,0.99609375
1637686315.1385763,4049,0.984375
1637686315.9860308,4099,0.96484375
1637686316.8362782,4149,0.98828125
1637686317.7249832,4199,0.984375
1637686318.586926,4249,0.9921875
1637686319.457847,4299,0.9921875
1637686320.2903135,4349,0.9765625
1637686323.964581,4399,0.9765625
1637686324.8873622,4449,0.98046875
1637686325.7536578,4499,0.984375
1637686326.7022388,4549,0.984375
1637686327.548824,4599,0.98046875
1637686328.3838527,4649,0.98828125
1637686329.2542205,4699,0.99609375
1637686330.1126935,4749,0.98828125
1637686330.9763324,4799,0.98046875
1637686331.8067935,4849,0.97265625
1637686332.6788473,4899,0.9765625
1637686333.5408764,4949,0.9765625
1637686334.4049494,4999,0.96484375
1637686335.25654,5049,0.984375
1637686336.1413589,5099,0.9765625
1637686336.9991732,5149,0.9609375
1637686337.8540213,5199,0.96484375
1637686338.7313619,5249,0.984375
1637686339.5945857,5299,0.97265625
1637686340.4622648,5349,0.98046875
1637686341.2959933,5399,0.96875
1637686342.1645591,5449,0.98046875
1637686343.0536385,5499,0.97265625
1637686343.9174712,5549,0.96484375
1637686344.7992053,5599,0.9765625
1637686345.6551638,5649,0.9765625
1637686346.5181592,5699,0.97265625
1637686347.4117045,5749,0.984375
1637686348.2813005,5799,0.97265625
1637686349.1568935,5849,0.98828125
1637686350.0222409,5899,0.98828125
1637686350.8920765,5949,0.9609375
1637686351.766957,5999,0.96875
1637686352.639585,6049,0.98046875
1637686353.5179143,6099,0.95703125
1637686354.371694,6149,0.98828125
1637686355.2489018,6199,0.96484375
1637686356.1305137,6249,0.984375
1637686356.9896429,6299,0.953125
