Wall time,Step,Value
1636040097.998998,49,0.8359375
1636040098.7826614,99,0.80078125
1636040099.6642454,149,0.8046875
1636040100.3964598,199,0.89453125
1636040101.092452,249,0.8671875
1636040101.8296738,299,0.8828125
1636040102.587421,349,0.9140625
1636040103.3136966,399,0.9140625
1636040104.0522184,449,0.91796875
1636040104.8135834,499,0.93359375
1636040105.5809696,549,0.8984375
1636040106.3783793,599,0.93359375
1636040107.1256635,649,0.91796875
1636040107.814552,699,0.94921875
1636040108.5173311,749,0.94140625
1636040109.2276967,799,0.9296875
1636040109.959208,849,0.9375
1636040110.6707017,899,0.93359375
1636040111.352753,949,0.9609375
1636040112.0535676,999,0.95703125
1636040112.7542384,1049,0.96875
1636040113.469536,1099,0.96484375
1636040114.2316697,1149,0.95703125
1636040114.988297,1199,0.9453125
1636040115.7317784,1249,0.96484375
1636040116.4746513,1299,0.9921875
1636040117.2160184,1349,0.98046875
1636040117.9999197,1399,0.9609375
1636040118.7771273,1449,0.96484375
1636040121.3691537,1499,0.984375
1636040122.1595004,1549,0.9609375
1636040122.9173377,1599,0.97265625
1636040123.6519866,1649,0.98828125
1636040124.3915887,1699,0.9609375
1636040125.158165,1749,0.9609375
1636040125.9107573,1799,0.98828125
1636040126.6565719,1849,0.97265625
1636040127.4199555,1899,0.984375
1636040128.1799664,1949,0.96484375
1636040128.9553516,1999,0.9609375
1636040129.7064164,2049,0.9765625
1636040130.4594064,2099,0.98828125
1636040131.2070537,2149,0.96875
1636040131.9723396,2199,0.98046875
1636040132.7097552,2249,0.9765625
1636040133.4950466,2299,0.97265625
1636040134.2580965,2349,0.96484375
1636040135.0172775,2399,0.96484375
1636040135.7303724,2449,0.98046875
1636040136.4311001,2499,0.984375
1636040137.153534,2549,0.9921875
1636040137.8479223,2599,0.98828125
1636040138.5756097,2649,0.96484375
1636040139.2874494,2699,0.9765625
1636040140.04053,2749,0.9609375
1636040140.7703326,2799,0.984375
1636040141.5431285,2849,0.9765625
1636040142.2932708,2899,0.96875
1636040144.8191113,2949,0.98828125
1636040145.5262978,2999,0.98046875
1636040146.2277825,3049,0.984375
1636040146.9296224,3099,0.9921875
1636040147.6628683,3149,0.984375
1636040148.4610734,3199,0.9921875
1636040149.204038,3249,0.96484375
1636040149.9520757,3299,0.97265625
1636040150.7142084,3349,0.97265625
1636040151.4773896,3399,0.98828125
1636040152.2056408,3449,0.984375
1636040152.9480584,3499,0.9765625
1636040153.686174,3549,0.9765625
1636040154.402705,3599,0.9921875
1636040155.1180754,3649,0.984375
1636040155.820701,3699,0.95703125
1636040156.5223904,3749,0.98046875
1636040157.2391255,3799,0.98046875
1636040157.9376707,3849,0.96875
1636040158.659884,3899,0.9765625
1636040159.3797066,3949,0.9765625
1636040160.1041994,3999,0.98046875
1636040160.8514764,4049,0.9765625
1636040161.5700727,4099,0.9765625
1636040162.2997818,4149,0.9921875
1636040163.1100674,4199,0.9921875
1636040163.8422277,4249,0.95703125
1636040164.5992632,4299,0.984375
1636040165.3372455,4349,0.984375
1636040167.5815704,4399,0.97265625
1636040168.3360803,4449,0.984375
1636040169.1047325,4499,0.9921875
1636040169.8364954,4549,0.96484375
1636040170.562618,4599,0.984375
1636040171.2780216,4649,0.96484375
1636040172.0110173,4699,0.9765625
1636040172.725551,4749,0.98046875
1636040173.4564176,4799,0.9765625
1636040174.2158735,4849,0.984375
1636040174.9399097,4899,0.9609375
1636040175.6719265,4949,0.984375
1636040176.4139993,4999,0.984375
1636040177.1641142,5049,0.96484375
1636040177.9958029,5099,0.9921875
1636040178.7269952,5149,0.96484375
1636040179.4733787,5199,0.96875
1636040180.194024,5249,0.96484375
1636040180.9114265,5299,0.98046875
1636040181.651808,5349,0.984375
1636040182.3935676,5399,0.984375
1636040183.1107981,5449,0.9765625
1636040183.8242164,5499,0.9765625
1636040184.553939,5549,0.96875
1636040185.260451,5599,0.96484375
1636040185.9833581,5649,0.95703125
1636040186.6850634,5699,0.984375
1636040187.4703987,5749,0.98046875
1636040188.2091312,5799,0.94921875
1636040190.5648384,5849,0.9609375
1636040191.3689857,5899,0.9609375
1636040192.1553698,5949,0.98046875
1636040192.8565626,5999,0.984375
1636040193.5649421,6049,0.97265625
1636040194.2596498,6099,0.9765625
1636040194.9561357,6149,0.96484375
1636040195.669055,6199,0.97265625
1636040196.368935,6249,0.9609375
1636040197.0737188,6299,0.98046875
1636040197.761263,6349,0.98046875
1636040198.4565685,6399,0.94921875
1636040199.179858,6449,0.984375
1636040199.8970296,6499,0.97265625
1636040200.6346555,6549,0.953125
1636040201.3481271,6599,0.94921875
1636040202.0646322,6649,0.96875
1636040202.7821922,6699,0.9609375
1636040203.4865925,6749,0.96484375
1636040204.2152398,6799,0.9765625
1636040204.9224293,6849,0.9765625
1636040205.6304073,6899,0.9765625
1636040206.333499,6949,0.97265625
1636040207.0325217,6999,0.95703125
1636040207.7388887,7049,0.98046875
1636040208.4454532,7099,0.97265625
1636040209.1411824,7149,0.96484375
1636040209.8485508,7199,0.98046875
1636040210.5460877,7249,0.94921875
1636040212.6529908,7299,0.9609375
1636040213.3477817,7349,0.98046875
1636040214.0897534,7399,0.98046875
1636040214.7906506,7449,0.95703125
1636040215.4876356,7499,0.9609375
1636040216.1844268,7549,0.98046875
1636040216.8894246,7599,0.97265625
1636040217.5872784,7649,0.953125
1636040218.3186235,7699,0.9609375
1636040219.016917,7749,0.9765625
1636040219.7266092,7799,0.95703125
1636040220.438634,7849,0.96875
1636040221.131483,7899,0.97265625
1636040221.8084736,7949,0.96484375
1636040222.4979937,7999,0.9765625
1636040223.1936388,8049,0.953125
1636040223.8880255,8099,0.96484375
1636040224.5779123,8149,0.953125
1636040225.2775693,8199,0.9765625
1636040225.9776487,8249,0.9765625
1636040226.6811535,8299,0.9609375
1636040227.3763115,8349,0.95703125
1636040228.0600154,8399,0.9609375
1636040228.7574975,8449,0.95703125
1636040229.4589422,8499,0.984375
1636040230.160427,8549,0.95703125
1636040230.8643038,8599,0.984375
1636040231.5649543,8649,0.97265625
1636040232.2750854,8699,0.9765625
1636040234.3322885,8749,0.96484375
1636040235.0135453,8799,0.96875
1636040235.7028275,8849,0.95703125
1636040236.3973913,8899,0.9296875
1636040237.0925426,8949,0.94921875
1636040237.7849605,8999,0.9453125
1636040238.4825556,9049,0.96484375
1636040239.1784973,9099,0.96484375
1636040239.8748434,9149,0.98046875
1636040240.5974848,9199,0.96484375
1636040241.3152711,9249,0.95703125
1636040242.0030158,9299,0.95703125
1636040242.7133613,9349,0.953125
1636040243.4033384,9399,0.9609375
1636040244.1043644,9449,0.9609375
1636040244.7983732,9499,0.95703125
1636040245.4990182,9549,0.91015625
1636040246.2091067,9599,0.9609375
1636040246.9113817,9649,0.9609375
1636040247.6231573,9699,0.9609375
1636040248.3601894,9749,0.95703125
1636040249.0562,9799,0.96875
1636040249.750231,9849,0.96484375
1636040250.4430006,9899,0.9453125
1636040251.1271825,9949,0.96484375
1636040251.8321078,9999,0.97265625
1636040252.5689635,10049,0.96875
1636040253.2703924,10099,0.953125
1636040253.9623852,10149,0.96875
1636040255.9868865,10199,0.9609375
1636040256.7125692,10249,0.95703125
1636040257.415966,10299,0.94921875
1636040258.1161807,10349,0.96875
1636040258.8244474,10399,0.96484375
1636040259.5296257,10449,0.95703125
1636040260.2269943,10499,0.9609375
1636040260.9331648,10549,0.953125
1636040261.6334558,10599,0.953125
1636040262.3398983,10649,0.9375
1636040263.0607626,10699,0.9609375
1636040263.774147,10749,0.95703125
1636040264.4868066,10799,0.9609375
1636040265.2004008,10849,0.9453125
1636040265.9814506,10899,0.9375
1636040266.7138333,10949,0.94140625
1636040267.421247,10999,0.9765625
1636040268.1423936,11049,0.97265625
1636040268.8436158,11099,0.9453125
1636040269.5449107,11149,0.9609375
1636040270.253377,11199,0.96484375
1636040270.9501302,11249,0.94921875
1636040271.6349254,11299,0.9765625
1636040272.3393369,11349,0.98046875
1636040273.031141,11399,0.9296875
1636040273.7336333,11449,0.9609375
1636040274.4214072,11499,0.9609375
1636040275.1036146,11549,0.9609375
1636040275.7850065,11599,0.96484375
1636040276.480984,11649,0.9453125
1636040278.7042098,11699,0.94921875
1636040279.4210367,11749,0.97265625
1636040280.125077,11799,0.96484375
1636040280.8998685,11849,0.96875
1636040281.6169295,11899,0.96875
1636040282.3290854,11949,0.97265625
1636040283.020001,11999,0.953125
1636040283.7221723,12049,0.9453125
1636040284.4175212,12099,0.96484375
1636040285.1258872,12149,0.96484375
1636040285.8321157,12199,0.96484375
1636040286.529926,12249,0.953125
1636040287.2307038,12299,0.97265625
1636040287.924501,12349,0.95703125
1636040288.62808,12399,0.96484375
1636040289.3474395,12449,0.9453125
1636040290.039643,12499,0.97265625
1636040290.735015,12549,0.984375
1636040291.4427261,12599,0.97265625
1636040292.1369505,12649,0.95703125
1636040292.8157148,12699,0.98046875
1636040293.5142262,12749,0.9609375
1636040294.2134924,12799,0.96484375
1636040294.914155,12849,0.9765625
1636040295.6492221,12899,0.9375
1636040296.3551302,12949,0.9609375
1636040297.0683541,12999,0.9765625
1636040297.7681162,13049,0.9609375
1636040298.480055,13099,0.96484375
1636040300.5378687,13149,0.984375
1636040301.2231877,13199,0.9609375
1636040301.916348,13249,0.9765625
1636040302.6209984,13299,0.96875
1636040303.327856,13349,0.93359375
1636040304.0229392,13399,0.95703125
1636040304.711396,13449,0.9765625
1636040305.4132154,13499,0.9453125
1636040306.1107452,13549,0.9609375
1636040306.8016036,13599,0.9921875
1636040307.4891832,13649,0.96484375
1636040308.1888452,13699,0.96875
1636040308.8864202,13749,0.96484375
1636040309.5927117,13799,0.9609375
1636040310.3054934,13849,0.97265625
1636040311.0103464,13899,0.96484375
1636040311.7260587,13949,0.9609375
1636040312.4336984,13999,0.96484375
1636040313.1236122,14049,0.94921875
1636040313.8197076,14099,0.9609375
1636040314.5092576,14149,0.9609375
1636040315.2258923,14199,0.9765625
1636040315.9363754,14249,0.96484375
1636040316.6461816,14299,0.97265625
1636040317.347656,14349,0.96875
1636040318.0560012,14399,0.97265625
1636040318.7503204,14449,0.9375
1636040319.4734423,14499,0.9609375
1636040320.1704984,14549,0.94921875
1636040322.2500005,14599,0.98046875
1636040322.9487245,14649,0.9609375
1636040323.664277,14699,0.96484375
1636040324.36077,14749,0.98046875
1636040325.0610394,14799,0.953125
1636040325.7521803,14849,0.96484375
1636040326.467623,14899,0.94921875
1636040327.1879904,14949,0.97265625
1636040327.9021444,14999,0.96484375
1636040328.6061852,15049,0.953125
1636040329.3076513,15099,0.97265625
1636040329.9988651,15149,0.9453125
1636040330.6843328,15199,0.9609375
1636040331.3825102,15249,0.97265625
1636040332.0754914,15299,0.91015625
1636040332.7766225,15349,0.96484375
1636040333.474323,15399,0.94140625
1636040334.1631846,15449,0.94921875
1636040334.852688,15499,0.9609375
1636040335.5465114,15549,0.9765625
1636040336.2470841,15599,0.98828125
1636040336.9434583,15649,0.97265625
1636040337.6479528,15699,0.95703125
1636040338.3607137,15749,0.96875
1636040339.05053,15799,0.96875
1636040339.817202,15849,0.96484375
1636040340.5122285,15899,0.95703125
1636040341.217757,15949,0.9609375
