Wall time,Step,Value
1636000469.3158166,49,0.3125
1636000470.1571445,99,0.32421875
1636000470.992379,149,0.37109375
1636000471.924645,199,0.38671875
1636000472.7450733,249,0.4375
1636000473.5648828,299,0.4921875
1636000474.3926132,349,0.40625
1636000475.2189507,399,0.39453125
1636000476.03862,449,0.44921875
1636000476.8323536,499,0.51171875
1636000477.6527052,549,0.48828125
1636000478.4527924,599,0.5078125
1636000479.2645934,649,0.51171875
1636000480.0776818,699,0.609375
1636000480.8941846,749,0.6171875
1636000481.699132,799,0.609375
1636000482.5136268,849,0.63671875
1636000483.3306234,899,0.625
1636000484.1330168,949,0.6328125
1636000484.9376132,999,0.6640625
1636000485.7668047,1049,0.64453125
1636000486.5656476,1099,0.6328125
1636000487.3733356,1149,0.625
1636000488.1697252,1199,0.71484375
1636000488.968515,1249,0.73046875
1636000489.78265,1299,0.6796875
1636000490.5760243,1349,0.7265625
1636000491.370289,1399,0.71875
1636000492.1718333,1449,0.6796875
1636000492.9878972,1499,0.66015625
1636000493.7909787,1549,0.68359375
1636000494.595331,1599,0.72265625
1636000495.4048479,1649,0.71875
1636000496.2138994,1699,0.72265625
1636000497.0215163,1749,0.7421875
1636000497.8210196,1799,0.7109375
1636000498.6536236,1849,0.7578125
1636000499.462129,1899,0.78515625
1636000500.2734864,1949,0.73828125
1636000501.0747814,1999,0.75
1636000501.8764443,2049,0.75
1636000502.6822398,2099,0.76171875
1636000503.4906538,2149,0.73046875
1636000504.3035755,2199,0.7578125
1636000505.119303,2249,0.76953125
1636000505.9157999,2299,0.84765625
1636000506.7197542,2349,0.79296875
1636000507.529599,2399,0.76953125
1636000508.342178,2449,0.80859375
1636000509.1534288,2499,0.78515625
1636000509.9555914,2549,0.78515625
1636000510.7692695,2599,0.7265625
1636000511.578504,2649,0.7578125
1636000512.413988,2699,0.76953125
1636000513.2249374,2749,0.79296875
1636000514.032939,2799,0.8046875
1636000514.8532875,2849,0.7890625
1636000518.643467,2899,0.83203125
1636000519.4591947,2949,0.77734375
1636000520.2705753,2999,0.80078125
1636000521.0688581,3049,0.8125
1636000521.8601897,3099,0.8046875
1636000522.668024,3149,0.80859375
1636000523.4889078,3199,0.8203125
1636000524.299735,3249,0.79296875
1636000525.1036527,3299,0.78125
1636000525.8998446,3349,0.76953125
1636000526.7054052,3399,0.75390625
1636000527.5081534,3449,0.796875
1636000528.3344905,3499,0.8125
1636000529.1502333,3549,0.7890625
1636000529.962583,3599,0.79296875
1636000530.791689,3649,0.80078125
1636000531.6229522,3699,0.8125
1636000532.4303975,3749,0.8125
1636000533.2585478,3799,0.796875
1636000534.0668721,3849,0.80859375
1636000534.8927677,3899,0.80859375
1636000535.688021,3949,0.78125
1636000536.478562,3999,0.796875
1636000537.2795434,4049,0.8671875
1636000538.0833771,4099,0.7890625
1636000538.892202,4149,0.79296875
1636000539.705192,4199,0.78515625
1636000540.5198426,4249,0.79296875
1636000541.3412182,4299,0.8046875
1636000542.22169,4349,0.84765625
1636000543.0519927,4399,0.8125
1636000543.8804624,4449,0.828125
1636000544.703422,4499,0.85546875
1636000545.537139,4549,0.84765625
1636000546.3609474,4599,0.83984375
1636000547.197407,4649,0.828125
1636000548.0149877,4699,0.80859375
1636000548.8513775,4749,0.8125
1636000549.6666975,4799,0.828125
1636000550.4707577,4849,0.86328125
1636000551.292428,4899,0.80859375
1636000552.0958474,4949,0.7890625
1636000552.8956175,4999,0.79296875
1636000553.7095103,5049,0.83203125
1636000554.50687,5099,0.80859375
1636000555.2970808,5149,0.85546875
1636000556.0999887,5199,0.8515625
1636000556.9018955,5249,0.83984375
1636000557.7133856,5299,0.8203125
1636000558.5680423,5349,0.80078125
1636000559.3828678,5399,0.82421875
1636000560.1888766,5449,0.828125
1636000560.9931273,5499,0.8203125
1636000561.8007662,5549,0.828125
1636000562.6087716,5599,0.8203125
1636000563.4092455,5649,0.8203125
1636000564.2352474,5699,0.8515625
1636000565.0445228,5749,0.8125
1636000568.9257982,5799,0.8671875
1636000569.7317624,5849,0.83203125
1636000570.5324478,5899,0.8046875
1636000571.403568,5949,0.8515625
1636000572.2026057,5999,0.82421875
1636000573.0021832,6049,0.84375
1636000573.808597,6099,0.8359375
1636000574.6259024,6149,0.84375
1636000575.5070155,6199,0.8359375
1636000576.3046048,6249,0.83984375
1636000577.1064694,6299,0.8828125
1636000577.914828,6349,0.8828125
1636000578.7330265,6399,0.875
1636000579.549483,6449,0.82421875
1636000580.3718474,6499,0.83203125
1636000581.1827483,6549,0.828125
1636000581.9861317,6599,0.82421875
1636000582.7900112,6649,0.85546875
1636000583.6171262,6699,0.8515625
1636000584.435468,6749,0.859375
1636000585.23979,6799,0.828125
1636000586.0442126,6849,0.84375
1636000586.8343754,6899,0.84375
1636000587.6403902,6949,0.8671875
1636000588.470813,6999,0.8515625
1636000589.2832627,7049,0.8125
1636000590.096509,7099,0.80859375
1636000590.9064896,7149,0.89453125
1636000591.7174923,7199,0.81640625
1636000592.5354536,7249,0.84375
1636000593.3517718,7299,0.86328125
1636000594.170486,7349,0.8671875
1636000594.984,7399,0.8828125
1636000595.8010237,7449,0.84375
1636000596.600858,7499,0.8359375
1636000597.4088078,7549,0.86328125
1636000598.2221203,7599,0.8671875
1636000599.03644,7649,0.83203125
1636000599.8314745,7699,0.83203125
1636000600.6306782,7749,0.87890625
1636000601.4362636,7799,0.875
1636000602.243454,7849,0.83203125
1636000603.0406988,7899,0.84375
1636000603.8417237,7949,0.890625
1636000604.6789463,7999,0.8125
1636000605.488359,8049,0.81640625
1636000606.3027873,8099,0.875
1636000607.1051161,8149,0.8125
1636000607.9162831,8199,0.80078125
1636000608.7190216,8249,0.82421875
1636000609.5509188,8299,0.87109375
1636000610.3843482,8349,0.8359375
1636000611.1807058,8399,0.80859375
1636000611.989886,8449,0.875
1636000612.8273342,8499,0.8203125
1636000613.6536486,8549,0.83984375
1636000614.4785936,8599,0.83984375
1636000615.297667,8649,0.83984375
1636000618.9856942,8699,0.82421875
1636000619.8193998,8749,0.81640625
1636000620.6353195,8799,0.8671875
1636000621.4437778,8849,0.87890625
1636000622.2499053,8899,0.87109375
1636000623.0486512,8949,0.83203125
1636000623.8506703,8999,0.86328125
1636000624.6662385,9049,0.83984375
1636000625.4711192,9099,0.875
1636000626.2746398,9149,0.84375
1636000627.0817802,9199,0.83984375
1636000627.9140935,9249,0.8125
1636000628.7097354,9299,0.85546875
1636000629.5220933,9349,0.86328125
1636000630.3503444,9399,0.8515625
1636000631.1724436,9449,0.859375
1636000631.9692624,9499,0.83984375
1636000632.7711287,9549,0.85546875
1636000633.5833557,9599,0.83203125
1636000634.391247,9649,0.83203125
1636000635.1955025,9699,0.84765625
1636000636.0086114,9749,0.859375
1636000636.8172936,9799,0.8125
1636000637.614341,9849,0.8359375
1636000638.4223905,9899,0.82421875
1636000639.2413054,9949,0.8671875
1636000640.0411093,9999,0.8359375
1636000640.8491337,10049,0.83984375
1636000641.6506975,10099,0.83203125
1636000642.4481068,10149,0.82421875
1636000643.2554815,10199,0.81640625
1636000644.1299624,10249,0.85546875
1636000644.9260657,10299,0.8515625
1636000645.7270246,10349,0.84375
1636000646.530896,10399,0.84765625
1636000647.3360622,10449,0.78515625
1636000648.1485336,10499,0.86328125
1636000648.9579499,10549,0.8359375
1636000649.7652855,10599,0.84765625
1636000650.5756145,10649,0.80078125
1636000651.3781447,10699,0.83984375
1636000652.188557,10749,0.8515625
1636000652.9856193,10799,0.79296875
1636000653.7916682,10849,0.8359375
1636000654.6061869,10899,0.8515625
1636000655.421136,10949,0.85546875
1636000656.2264721,10999,0.8515625
1636000657.0718672,11049,0.83984375
1636000657.8960483,11099,0.84375
1636000658.696246,11149,0.7734375
1636000659.5047538,11199,0.84765625
1636000660.3087268,11249,0.80859375
1636000661.1171236,11299,0.83984375
1636000661.9153533,11349,0.875
1636000662.7365355,11399,0.828125
1636000663.54614,11449,0.83203125
1636000664.3392365,11499,0.7890625
1636000665.1435351,11549,0.81640625
1636000668.4766874,11599,0.828125
1636000669.2952318,11649,0.8359375
1636000670.11676,11699,0.859375
1636000670.9139898,11749,0.83984375
1636000671.718262,11799,0.8671875
1636000672.5364175,11849,0.88671875
1636000673.3395467,11899,0.86328125
1636000674.1702454,11949,0.83984375
1636000675.036848,11999,0.828125
1636000675.8833573,12049,0.859375
1636000676.7029796,12099,0.83203125
1636000677.5110857,12149,0.859375
1636000678.33938,12199,0.82421875
1636000679.1360323,12249,0.8046875
1636000679.951871,12299,0.79296875
1636000680.7417963,12349,0.89453125
1636000681.5385816,12399,0.80078125
1636000682.3506253,12449,0.828125
1636000683.1622415,12499,0.8203125
1636000683.987276,12549,0.828125
1636000684.8041098,12599,0.8515625
1636000685.616017,12649,0.83203125
1636000686.4823253,12699,0.8046875
1636000687.2875354,12749,0.8671875
1636000688.090387,12799,0.7890625
1636000688.8977225,12849,0.81640625
1636000689.6975713,12899,0.83203125
1636000690.503071,12949,0.84375
1636000691.3061056,12999,0.859375
1636000692.115863,13049,0.828125
1636000692.9124653,13099,0.83984375
1636000693.7366798,13149,0.80859375
1636000694.5438519,13199,0.85546875
1636000695.3433084,13249,0.83984375
1636000696.135689,13299,0.8515625
1636000696.9492443,13349,0.83203125
1636000697.749744,13399,0.828125
1636000698.5567253,13449,0.859375
1636000699.3755128,13499,0.828125
1636000700.1710472,13549,0.83984375
1636000700.9656715,13599,0.859375
1636000701.7644143,13649,0.84375
1636000702.5921705,13699,0.84765625
1636000703.4172406,13749,0.8203125
1636000704.2152672,13799,0.828125
1636000705.0535595,13849,0.828125
1636000705.859796,13899,0.828125
1636000706.6852887,13949,0.81640625
1636000707.4936986,13999,0.859375
1636000708.3314197,14049,0.8359375
1636000709.1316206,14099,0.8203125
1636000709.9467134,14149,0.80078125
1636000710.7619987,14199,0.84765625
1636000711.568696,14249,0.81640625
1636000712.377031,14299,0.83203125
1636000713.179973,14349,0.83984375
1636000713.989405,14399,0.83984375
1636000714.8060246,14449,0.8359375
1636000718.1401489,14499,0.8359375
1636000718.9780214,14549,0.80859375
1636000719.7919106,14599,0.828125
1636000720.6131792,14649,0.8203125
1636000721.4199638,14699,0.85546875
1636000722.2430716,14749,0.8359375
1636000723.0585694,14799,0.84375
1636000723.8701851,14849,0.86328125
1636000724.6824827,14899,0.8046875
1636000725.4892926,14949,0.83203125
1636000726.2979712,14999,0.8359375
1636000727.1082995,15049,0.80078125
1636000727.9010599,15099,0.83984375
1636000728.7082796,15149,0.80859375
1636000729.5084188,15199,0.828125
1636000730.31542,15249,0.828125
1636000731.1377215,15299,0.7890625
1636000731.9557,15349,0.84375
1636000732.773271,15399,0.7890625
1636000733.5898616,15449,0.84765625
1636000734.3913655,15499,0.8828125
1636000735.2213523,15549,0.83984375
1636000736.0255427,15599,0.8125
1636000736.8204672,15649,0.80859375
1636000737.6317925,15699,0.796875
1636000738.4714608,15749,0.8203125
1636000739.2756824,15799,0.7734375
1636000740.0883195,15849,0.84375
1636000740.883896,15899,0.8359375
1636000741.6896176,15949,0.76953125
1636000742.488403,15999,0.8359375
1636000743.2986777,16049,0.81640625
1636000744.1709893,16099,0.8359375
1636000744.996585,16149,0.8046875
1636000745.8115525,16199,0.81640625
1636000746.6224177,16249,0.8203125
1636000747.4317548,16299,0.79296875
1636000748.262911,16349,0.828125
1636000749.0829012,16399,0.7890625
1636000749.8957484,16449,0.8359375
1636000750.7307553,16499,0.83203125
1636000751.5301483,16549,0.796875
1636000752.36956,16599,0.78125
1636000753.1677191,16649,0.78515625
1636000753.971682,16699,0.8203125
1636000754.774901,16749,0.84765625
1636000755.5862477,16799,0.796875
1636000756.3988376,16849,0.828125
1636000757.222257,16899,0.8203125
1636000758.0260925,16949,0.8203125
1636000758.8335137,16999,0.8515625
1636000759.6432657,17049,0.8046875
1636000760.4421077,17099,0.7890625
1636000761.249459,17149,0.82421875
1636000762.0636544,17199,0.83203125
1636000762.8811793,17249,0.84375
1636000763.7134225,17299,0.8359375
1636000764.5366995,17349,0.79296875
1636000767.8781347,17399,0.828125
1636000768.7223775,17449,0.8125
1636000769.5322692,17499,0.875
1636000770.3749888,17549,0.8203125
1636000771.1907687,17599,0.84765625
1636000772.0116963,17649,0.8515625
1636000772.833022,17699,0.80859375
1636000773.6596146,17749,0.84765625
1636000774.5514925,17799,0.81640625
1636000775.3752842,17849,0.8359375
1636000776.1831503,17899,0.84765625
1636000776.9930086,17949,0.828125
1636000777.8042145,17999,0.79296875
1636000778.6121655,18049,0.8515625
1636000779.4304945,18099,0.859375
1636000780.2543867,18149,0.8203125
1636000781.06869,18199,0.8046875
1636000781.8802657,18249,0.8359375
1636000782.685819,18299,0.8203125
1636000783.4975748,18349,0.8046875
1636000784.3118665,18399,0.8359375
1636000785.1094284,18449,0.828125
1636000785.9959524,18499,0.82421875
1636000786.7967036,18549,0.85546875
1636000787.621375,18599,0.84375
1636000788.4256978,18649,0.82421875
1636000789.2290974,18699,0.82421875
1636000790.0395555,18749,0.828125
1636000790.8507812,18799,0.8203125
1636000791.6512153,18849,0.80859375
1636000792.469269,18899,0.828125
1636000793.2859535,18949,0.81640625
1636000794.1032686,18999,0.81640625
1636000794.9163525,19049,0.84375
1636000795.7176008,19099,0.80859375
1636000796.5256906,19149,0.8203125
1636000797.3646085,19199,0.83984375
1636000798.1936922,19249,0.84765625
1636000799.0003617,19299,0.80078125
1636000799.8298724,19349,0.8671875
1636000800.64759,19399,0.83203125
1636000801.4825718,19449,0.81640625
1636000802.2871747,19499,0.82421875
1636000803.0783203,19549,0.76953125
1636000803.8961267,19599,0.76953125
1636000804.6923008,19649,0.8359375
1636000805.5044062,19699,0.8046875
1636000806.317715,19749,0.8359375
1636000807.123505,19799,0.81640625
1636000807.9208107,19849,0.80078125
1636000808.7347426,19899,0.83203125
1636000809.5522807,19949,0.79296875
1636000810.3466141,19999,0.86328125
1636000811.1607895,20049,0.8125
1636000811.954893,20099,0.875
1636000812.7553632,20149,0.796875
1636000813.5651324,20199,0.86328125
1636000814.381259,20249,0.7421875
1636000817.7338212,20299,0.80078125
1636000818.5448098,20349,0.8515625
1636000819.3580632,20399,0.83203125
1636000820.1504574,20449,0.8203125
1636000820.9498363,20499,0.7890625
1636000821.7522385,20549,0.78515625
1636000822.5854635,20599,0.85546875
1636000823.3887746,20649,0.83984375
1636000824.1914942,20699,0.890625
1636000825.0094676,20749,0.83203125
1636000825.8074763,20799,0.828125
1636000826.6103425,20849,0.81640625
1636000827.4237878,20899,0.79296875
1636000828.244755,20949,0.8046875
1636000829.0483534,20999,0.8515625
1636000829.8600967,21049,0.78125
1636000830.6784213,21099,0.84765625
1636000831.4967015,21149,0.84375
1636000832.3135457,21199,0.84375
1636000833.1216223,21249,0.85546875
1636000833.9383843,21299,0.78125
1636000834.7462518,21349,0.82421875
1636000835.5654793,21399,0.84765625
1636000836.3777328,21449,0.81640625
1636000837.1901526,21499,0.7890625
1636000838.025634,21549,0.8671875
1636000838.8298693,21599,0.8046875
1636000839.6489592,21649,0.84765625
1636000840.4771428,21699,0.85546875
1636000841.2789116,21749,0.8203125
1636000842.082651,21799,0.796875
1636000842.8932776,21849,0.796875
1636000843.7076359,21899,0.828125
1636000844.5261455,21949,0.84375
1636000845.3260257,21999,0.765625
1636000846.2051833,22049,0.85546875
1636000847.014388,22099,0.82421875
1636000847.8158393,22149,0.8046875
1636000848.641085,22199,0.83203125
1636000849.451173,22249,0.8671875
1636000850.2604084,22299,0.78515625
1636000851.0928369,22349,0.828125
1636000851.9126768,22399,0.78515625
1636000852.74324,22449,0.7734375
1636000853.5789971,22499,0.7890625
1636000854.420501,22549,0.796875
1636000855.2283423,22599,0.8046875
1636000856.0447867,22649,0.83203125
1636000856.8508108,22699,0.8046875
1636000857.6662562,22749,0.80859375
1636000858.520698,22799,0.83984375
1636000859.348834,22849,0.80859375
1636000860.1639862,22899,0.84375
1636000860.9894133,22949,0.83984375
1636000861.7932618,22999,0.8359375
1636000862.6011102,23049,0.84375
1636000863.410401,23099,0.7734375
1636000866.7658634,23149,0.83984375
1636000867.5850964,23199,0.8359375
1636000868.3982656,23249,0.8203125
1636000869.2130718,23299,0.81640625
1636000870.027419,23349,0.828125
1636000870.8307228,23399,0.79296875
1636000871.6487226,23449,0.8359375
1636000872.453463,23499,0.875
1636000873.268112,23549,0.7890625
1636000874.069226,23599,0.7421875
1636000874.957437,23649,0.73828125
1636000875.7557163,23699,0.83984375
1636000876.5696783,23749,0.828125
1636000877.3744712,23799,0.8359375
1636000878.1861541,23849,0.84375
1636000878.9845471,23899,0.828125
1636000879.8102562,23949,0.8125
1636000880.6113575,23999,0.83203125
1636000881.4147403,24049,0.875
1636000882.2157943,24099,0.82421875
1636000883.0186265,24149,0.83203125
1636000883.8353913,24199,0.8359375
1636000884.650263,24249,0.80859375
1636000885.451039,24299,0.80078125
1636000886.253657,24349,0.81640625
1636000887.0637295,24399,0.78125
1636000887.9819388,24449,0.80859375
1636000888.8214366,24499,0.83984375
1636000889.6479464,24549,0.8125
1636000890.4735558,24599,0.8046875
1636000891.2923753,24649,0.83203125
1636000892.1074135,24699,0.86328125
1636000892.910866,24749,0.79296875
1636000893.7409384,24799,0.83203125
1636000894.5554907,24849,0.8125
1636000895.3810318,24899,0.8203125
1636000896.201347,24949,0.828125
1636000897.0114233,24999,0.8203125
1636000897.813281,25049,0.81640625
1636000898.6227396,25099,0.81640625
1636000899.448237,25149,0.83203125
1636000900.2530804,25199,0.78125
1636000901.062958,25249,0.875
1636000901.8777618,25299,0.76953125
1636000902.6775558,25349,0.8125
1636000903.5085351,25399,0.8046875
1636000904.3082814,25449,0.82421875
1636000905.1210537,25499,0.8671875
1636000905.9328382,25549,0.765625
1636000906.7362442,25599,0.84375
1636000907.556671,25649,0.8359375
1636000908.375445,25699,0.86328125
1636000909.1888423,25749,0.80859375
1636000910.0009594,25799,0.82421875
1636000910.8101244,25849,0.8359375
1636000911.6162431,25899,0.78515625
1636000912.4186091,25949,0.84765625
1636000913.2306588,25999,0.765625
1636000916.6474686,26049,0.82421875
1636000917.4680476,26099,0.82421875
1636000918.2801423,26149,0.80859375
1636000919.0906713,26199,0.8203125
1636000919.901621,26249,0.8125
1636000920.7128546,26299,0.78515625
1636000921.521777,26349,0.828125
1636000922.3453977,26399,0.8359375
1636000923.1418338,26449,0.8125
1636000923.9538832,26499,0.83203125
1636000924.7519436,26549,0.82421875
1636000925.560604,26599,0.859375
1636000926.3699749,26649,0.7890625
1636000927.185371,26699,0.8125
1636000927.9886918,26749,0.8359375
1636000928.788674,26799,0.78125
1636000929.5856464,26849,0.875
1636000930.3901317,26899,0.84765625
1636000931.1884654,26949,0.80859375
1636000931.9873576,26999,0.83203125
1636000932.7914026,27049,0.79296875
1636000933.5957444,27099,0.87109375
1636000934.3939304,27149,0.80859375
1636000935.2015545,27199,0.81640625
1636000936.0262978,27249,0.85546875
1636000936.8664186,27299,0.76953125
1636000937.6713402,27349,0.8046875
1636000938.4830494,27399,0.76953125
1636000939.3037663,27449,0.82421875
1636000940.1097476,27499,0.77734375
1636000940.9126384,27549,0.83203125
1636000941.7044961,27599,0.83984375
1636000942.515657,27649,0.81640625
1636000943.3097293,27699,0.81640625
