Wall time,Step,Value
1635815228.1671104,49,0.5078125
1635815229.1477113,99,0.625
1635815230.1428208,149,0.6328125
1635815231.143386,199,0.671875
1635815232.1437082,249,0.6875
1635815233.1386628,299,0.6875
1635815234.116889,349,0.6796875
1635815235.1129057,399,0.8515625
1635815236.1220167,449,0.8046875
1635815237.1178572,499,0.7734375
1635815239.947303,549,0.828125
1635815240.9732661,599,0.84375
1635815241.9581537,649,0.7734375
1635815242.9500644,699,0.84375
1635815243.930098,749,0.84375
1635815244.922906,799,0.8515625
1635815245.9032686,849,0.875
1635815246.8891556,899,0.828125
1635815247.8973694,949,0.8984375
1635815248.8958483,999,0.90625
1635815249.8968358,1049,0.84375
1635815252.7155876,1099,0.9140625
1635815253.723494,1149,0.90625
1635815254.721203,1199,0.8828125
1635815255.716108,1249,0.8515625
1635815256.714055,1299,0.921875
1635815257.6967063,1349,0.859375
1635815258.6972787,1399,0.84375
1635815259.7067995,1449,0.953125
1635815260.7140064,1499,0.828125
1635815261.7158146,1549,0.921875
1635815262.717709,1599,0.890625
1635815265.586114,1649,0.8984375
1635815266.685443,1699,0.875
1635815267.6746259,1749,0.890625
1635815268.6646593,1799,0.90625
1635815269.642799,1849,0.8125
1635815270.615017,1899,0.859375
1635815271.5930853,1949,0.890625
1635815272.5849562,1999,0.921875
1635815273.565307,2049,0.828125
1635815274.5445554,2099,0.875
1635815275.55591,2149,0.8671875
1635815277.994813,2199,0.953125
1635815279.0043535,2249,0.890625
1635815279.995519,2299,0.8671875
1635815281.0060372,2349,0.8984375
1635815282.007511,2399,0.921875
1635815283.0183053,2449,0.890625
1635815284.0225677,2499,0.8828125
1635815285.0216043,2549,0.875
1635815286.0347311,2599,0.8671875
1635815287.0498312,2649,0.90625
1635815288.0667381,2699,0.90625
1635815290.4799323,2749,0.8984375
1635815291.5005033,2799,0.9140625
1635815292.4960916,2849,0.8671875
1635815293.4688993,2899,0.8359375
1635815294.4707532,2949,0.8515625
1635815295.4672375,2999,0.859375
1635815296.4664726,3049,0.890625
1635815297.4624345,3099,0.8671875
1635815298.4574513,3149,0.828125
1635815299.4423609,3199,0.8515625
1635815300.46926,3249,0.828125
1635815302.9038205,3299,0.8671875
1635815303.8909738,3349,0.8828125
1635815304.8836286,3399,0.859375
1635815305.8781521,3449,0.8984375
1635815306.902911,3499,0.8515625
1635815307.9250937,3549,0.8359375
1635815308.9215298,3599,0.8984375
1635815309.9310038,3649,0.90625
1635815310.96595,3699,0.90625
1635815311.973814,3749,0.8671875
1635815313.0046453,3799,0.859375
1635815315.4451885,3849,0.921875
1635815316.4660888,3899,0.828125
1635815317.5061479,3949,0.8046875
1635815318.5148811,3999,0.828125
1635815319.5195632,4049,0.84375
1635815320.5333724,4099,0.8828125
1635815321.5395105,4149,0.8359375
1635815322.5519009,4199,0.828125
1635815323.5738583,4249,0.890625
1635815324.5789218,4299,0.8125
1635815325.6081738,4349,0.8828125
1635815328.0329216,4399,0.875
1635815329.0426984,4449,0.8671875
1635815330.033538,4499,0.890625
1635815331.0601556,4549,0.8828125
1635815332.0646927,4599,0.7890625
1635815333.0633748,4649,0.8671875
1635815334.1589913,4699,0.8671875
1635815335.1604435,4749,0.890625
1635815336.158855,4799,0.8671875
1635815337.1549072,4849,0.8359375
1635815338.1670403,4899,0.859375
1635815340.551147,4949,0.9140625
1635815341.5783083,4999,0.859375
1635815342.5677524,5049,0.8984375
1635815343.554652,5099,0.875
1635815344.532295,5149,0.8515625
1635815345.5287995,5199,0.875
1635815346.5143926,5249,0.9140625
1635815347.5227559,5299,0.8828125
1635815348.5075498,5349,0.8515625
1635815349.480825,5399,0.890625
1635815350.4867225,5449,0.875
1635815352.9043305,5499,0.84375
1635815353.9111338,5549,0.875
1635815354.9078634,5599,0.8828125
1635815355.9238365,5649,0.890625
1635815356.9399772,5699,0.921875
1635815357.9392447,5749,0.8984375
1635815358.9303024,5799,0.84375
1635815359.921525,5849,0.8125
1635815360.9100506,5899,0.859375
1635815361.914634,5949,0.90625
1635815362.9269025,5999,0.953125
1635815365.3529716,6049,0.8515625
1635815366.3693423,6099,0.90625
1635815367.4651706,6149,0.8828125
1635815368.4796772,6199,0.921875
1635815369.480184,6249,0.8828125
1635815370.4666855,6299,0.9140625
1635815371.4801993,6349,0.9140625
1635815372.4814332,6399,0.90625
1635815373.478112,6449,0.9375
1635815374.4705496,6499,0.9375
1635815375.547925,6549,0.96875
1635815377.9404135,6599,0.9140625
1635815378.9448435,6649,0.9140625
1635815379.9387548,6699,0.9140625
1635815380.9176946,6749,0.8671875
1635815381.9250598,6799,0.9453125
1635815382.9187596,6849,0.9296875
1635815383.9263728,6899,0.9296875
1635815384.9464726,6949,0.90625
1635815385.9454741,6999,0.8671875
1635815386.960501,7049,0.921875
1635815387.9727557,7099,0.875
