Wall time,Step,Value
1635815530.6204484,49,0.40625
1635815531.7070885,99,0.40625
1635815532.6933894,149,0.453125
1635815533.6657112,199,0.4921875
1635815534.677067,249,0.5
1635815535.6784775,299,0.59375
1635815536.7043536,349,0.5703125
1635815537.7189376,399,0.5078125
1635815538.7212813,449,0.5078125
1635815539.7323453,499,0.5859375
1635815540.7390578,549,0.625
1635815541.8163857,599,0.6015625
1635815542.808643,649,0.671875
1635815543.7946022,699,0.6484375
1635815544.7901917,749,0.6328125
1635815545.7938397,799,0.671875
1635815548.8668718,849,0.6875
1635815549.8774183,899,0.7421875
1635815550.8849697,949,0.7421875
1635815551.9050815,999,0.8125
1635815552.894951,1049,0.796875
1635815553.8848615,1099,0.7734375
1635815554.9149382,1149,0.75
1635815555.9187882,1199,0.75
1635815556.931419,1249,0.78125
1635815557.946708,1299,0.8359375
1635815558.950956,1349,0.7890625
1635815559.9648232,1399,0.7734375
1635815560.9678254,1449,0.8046875
1635815561.9776306,1499,0.75
1635815562.9817047,1549,0.8828125
1635815563.985459,1599,0.796875
1635815567.294353,1649,0.7890625
1635815568.2969306,1699,0.828125
1635815569.2954469,1749,0.8515625
1635815570.2721055,1799,0.8125
1635815571.2650168,1849,0.8046875
1635815572.2422998,1899,0.78125
1635815573.2475402,1949,0.7734375
1635815574.2298257,1999,0.828125
1635815575.2259753,2049,0.75
1635815576.2083566,2099,0.875
1635815577.2101667,2149,0.890625
1635815578.2174122,2199,0.703125
1635815579.2156065,2249,0.8515625
1635815580.2449775,2299,0.8359375
1635815581.2519429,2349,0.796875
1635815582.2521398,2399,0.8125
1635815585.32443,2449,0.7890625
1635815586.3436933,2499,0.84375
1635815587.3500235,2549,0.8203125
1635815588.3488607,2599,0.828125
1635815589.3813813,2649,0.828125
1635815590.4034998,2699,0.84375
1635815591.4019527,2749,0.828125
1635815592.4126174,2799,0.765625
1635815593.4173093,2849,0.8046875
1635815594.428452,2899,0.859375
1635815595.4516156,2949,0.8125
1635815596.46558,2999,0.8046875
1635815597.456616,3049,0.796875
1635815598.4663012,3099,0.8125
1635815599.4650242,3149,0.890625
1635815600.4915323,3199,0.8359375
1635815603.1511376,3249,0.8359375
1635815604.162988,3299,0.75
1635815605.1572814,3349,0.84375
1635815606.1618133,3399,0.828125
1635815607.176457,3449,0.8515625
1635815608.1719718,3499,0.7734375
1635815609.170879,3549,0.8203125
1635815610.1988924,3599,0.8203125
1635815611.2024596,3649,0.859375
1635815612.1958375,3699,0.7890625
1635815613.2169182,3749,0.8125
1635815614.2167416,3799,0.734375
1635815615.2382603,3849,0.8125
1635815616.245642,3899,0.8046875
1635815617.2406354,3949,0.7890625
1635815618.230623,3999,0.7265625
1635815620.9035447,4049,0.84375
1635815621.903596,4099,0.796875
1635815622.9064884,4149,0.7578125
1635815623.9142137,4199,0.8125
1635815624.94015,4249,0.8203125
1635815625.9459646,4299,0.75
1635815626.9665744,4349,0.8046875
1635815627.9801338,4399,0.8203125
1635815628.9904635,4449,0.7890625
1635815630.015633,4499,0.8515625
1635815631.0088212,4549,0.765625
1635815631.9885674,4599,0.75
1635815632.995394,4649,0.8359375
1635815634.014304,4699,0.7734375
1635815635.0142586,4749,0.765625
1635815636.0101979,4799,0.8359375
1635815638.7081845,4849,0.7734375
1635815639.7344327,4899,0.828125
1635815640.7719212,4949,0.78125
1635815641.775813,4999,0.859375
1635815642.7973785,5049,0.75
1635815643.80998,5099,0.8515625
1635815644.8204505,5149,0.8125
1635815645.8164127,5199,0.8203125
1635815646.8245578,5249,0.8359375
1635815647.8137417,5299,0.8125
1635815648.8066187,5349,0.7890625
1635815649.802566,5399,0.734375
1635815650.8116257,5449,0.84375
1635815651.8019896,5499,0.8046875
1635815652.8123991,5549,0.8515625
1635815653.8448415,5599,0.78125
1635815654.8491552,5649,0.84375
1635815657.4725213,5699,0.828125
1635815658.4570036,5749,0.8515625
1635815659.458481,5799,0.828125
1635815660.4772706,5849,0.8203125
1635815661.4763932,5899,0.8046875
1635815662.4813483,5949,0.8984375
1635815663.4745486,5999,0.8125
1635815664.479018,6049,0.7734375
1635815665.5290926,6099,0.8515625
1635815666.5236342,6149,0.8203125
1635815667.6299567,6199,0.765625
1635815668.6265328,6249,0.71875
1635815669.6073956,6299,0.84375
1635815670.596607,6349,0.8046875
1635815671.586957,6399,0.8515625
1635815672.5908253,6449,0.8046875
1635815675.1669352,6499,0.8125
1635815676.1671941,6549,0.796875
1635815677.1848319,6599,0.84375
1635815678.1651022,6649,0.796875
1635815679.165005,6699,0.8359375
1635815680.15805,6749,0.875
1635815681.1627138,6799,0.875
1635815682.1631598,6849,0.8125
1635815683.1826603,6899,0.8046875
1635815684.2089424,6949,0.84375
1635815685.239905,6999,0.7890625
1635815686.2635272,7049,0.8515625
1635815687.2848172,7099,0.7890625
1635815688.2767181,7149,0.7578125
1635815689.2776535,7199,0.7578125
1635815690.2896621,7249,0.7890625
1635815692.8675966,7299,0.8046875
1635815693.8576858,7349,0.7890625
1635815694.88558,7399,0.8515625
1635815695.9200752,7449,0.8125
1635815696.9250493,7499,0.7890625
1635815697.9195209,7549,0.859375
1635815698.919485,7599,0.7421875
1635815699.9373138,7649,0.828125
1635815700.925734,7699,0.8359375
1635815701.9350286,7749,0.7890625
1635815702.9240978,7799,0.78125
1635815703.9195812,7849,0.84375
1635815704.9182491,7899,0.8203125
1635815705.9276295,7949,0.8046875
1635815706.9336407,7999,0.8046875
1635815707.9104915,8049,0.8359375
1635815710.4993856,8099,0.84375
1635815711.4940534,8149,0.8125
1635815712.475488,8199,0.8203125
1635815713.4697537,8249,0.875
1635815714.4577062,8299,0.7890625
1635815715.470447,8349,0.8515625
1635815716.4636235,8399,0.8359375
1635815717.463935,8449,0.84375
1635815718.455902,8499,0.7890625
1635815719.4562578,8549,0.8046875
1635815720.4681299,8599,0.796875
1635815721.5020525,8649,0.890625
1635815722.5096054,8699,0.8046875
1635815723.5218947,8749,0.8359375
1635815724.5183156,8799,0.8828125
1635815725.526606,8849,0.8125
1635815728.144697,8899,0.8046875
1635815729.152364,8949,0.84375
1635815730.153435,8999,0.859375
1635815731.2109053,9049,0.84375
1635815732.202952,9099,0.84375
1635815733.2179866,9149,0.875
1635815734.2137375,9199,0.7890625
1635815735.2227836,9249,0.8203125
1635815736.2176418,9299,0.8125
1635815737.235002,9349,0.8359375
1635815738.273382,9399,0.828125
1635815739.3789687,9449,0.7890625
1635815740.409237,9499,0.8984375
1635815741.4166768,9549,0.859375
1635815742.4241335,9599,0.8515625
1635815743.4495018,9649,0.8515625
1635815746.531913,9699,0.8671875
1635815747.5430288,9749,0.8671875
1635815748.5378044,9799,0.859375
1635815749.559064,9849,0.8125
1635815750.5951743,9899,0.8359375
1635815751.6302683,9949,0.859375
1635815752.6205056,9999,0.8203125
1635815753.6147795,10049,0.84375
1635815754.6158953,10099,0.8515625
1635815755.61162,10149,0.875
1635815756.603118,10199,0.828125
1635815757.6129134,10249,0.8515625
1635815758.6102781,10299,0.8203125
1635815759.6409216,10349,0.8203125
1635815760.658028,10399,0.8671875
1635815761.6682239,10449,0.875
1635815762.6672523,10499,0.859375
1635815765.779714,10549,0.8515625
1635815766.7816167,10599,0.8515625
1635815767.8005586,10649,0.8359375
1635815768.795734,10699,0.8828125
1635815769.8052907,10749,0.921875
1635815770.8173957,10799,0.8828125
1635815771.917789,10849,0.859375
1635815772.9470737,10899,0.8515625
1635815773.9532635,10949,0.8515625
1635815774.9546623,10999,0.8671875
1635815775.9353588,11049,0.8828125
1635815776.932274,11099,0.859375
1635815777.932513,11149,0.84375
1635815778.925654,11199,0.8671875
1635815779.92075,11249,0.8828125
1635815780.909134,11299,0.859375
1635815783.96922,11349,0.8828125
1635815784.9578886,11399,0.890625
1635815785.960275,11449,0.84375
1635815786.9547174,11499,0.828125
1635815787.9553723,11549,0.890625
1635815788.9507146,11599,0.9140625
1635815789.956373,11649,0.890625
1635815790.9459927,11699,0.8125
1635815791.9341555,11749,0.890625
1635815792.946312,11799,0.859375
1635815793.9437408,11849,0.890625
1635815794.9568021,11899,0.859375
1635815795.9693627,11949,0.8828125
1635815796.9794796,11999,0.859375
1635815797.9758556,12049,0.8515625
1635815798.9892082,12099,0.8671875
1635815802.0530052,12149,0.890625
1635815803.058473,12199,0.84375
1635815804.071938,12249,0.84375
1635815805.077287,12299,0.859375
1635815806.0619705,12349,0.8203125
1635815807.0517437,12399,0.8203125
1635815808.055143,12449,0.9375
1635815809.076652,12499,0.921875
1635815810.1015337,12549,0.8671875
1635815811.101858,12599,0.859375
1635815812.0927172,12649,0.8359375
1635815813.1076338,12699,0.890625
1635815814.1048448,12749,0.921875
1635815815.1206398,12799,0.8984375
1635815816.1418035,12849,0.8828125
1635815817.1745784,12899,0.8515625
1635815820.2531846,12949,0.890625
1635815821.2473097,12999,0.8828125
1635815822.2484488,13049,0.9453125
1635815823.2448885,13099,0.921875
1635815824.26184,13149,0.875
1635815825.2630022,13199,0.890625
1635815826.258485,13249,0.8671875
1635815827.2590353,13299,0.8671875
1635815828.2601392,13349,0.9453125
1635815829.2598588,13399,0.890625
1635815830.2648737,13449,0.8671875
1635815831.260361,13499,0.9375
1635815832.2758744,13549,0.9296875
1635815833.2671683,13599,0.8828125
1635815834.2708683,13649,0.8828125
1635815835.279791,13699,0.875
1635815838.3317952,13749,0.8984375
1635815839.3692558,13799,0.84375
1635815840.3666618,13849,0.875
1635815841.3691003,13899,0.9140625
1635815842.3701396,13949,0.921875
1635815843.3710198,13999,0.8828125
1635815844.376265,14049,0.890625
1635815845.3967986,14099,0.921875
1635815846.3941538,14149,0.9140625
1635815847.397767,14199,0.9140625
1635815848.3921185,14249,0.90625
1635815849.4773998,14299,0.921875
1635815850.481252,14349,0.875
1635815851.487284,14399,0.8515625
1635815852.4940207,14449,0.875
1635815853.4912655,14499,0.859375
1635815856.5750089,14549,0.84375
1635815857.58377,14599,0.921875
1635815858.5725996,14649,0.921875
1635815859.5847902,14699,0.9140625
1635815860.5782914,14749,0.8671875
1635815861.579571,14799,0.8984375
1635815862.5802627,14849,0.9453125
1635815863.625647,14899,0.8984375
1635815864.6376257,14949,0.9140625
1635815865.6525345,14999,0.84375
1635815866.6572294,15049,0.890625
1635815867.658968,15099,0.9140625
1635815868.6623948,15149,0.9609375
1635815869.693708,15199,0.921875
1635815870.7061493,15249,0.9453125
1635815871.7000875,15299,0.9140625
1635815872.7083414,15349,0.890625
1635815875.9267917,15399,0.8984375
1635815877.0222445,15449,0.9296875
1635815878.0272174,15499,0.921875
1635815879.0359528,15549,0.9140625
1635815880.0330324,15599,0.921875
1635815881.0286407,15649,0.8984375
1635815882.0494008,15699,0.859375
1635815883.0511317,15749,0.9296875
1635815884.0702167,15799,0.8984375
1635815885.0796769,15849,0.953125
1635815886.1048472,15899,0.90625
1635815887.1164281,15949,0.9375
1635815888.2352936,15999,0.8984375
1635815889.2518091,16049,0.8984375
1635815890.252252,16099,0.9140625
1635815891.268645,16149,0.921875
1635815894.4261456,16199,0.9140625
1635815895.4566045,16249,0.9375
1635815896.479886,16299,0.890625
1635815897.4927988,16349,0.9375
1635815898.4963567,16399,0.953125
1635815899.501842,16449,0.9140625
1635815900.5265963,16499,0.9375
1635815901.535606,16549,0.90625
1635815902.5953536,16599,0.90625
1635815903.5999033,16649,0.90625
1635815904.6327994,16699,0.9140625
1635815905.6439497,16749,0.8984375
1635815906.6589584,16799,0.9375
1635815907.630462,16849,0.9140625
1635815908.6968005,16899,0.9296875
1635815909.748045,16949,0.8984375
1635815913.044988,16999,0.9375
1635815914.1160374,17049,0.96875
1635815915.1477673,17099,0.921875
1635815916.1786127,17149,0.9296875
1635815917.2648728,17199,0.953125
1635815918.3232925,17249,0.8984375
1635815919.32161,17299,0.9375
1635815920.329494,17349,0.953125
1635815921.3322558,17399,0.9296875
1635815922.381665,17449,0.984375
1635815923.4399612,17499,0.9453125
1635815924.5161402,17549,0.9375
1635815925.5884137,17599,0.9375
1635815926.6646638,17649,0.953125
1635815927.7188444,17699,0.9453125
1635815928.7509563,17749,0.890625
1635815931.9467614,17799,0.9296875
1635815932.984844,17849,0.9375
1635815933.9737659,17899,0.9765625
1635815934.982481,17949,0.921875
1635815936.0052278,17999,0.953125
1635815937.0507,18049,0.9453125
1635815938.0669808,18099,0.9296875
1635815939.091612,18149,0.9453125
1635815940.0960457,18199,0.921875
1635815941.1212444,18249,0.9609375
1635815942.1706731,18299,0.921875
1635815943.209853,18349,0.96875
1635815944.2354462,18399,0.9375
1635815945.2572095,18449,0.921875
1635815946.307913,18499,0.9453125
1635815947.402476,18549,0.9375
1635815950.6554668,18599,0.9765625
1635815951.6895266,18649,0.9375
1635815952.709095,18699,0.9609375
1635815953.849264,18749,0.96875
1635815954.8805676,18799,0.921875
1635815955.9028285,18849,0.9453125
1635815956.9520972,18899,0.9609375
1635815957.9380322,18949,0.96875
1635815958.9061208,18999,0.96875
1635815959.8780692,19049,0.9765625
1635815960.869876,19099,0.9609375
1635815961.835466,19149,0.953125
1635815962.8198142,19199,0.96875
1635815963.7945278,19249,0.9609375
1635815964.7882514,19299,0.953125
1635815965.8131986,19349,0.96875
1635815968.8941455,19399,0.9375
1635815969.9001658,19449,0.953125
1635815970.885,19499,0.9453125
1635815971.8770378,19549,0.9765625
1635815972.883194,19599,0.96875
1635815973.8900888,19649,0.953125
1635815974.9054677,19699,0.9375
1635815975.9200268,19749,0.9765625
1635815976.9048383,19799,0.9765625
1635815977.8888075,19849,0.9765625
1635815978.9535534,19899,0.9765625
1635815979.9372365,19949,0.96875
1635815980.9420693,19999,0.984375
1635815981.9246917,20049,0.9296875
1635815982.9244514,20099,0.953125
1635815983.9267771,20149,0.96875
1635815985.095183,20199,0.8888888955116272
1635815987.5066211,20249,0.9765625
1635815988.4705765,20299,0.9765625
1635815989.474863,20349,0.96875
1635815990.4845893,20399,0.953125
1635815991.4708562,20449,0.953125
1635815992.4497964,20499,0.984375
1635815993.4523246,20549,0.9765625
1635815994.4384425,20599,0.9921875
1635815995.4206767,20649,0.9296875
1635815996.389864,20699,0.984375
1635815997.3685093,20749,0.9765625
1635815998.3385317,20799,0.9609375
1635815999.3221362,20849,0.96875
1635816000.3066564,20899,0.96875
1635816001.2963786,20949,0.96875
1635816002.3241062,20999,0.9765625
1635816004.924307,21049,0.9609375
1635816005.9125068,21099,0.984375
1635816006.9077938,21149,0.984375
1635816007.8868628,21199,0.96875
1635816008.8819377,21249,0.9921875
1635816009.8619452,21299,0.9609375
1635816010.8440216,21349,0.9765625
1635816011.8596506,21399,0.96875
1635816012.8929203,21449,0.96875
1635816013.9170647,21499,0.984375
1635816014.9173954,21549,0.9609375
1635816015.9129484,21599,0.984375
1635816016.915032,21649,0.9765625
1635816017.904921,21699,0.96875
1635816018.8963299,21749,0.984375
1635816019.883695,21799,0.9921875
1635816022.4313545,21849,0.9921875
1635816023.4109433,21899,1.0
1635816024.3865066,21949,0.96875
1635816025.3703265,21999,0.9765625
1635816026.3488126,22049,0.9765625
1635816027.3436685,22099,0.9921875
1635816028.3336189,22149,0.984375
1635816029.2980459,22199,0.9609375
1635816030.2627852,22249,0.9765625
1635816031.244484,22299,0.96875
1635816032.228921,22349,0.9609375
1635816033.1999917,22399,0.984375
1635816034.1790528,22449,0.9453125
1635816035.1596859,22499,0.96875
1635816036.1432958,22549,0.96875
1635816037.1074822,22599,0.953125
1635816039.6816776,22649,0.9765625
1635816040.6585376,22699,0.9921875
1635816041.6357546,22749,0.9921875
1635816042.6000152,22799,0.9765625
1635816043.5977063,22849,1.0
1635816044.5715475,22899,0.9765625
1635816045.5905135,22949,0.9765625
1635816046.5900328,22999,0.9921875
1635816047.5869653,23049,0.9921875
1635816048.586028,23099,0.9921875
1635816049.5723293,23149,0.96875
1635816050.5871778,23199,0.984375
1635816051.5845625,23249,0.9765625
1635816052.6643023,23299,0.984375
1635816053.641605,23349,0.9921875
1635816054.6331937,23399,0.9921875
1635816057.3039446,23449,0.984375
1635816058.2878504,23499,0.9921875
1635816059.2527046,23549,0.9765625
1635816060.2669957,23599,0.984375
1635816061.2475479,23649,0.96875
1635816062.2241178,23699,0.9765625
1635816063.1955454,23749,0.96875
1635816064.1776042,23799,0.9765625
1635816065.1634688,23849,0.9765625
1635816066.1391914,23899,0.9453125
1635816067.1173074,23949,0.9921875
1635816068.1140354,23999,0.9921875
1635816069.0951028,24049,0.9765625
1635816070.0938845,24099,1.0
1635816071.109025,24149,0.984375
1635816072.0824263,24199,0.96875
