Wall time,Step,Value
1635813920.9990346,49,0.2421875
1635813921.9183915,99,0.3515625
1635813922.8707638,149,0.40625
1635813923.7933517,199,0.3671875
1635813924.7223876,249,0.484375
1635813925.6559916,299,0.4453125
1635813926.6020133,349,0.4765625
1635813927.5386798,399,0.53125
1635813928.4922576,449,0.515625
1635813929.427883,499,0.4609375
1635813930.3504424,549,0.484375
1635813931.2924097,599,0.578125
1635813932.266826,649,0.5390625
1635813933.2369263,699,0.53125
1635813934.255943,749,0.6015625
1635813935.208439,799,0.5234375
1635813936.1488814,849,0.53125
1635813937.0905244,899,0.609375
1635813938.1052337,949,0.578125
1635813939.1142201,999,0.6953125
1635813940.139327,1049,0.6484375
1635813941.1507378,1099,0.7109375
1635813942.1523974,1149,0.6640625
1635813943.1541698,1199,0.6171875
1635813944.1225054,1249,0.6796875
1635813945.1267824,1299,0.625
1635813946.1548934,1349,0.75
1635813947.1673727,1399,0.7421875
1635813948.159236,1449,0.78125
1635813949.0912528,1499,0.7265625
1635813950.0414283,1549,0.703125
1635813951.0349488,1599,0.71875
1635813952.0160315,1649,0.6640625
1635813953.029946,1699,0.7734375
1635813954.0350947,1749,0.7578125
1635813955.02766,1799,0.7734375
1635813956.042739,1849,0.6953125
1635813957.0488439,1899,0.765625
1635813958.0131137,1949,0.765625
1635813958.972782,1999,0.78125
1635813959.9743123,2049,0.75
1635813960.9524417,2099,0.7421875
1635813961.8908088,2149,0.78125
1635813962.852581,2199,0.75
1635813963.805478,2249,0.8046875
1635813964.7585876,2299,0.75
1635813965.750845,2349,0.8359375
1635813966.7123532,2399,0.796875
1635813967.6581411,2449,0.75
1635813968.6437812,2499,0.78125
1635813969.625848,2549,0.7578125
1635813970.5963151,2599,0.7421875
1635813971.6062193,2649,0.828125
1635813972.5902622,2699,0.8359375
1635813973.5471647,2749,0.8125
1635813974.6168258,2799,0.8203125
1635813975.6090662,2849,0.8203125
1635813980.1448622,2899,0.734375
1635813981.2334526,2949,0.8046875
1635813982.2005794,2999,0.84375
1635813983.208271,3049,0.8359375
1635813984.1763134,3099,0.78125
1635813985.2306688,3149,0.8359375
1635813986.1816769,3199,0.859375
1635813987.1124897,3249,0.765625
1635813988.046786,3299,0.8359375
1635813988.974589,3349,0.8046875
1635813989.9130867,3399,0.8359375
1635813990.8428457,3449,0.8515625
1635813991.773754,3499,0.796875
1635813992.734779,3549,0.7890625
1635813993.6838465,3599,0.8359375
1635813994.6221097,3649,0.796875
1635813995.5684216,3699,0.8359375
1635813996.4816391,3749,0.8359375
1635813997.4326243,3799,0.765625
1635813998.363376,3849,0.7734375
1635813999.2943964,3899,0.84375
1635814000.2323067,3949,0.78125
1635814001.1714723,3999,0.8046875
1635814002.1068077,4049,0.84375
1635814003.0432267,4099,0.7734375
1635814003.9745626,4149,0.8046875
1635814004.9164503,4199,0.859375
1635814005.846587,4249,0.8203125
1635814006.7812388,4299,0.75
1635814007.7282708,4349,0.828125
1635814008.661369,4399,0.8125
1635814009.587253,4449,0.78125
1635814010.5061665,4499,0.7734375
1635814011.4183235,4549,0.8125
1635814012.3323133,4599,0.84375
1635814013.2572267,4649,0.8671875
1635814014.170512,4699,0.7421875
1635814015.1096213,4749,0.828125
1635814016.032924,4799,0.8203125
1635814016.9910123,4849,0.7890625
1635814017.9436345,4899,0.828125
1635814018.8733833,4949,0.84375
1635814019.7864056,4999,0.8515625
1635814020.7339385,5049,0.8828125
1635814021.6694932,5099,0.84375
1635814022.604348,5149,0.8203125
1635814023.5502598,5199,0.796875
1635814024.4663184,5249,0.8125
1635814025.3892112,5299,0.859375
1635814026.3119662,5349,0.8203125
1635814027.245314,5399,0.8359375
1635814028.1825,5449,0.796875
1635814029.1131573,5499,0.8359375
1635814030.0483344,5549,0.8203125
1635814030.983622,5599,0.8203125
1635814031.9089978,5649,0.828125
1635814032.846886,5699,0.78125
1635814033.784302,5749,0.84375
1635814038.0412817,5799,0.84375
1635814038.9838996,5849,0.8515625
1635814039.9016538,5899,0.859375
1635814040.8256145,5949,0.8125
1635814041.746283,5999,0.8515625
1635814042.7148175,6049,0.8984375
1635814043.6512382,6099,0.8203125
1635814044.5920005,6149,0.796875
1635814045.540631,6199,0.8984375
1635814046.4832072,6249,0.84375
1635814047.4443705,6299,0.8359375
1635814048.3969955,6349,0.8203125
1635814049.319417,6399,0.828125
1635814050.248169,6449,0.828125
1635814051.181543,6499,0.8046875
1635814052.1096432,6549,0.7734375
1635814053.0449703,6599,0.7890625
1635814053.9743755,6649,0.8046875
1635814054.9013999,6699,0.8125
1635814055.8386557,6749,0.875
1635814056.761851,6799,0.8046875
1635814057.6915026,6849,0.8515625
1635814058.6163588,6899,0.9140625
1635814059.5450685,6949,0.8203125
1635814060.4727092,6999,0.8515625
1635814061.403716,7049,0.796875
1635814062.334364,7099,0.8515625
1635814063.2635968,7149,0.75
1635814064.193976,7199,0.84375
1635814065.1446064,7249,0.8203125
1635814066.0949264,7299,0.875
1635814067.0448573,7349,0.75
1635814068.0005863,7399,0.7578125
1635814068.943549,7449,0.8046875
1635814069.986629,7499,0.828125
1635814070.933234,7549,0.8046875
1635814071.8704615,7599,0.7890625
1635814072.8187296,7649,0.828125
1635814073.8486593,7699,0.796875
1635814074.820935,7749,0.8203125
1635814075.7774148,7799,0.828125
1635814076.7242575,7849,0.8046875
1635814077.678755,7899,0.765625
1635814078.6302836,7949,0.7890625
1635814079.5691931,7999,0.828125
1635814080.5196013,8049,0.8828125
1635814081.4622838,8099,0.8125
1635814082.413858,8149,0.828125
1635814083.3528922,8199,0.859375
1635814084.2994325,8249,0.8671875
1635814085.2459924,8299,0.78125
1635814086.1696308,8349,0.7890625
1635814087.1129744,8399,0.84375
1635814088.0638628,8449,0.828125
1635814088.9896154,8499,0.828125
1635814089.9250395,8549,0.8046875
1635814090.8563147,8599,0.8203125
1635814091.796473,8649,0.8671875
1635814095.7433183,8699,0.828125
1635814096.6911192,8749,0.78125
1635814097.6082559,8799,0.8125
1635814098.5302637,8849,0.7578125
1635814099.4553213,8899,0.796875
1635814100.3839562,8949,0.875
1635814101.3132427,8999,0.7890625
1635814102.2372074,9049,0.7265625
1635814103.172714,9099,0.859375
1635814104.0931318,9149,0.8359375
1635814105.0253925,9199,0.875
1635814105.9820383,9249,0.8203125
1635814106.911305,9299,0.84375
1635814107.8414276,9349,0.7734375
1635814108.7799678,9399,0.796875
1635814109.7107904,9449,0.828125
1635814110.6491566,9499,0.8203125
1635814111.590305,9549,0.8359375
1635814112.5256472,9599,0.8671875
1635814113.4590895,9649,0.8359375
1635814114.3864279,9699,0.8125
1635814115.3625562,9749,0.8125
1635814116.3044252,9799,0.7734375
1635814117.2392108,9849,0.7890625
1635814118.1849287,9899,0.8828125
1635814119.1372635,9949,0.78125
1635814120.0610845,9999,0.84375
1635814121.0292902,10049,0.8515625
1635814121.9886298,10099,0.8203125
1635814122.9257896,10149,0.8046875
1635814123.8829148,10199,0.796875
1635814124.812759,10249,0.84375
1635814125.7463229,10299,0.84375
1635814126.6766448,10349,0.8359375
1635814127.6204495,10399,0.8515625
1635814128.5679247,10449,0.859375
1635814129.5274522,10499,0.8359375
1635814130.4775915,10549,0.828125
1635814131.4236765,10599,0.8046875
1635814132.362233,10649,0.828125
1635814133.3326614,10699,0.859375
1635814134.263747,10749,0.7578125
1635814135.212063,10799,0.8046875
1635814136.1813295,10849,0.8515625
1635814137.128169,10899,0.796875
1635814138.0726106,10949,0.8125
1635814139.02093,10999,0.8203125
1635814139.9672358,11049,0.8046875
1635814140.9161363,11099,0.8203125
1635814141.8477461,11149,0.828125
1635814142.785205,11199,0.8359375
1635814143.6995792,11249,0.765625
1635814144.625607,11299,0.7890625
1635814145.5755937,11349,0.7890625
1635814146.4933596,11399,0.78125
1635814147.4407034,11449,0.7421875
1635814148.399262,11499,0.765625
1635814149.329789,11549,0.8046875
1635814153.252255,11599,0.828125
1635814154.1888037,11649,0.875
1635814155.1293721,11699,0.7890625
1635814156.0764565,11749,0.7890625
1635814157.0525587,11799,0.7734375
1635814158.0220277,11849,0.8515625
1635814158.9687939,11899,0.796875
1635814159.95104,11949,0.796875
1635814160.8866718,11999,0.8203125
1635814161.8260443,12049,0.7890625
1635814162.787098,12099,0.8203125
1635814163.8477724,12149,0.8515625
1635814164.7997513,12199,0.7734375
1635814165.7588933,12249,0.7734375
1635814166.7114801,12299,0.78125
1635814167.7187676,12349,0.8046875
1635814168.6471455,12399,0.8125
1635814169.7077084,12449,0.875
1635814170.6840494,12499,0.7734375
1635814171.65208,12549,0.859375
1635814172.6191566,12599,0.796875
1635814173.5827184,12649,0.8359375
1635814174.5244808,12699,0.796875
1635814175.5162296,12749,0.8203125
1635814176.4882612,12799,0.7734375
1635814177.4516506,12849,0.78125
1635814178.4265935,12899,0.8359375
1635814179.365642,12949,0.796875
1635814180.3064544,12999,0.8671875
1635814181.257268,13049,0.7734375
1635814182.1987228,13099,0.765625
1635814183.1739893,13149,0.8125
1635814184.1024766,13199,0.8359375
1635814185.0321405,13249,0.859375
1635814186.0110528,13299,0.8046875
1635814186.9643302,13349,0.8515625
1635814187.9141855,13399,0.8203125
1635814188.8584075,13449,0.8828125
1635814189.8055744,13499,0.7890625
1635814190.7633867,13549,0.8125
1635814191.722324,13599,0.828125
1635814192.6842828,13649,0.828125
1635814193.6344213,13699,0.78125
1635814194.6451006,13749,0.796875
1635814195.596543,13799,0.8125
1635814196.5424418,13849,0.8125
1635814197.476175,13899,0.8203125
1635814198.4215028,13949,0.84375
1635814199.366101,13999,0.828125
1635814200.301417,14049,0.8125
1635814201.237861,14099,0.78125
1635814202.2521734,14149,0.7890625
1635814203.2189012,14199,0.765625
1635814204.159025,14249,0.828125
1635814205.1088212,14299,0.8125
1635814206.050154,14349,0.8046875
1635814207.0939076,14399,0.8515625
1635814208.0381076,14449,0.8828125
1635814212.007628,14499,0.8515625
1635814212.970451,14549,0.7890625
1635814213.9224412,14599,0.75
1635814214.897703,14649,0.859375
1635814215.8493788,14699,0.84375
1635814216.8264604,14749,0.78125
1635814217.8055165,14799,0.796875
1635814218.7494,14849,0.78125
1635814219.7199776,14899,0.859375
1635814220.6632426,14949,0.7109375
1635814221.605463,14999,0.7734375
1635814222.5616305,15049,0.78125
1635814223.5187373,15099,0.9140625
1635814224.4695773,15149,0.828125
1635814225.4234226,15199,0.84375
1635814226.3708215,15249,0.8671875
1635814227.350359,15299,0.765625
1635814228.314973,15349,0.796875
