Wall time,Step,Value
1635817918.025606,49,0.7421875
1635817918.922164,99,0.75
1635817919.8004239,149,0.8984375
1635817920.6618683,199,0.796875
1635817921.5314412,249,0.890625
1635817922.4036398,299,0.921875
1635817923.3076172,349,0.90625
1635817924.1774325,399,0.875
1635817925.0594091,449,0.9140625
1635817925.9159687,499,0.9453125
1635817926.7967055,549,0.9296875
1635817927.675382,599,0.953125
1635817928.540694,649,0.953125
1635817929.410543,699,0.9609375
1635817930.2930028,749,0.9765625
1635817931.172674,799,0.9453125
1635817932.0473855,849,0.9296875
1635817932.9435778,899,0.9609375
1635817933.8616025,949,0.9375
1635817934.7587042,999,0.9375
1635817935.6415164,1049,0.9765625
1635817936.5217817,1099,0.9765625
1635817937.3965995,1149,0.9921875
1635817938.2733738,1199,0.96875
1635817939.1603448,1249,0.9921875
1635817940.0449827,1299,0.953125
1635817940.9217503,1349,0.96875
1635817941.8012736,1399,0.9765625
1635817942.6796308,1449,0.9765625
1635817945.7463892,1499,0.9765625
1635817946.6255414,1549,0.9921875
1635817947.511413,1599,0.9765625
1635817948.3735838,1649,0.9921875
1635817949.241942,1699,0.984375
1635817950.1144407,1749,0.9921875
1635817950.9871407,1799,0.9609375
1635817951.8589306,1849,1.0
1635817952.7532418,1899,0.9765625
1635817953.6358225,1949,0.9765625
1635817954.5122688,1999,0.9765625
1635817955.3845987,2049,0.9765625
1635817956.2510855,2099,0.984375
1635817957.128542,2149,0.96875
1635817957.9985068,2199,0.9609375
1635817958.863022,2249,0.9609375
1635817959.7405634,2299,1.0
1635817960.6021574,2349,0.9921875
1635817961.466218,2399,0.9453125
1635817962.345223,2449,0.9765625
1635817963.2231956,2499,0.984375
1635817964.106268,2549,0.9453125
1635817964.9655218,2599,0.9609375
1635817965.8454041,2649,0.96875
1635817966.7089815,2699,0.9765625
1635817967.5697634,2749,0.9453125
1635817968.4606512,2799,0.96875
1635817969.336556,2849,0.9921875
1635817970.2177966,2899,0.984375
1635817972.8755472,2949,0.9765625
1635817973.7588582,2999,0.96875
1635817974.654927,3049,0.9765625
1635817975.5601869,3099,0.9375
1635817976.4298546,3149,0.9375
1635817977.3004565,3199,0.96875
1635817978.1762543,3249,0.9765625
1635817979.0695448,3299,0.984375
1635817979.9536507,3349,0.96875
1635817980.8270378,3399,0.953125
1635817981.6912668,3449,0.96875
1635817982.5541136,3499,0.96875
1635817983.4168677,3549,0.9453125
1635817984.3059127,3599,0.96875
1635817985.1792552,3649,0.953125
1635817986.041042,3699,0.9609375
1635817986.9183602,3749,0.9375
1635817987.786131,3799,0.9765625
1635817988.6636257,3849,0.984375
1635817989.5460825,3899,0.9375
1635817990.4131281,3949,0.984375
1635817991.281868,3999,0.984375
1635817992.1447387,4049,0.9140625
1635817993.0141988,4099,0.9765625
1635817993.9497006,4149,0.96875
1635817994.832623,4199,0.96875
1635817995.7096944,4249,0.9453125
1635817996.5977952,4299,0.9609375
1635817997.4844444,4349,0.9296875
1635818000.2220042,4399,0.9609375
1635818001.0794904,4449,0.921875
1635818002.0287204,4499,0.9609375
1635818002.897894,4549,0.9609375
1635818003.76428,4599,0.9375
1635818004.7112775,4649,0.96875
1635818005.6010795,4699,0.953125
1635818006.4778526,4749,0.9765625
1635818007.3466282,4799,0.96875
1635818008.2229803,4849,0.9375
1635818009.096736,4899,0.984375
1635818009.9570258,4949,0.9453125
1635818010.8193543,4999,0.9453125
1635818011.6890595,5049,0.953125
1635818012.567462,5099,0.96875
1635818013.4969347,5149,0.9375
1635818014.3833158,5199,0.921875
1635818015.2401483,5249,0.90625
1635818016.104435,5299,0.9765625
1635818016.982568,5349,0.96875
1635818017.8550165,5399,0.9296875
1635818018.7396202,5449,0.9375
1635818019.6376598,5499,0.9140625
1635818020.521208,5549,0.9296875
1635818021.374478,5599,0.9609375
1635818022.2518132,5649,0.9609375
1635818023.1207252,5699,0.9296875
1635818024.0071356,5749,0.9453125
1635818024.876735,5799,0.9453125
1635818027.5465357,5849,0.9765625
1635818028.4131835,5899,0.96875
1635818029.2800307,5949,0.953125
1635818030.1699457,5999,0.9921875
1635818031.0479596,6049,0.9453125
1635818031.920353,6099,0.9453125
1635818032.7950609,6149,0.953125
1635818033.665202,6199,0.9921875
1635818034.555516,6249,0.921875
1635818035.427185,6299,0.953125
1635818036.2896628,6349,0.921875
1635818037.1602874,6399,0.9140625
1635818038.0348403,6449,0.96875
1635818038.8930588,6499,0.9453125
1635818039.7694464,6549,0.9609375
1635818040.6720443,6599,0.9453125
1635818041.5364733,6649,0.9453125
1635818042.4197278,6699,0.9375
1635818043.3108141,6749,0.9453125
1635818044.1704595,6799,0.9375
1635818045.0559304,6849,0.9609375
1635818045.9302657,6899,0.9140625
1635818046.8245876,6949,0.9453125
1635818047.6936502,6999,0.9765625
1635818048.5649004,7049,0.90625
1635818049.4705057,7099,0.9453125
1635818050.3274105,7149,0.9609375
1635818051.2030756,7199,0.9375
1635818052.0663655,7249,0.9375
1635818054.7735398,7299,0.9765625
1635818055.6328835,7349,0.9453125
1635818056.509352,7399,0.9609375
1635818057.4024067,7449,0.9375
1635818058.2838242,7499,0.9609375
1635818059.1571689,7549,0.9375
1635818060.04136,7599,0.921875
1635818060.9079995,7649,0.8828125
1635818061.7766078,7699,0.984375
1635818062.6444821,7749,0.953125
1635818063.5393791,7799,0.9609375
1635818064.417099,7849,0.9375
1635818065.2844841,7899,0.9375
1635818066.1617765,7949,0.953125
1635818067.023081,7999,0.96875
1635818067.8936532,8049,0.953125
1635818068.7789497,8099,0.953125
1635818069.681909,8149,0.9296875
1635818070.558867,8199,0.9609375
1635818071.448949,8249,0.96875
1635818072.3269835,8299,0.9609375
1635818073.1948535,8349,0.953125
1635818074.061301,8399,0.9375
1635818074.9457257,8449,0.9609375
1635818075.8232548,8499,0.9609375
1635818076.6897237,8549,0.9375
1635818077.5643203,8599,0.953125
1635818078.4437807,8649,0.9609375
1635818079.3177783,8699,0.9375
