Wall time,Step,Value
1637684352.194459,49,0.66796875
1637684352.9682732,99,0.7109375
1637684353.7909873,149,0.73828125
1637684354.5905817,199,0.71875
1637684355.37488,249,0.7734375
1637684356.1484241,299,0.76953125
1637684356.9124293,349,0.75
1637684357.6929848,399,0.79296875
1637684358.5266407,449,0.8515625
1637684359.317998,499,0.86328125
1637684360.1170502,549,0.8984375
1637684360.8824782,599,0.88671875
1637684361.6750963,649,0.91015625
1637684362.4823146,699,0.890625
1637684363.3096983,749,0.83984375
1637684364.0868282,799,0.90625
1637684364.865059,849,0.9140625
1637684365.6353543,899,0.89453125
1637684366.4097579,949,0.90625
1637684367.2223175,999,0.9296875
1637684368.0231473,1049,0.93359375
1637684368.8086598,1099,0.91796875
1637684369.5916975,1149,0.93359375
1637684370.3749387,1199,0.9140625
1637684371.1344585,1249,0.94140625
1637684371.9181428,1299,0.9453125
1637684372.7452135,1349,0.94921875
1637684373.5083036,1399,0.9609375
1637684374.3068862,1449,0.94140625
1637684377.1620865,1499,0.95703125
1637684377.9514785,1549,0.96484375
1637684378.7686248,1599,0.94921875
1637684379.5571606,1649,0.98828125
1637684380.3469095,1699,0.953125
1637684381.126058,1749,0.97265625
1637684381.9328718,1799,0.9765625
1637684382.7468688,1849,0.95703125
1637684383.5346317,1899,0.93359375
1637684384.304688,1949,0.96484375
1637684385.096043,1999,0.96875
1637684385.868833,2049,0.94921875
1637684386.6749496,2099,0.9609375
1637684387.505887,2149,0.98046875
1637684388.2849808,2199,0.96875
1637684389.0466523,2249,0.98828125
1637684389.8227806,2299,0.96875
1637684390.5842106,2349,0.9609375
1637684391.4106622,2399,0.9609375
1637684392.2253304,2449,0.96875
1637684393.0059164,2499,0.96875
1637684393.8020449,2549,0.96484375
1637684394.5842538,2599,0.98046875
1637684395.3938632,2649,0.99609375
1637684396.2343314,2699,0.984375
1637684397.0518594,2749,0.98046875
1637684397.8611212,2799,0.9453125
1637684398.6468415,2849,0.97265625
1637684399.4421546,2899,0.9765625
1637684402.33793,2949,0.98046875
1637684403.1201801,2999,0.9765625
1637684403.905277,3049,0.9765625
1637684404.6928368,3099,0.98046875
1637684405.49425,3149,0.984375
1637684406.2880282,3199,0.97265625
1637684407.079162,3249,0.98046875
1637684407.8543844,3299,0.9765625
1637684408.6278265,3349,0.98828125
1637684409.414022,3399,0.984375
1637684410.1900022,3449,0.98828125
1637684410.9774208,3499,0.9765625
1637684411.7722454,3549,0.984375
1637684412.551929,3599,0.9765625
1637684413.3404608,3649,0.984375
1637684414.1297734,3699,0.98046875
1637684414.9640598,3749,0.984375
1637684415.8515944,3799,0.98828125
1637684416.6164992,3849,0.98046875
1637684417.4029608,3899,0.98046875
1637684418.1855683,3949,0.97265625
1637684418.9509435,3999,0.9609375
1637684419.7780895,4049,0.96875
1637684420.58152,4099,0.98046875
1637684421.390728,4149,0.9765625
1637684422.2012143,4199,0.97265625
1637684422.9980931,4249,0.9765625
1637684423.8032544,4299,0.953125
1637684424.6324947,4349,0.97265625
1637684427.5835414,4399,0.984375
1637684428.3726597,4449,0.984375
1637684429.280967,4499,0.984375
1637684430.0963707,4549,0.97265625
1637684430.9529715,4599,0.99609375
1637684431.748795,4649,0.984375
1637684432.554335,4699,0.96875
1637684433.362668,4749,0.9921875
1637684434.1893773,4799,0.9765625
1637684434.9826152,4849,0.984375
1637684435.7883742,4899,0.984375
1637684436.557315,4949,0.9921875
1637684437.3566551,4999,0.984375
1637684438.172919,5049,0.98046875
1637684439.0083609,5099,0.984375
1637684439.816834,5149,0.97265625
1637684440.5929363,5199,0.9765625
1637684441.3918085,5249,0.97265625
1637684442.1958823,5299,0.96875
1637684442.9914951,5349,0.9765625
1637684443.8110452,5399,0.96875
1637684444.6373556,5449,0.98046875
1637684445.4388661,5499,0.96875
1637684446.2275453,5549,0.96875
1637684447.0264199,5599,0.96875
1637684447.8216438,5649,0.96484375
1637684448.6851509,5699,0.96875
1637684449.463973,5749,0.984375
1637684450.2543318,5799,0.984375
1637684452.6393566,5849,0.984375
1637684453.5107245,5899,0.9765625
1637684454.3092349,5949,0.984375
1637684455.0582018,5999,0.984375
1637684455.8639622,6049,0.96875
1637684456.6725051,6099,0.9609375
1637684457.4611197,6149,0.96484375
1637684458.30655,6199,0.96875
1637684459.118983,6249,0.984375
1637684459.9273095,6299,0.97265625
1637684460.7173665,6349,0.97265625
1637684461.490696,6399,0.97265625
1637684462.3259072,6449,0.96875
1637684463.1468837,6499,0.98046875
1637684463.9601016,6549,0.98046875
1637684464.765908,6599,0.98046875
1637684465.587734,6649,0.9765625
1637684466.4290175,6699,0.96875
1637684467.266261,6749,0.9765625
1637684468.1054618,6799,0.96875
1637684468.9118977,6849,0.96484375
1637684469.7216818,6899,0.98046875
1637684470.525126,6949,0.95703125
1637684471.3646176,6999,0.9609375
1637684472.2649703,7049,0.95703125
1637684473.0907097,7099,0.97265625
1637684473.8664892,7149,0.97265625
1637684474.6468914,7199,0.96484375
1637684475.4471924,7249,0.98046875
1637684477.7675471,7299,0.984375
1637684478.5399494,7349,0.98828125
1637684479.3294582,7399,0.97265625
1637684480.106436,7449,0.9921875
1637684480.8672101,7499,0.97265625
1637684481.688505,7549,0.98828125
1637684482.5046766,7599,0.98046875
1637684483.2764046,7649,0.97265625
1637684484.0443845,7699,0.96875
1637684484.7870085,7749,0.98046875
1637684485.5720537,7799,0.9609375
1637684486.4108336,7849,0.96484375
1637684487.191546,7899,0.94921875
1637684488.0014,7949,0.9765625
1637684488.7929394,7999,0.9765625
1637684489.5807543,8049,0.98046875
1637684490.3658996,8099,0.9765625
1637684491.1832423,8149,0.96875
1637684491.9635081,8199,0.97265625
1637684492.852462,8249,0.95703125
1637684493.6537654,8299,0.98046875
1637684494.4569051,8349,0.9453125
1637684495.2395897,8399,0.96484375
1637684496.0761948,8449,0.94140625
1637684496.8552384,8499,0.96875
1637684497.644185,8549,0.96875
1637684498.4297442,8599,0.9453125
1637684499.2108393,8649,0.9765625
1637684499.9954033,8699,0.9375
1637684502.5525749,8749,0.97265625
1637684503.3105376,8799,0.98046875
1637684504.0768955,8849,0.96484375
1637684504.9347289,8899,0.95703125
1637684505.7474606,8949,0.95703125
1637684506.5925753,8999,0.9765625
1637684507.365263,9049,0.96875
1637684508.1256993,9099,0.95703125
1637684508.8827386,9149,0.98046875
1637684509.658381,9199,0.9765625
1637684510.4819756,9249,0.97265625
1637684511.2659814,9299,0.96875
1637684512.0584962,9349,0.9609375
1637684512.83989,9399,0.9609375
1637684513.6124034,9449,0.9765625
1637684514.358374,9499,0.9765625
1637684515.159146,9549,0.9765625
1637684515.9162366,9599,0.96875
1637684516.7052922,9649,0.95703125
1637684517.5187597,9699,0.97265625
1637684518.285197,9749,0.9609375
1637684519.0443769,9799,0.9609375
1637684519.8707926,9849,0.9375
1637684520.6512642,9899,0.97265625
1637684521.3811424,9949,0.9765625
1637684522.16182,9999,0.97265625
1637684522.9218316,10049,0.96484375
1637684523.7182765,10099,0.97265625
1637684524.5367577,10149,0.9609375
1637684526.8689392,10199,0.9765625
1637684527.659992,10249,0.9765625
1637684528.4773595,10299,0.94921875
1637684529.3026962,10349,0.96875
1637684530.0932138,10399,0.953125
1637684530.869551,10449,0.96875
1637684531.654508,10499,0.97265625
1637684532.4515486,10549,0.97265625
1637684533.2554631,10599,0.96484375
1637684534.0979,10649,0.95703125
1637684534.8832235,10699,0.97265625
1637684535.672715,10749,0.98046875
1637684536.4508717,10799,0.96875
1637684537.2263155,10849,0.96875
1637684537.9958246,10899,0.96484375
1637684538.8017995,10949,0.97265625
1637684539.5655954,10999,0.93359375
1637684540.3411548,11049,0.9609375
1637684541.0787935,11099,0.9765625
1637684541.8657746,11149,0.9765625
1637684542.6221998,11199,0.96484375
1637684543.4646847,11249,0.96875
1637684544.2691903,11299,0.96875
1637684545.0314026,11349,0.984375
1637684545.7892847,11399,0.9765625
1637684546.5763958,11449,0.953125
1637684547.3438559,11499,0.96875
1637684548.1579936,11549,0.98046875
1637684548.9609523,11599,0.9765625
1637684549.7462554,11649,0.94921875
1637684552.075121,11699,0.94921875
1637684552.9045227,11749,0.96484375
1637684553.6997662,11799,0.953125
1637684554.4684901,11849,0.97265625
1637684555.2528887,11899,0.94921875
1637684556.0580425,11949,0.9609375
