Wall time,Step,Value
1637677686.6506412,49,0.6484375
1637677687.3621092,99,0.7578125
1637677688.080289,149,0.70703125
1637677688.8200362,199,0.78125
1637677689.5392163,249,0.859375
1637677690.2722368,299,0.83203125
1637677690.979256,349,0.85546875
1637677691.692842,399,0.89453125
1637677692.4129274,449,0.8828125
1637677693.1268575,499,0.86328125
1637677693.829498,549,0.88671875
1637677694.5630894,599,0.90234375
1637677695.3072538,649,0.92578125
1637677696.0290794,699,0.9453125
1637677696.771543,749,0.9453125
1637677697.485503,799,0.9375
1637677698.2074625,849,0.9609375
1637677698.9271374,899,0.9609375
1637677699.6410737,949,0.953125
1637677700.3636386,999,0.984375
1637677701.082196,1049,0.98046875
1637677701.8171947,1099,0.9609375
1637677702.5151117,1149,0.96875
1637677703.2331893,1199,0.96484375
1637677703.9458573,1249,0.94921875
1637677704.6478555,1299,0.984375
1637677705.3591928,1349,0.96875
1637677706.0858576,1399,0.96484375
1637677706.8657727,1449,0.97265625
1637677709.461099,1499,0.98046875
1637677710.2150068,1549,0.9765625
1637677710.9332213,1599,0.98828125
1637677711.6690412,1649,0.9609375
1637677712.4322107,1699,0.98828125
1637677713.140687,1749,0.984375
1637677713.8503726,1799,0.97265625
1637677714.5617056,1849,0.98828125
1637677715.272775,1899,0.9921875
1637677715.9641807,1949,0.9765625
1637677716.6742637,1999,0.98828125
1637677717.4041817,2049,0.98828125
1637677718.1262288,2099,0.99609375
1637677718.8415585,2149,0.97265625
1637677719.5413623,2199,0.99609375
1637677720.2631507,2249,0.97265625
1637677720.9781404,2299,0.97265625
1637677721.70821,2349,0.98046875
1637677722.4328663,2399,0.97265625
1637677723.1480584,2449,0.96875
1637677723.851055,2499,0.96875
1637677724.5799968,2549,0.98046875
1637677725.2954376,2599,0.96484375
1637677725.9872582,2649,0.98046875
1637677726.699995,2699,0.96484375
1637677727.407821,2749,0.98046875
1637677728.134168,2799,0.98046875
1637677728.8456752,2849,0.9609375
1637677729.5524116,2899,0.96875
1637677732.0730972,2949,0.9921875
1637677732.780007,2999,0.97265625
1637677733.4831998,3049,0.9765625
1637677734.185473,3099,0.953125
1637677734.870024,3149,0.98046875
1637677735.6073632,3199,0.9765625
1637677736.3236594,3249,0.97265625
1637677737.0399408,3299,0.97265625
1637677737.768643,3349,0.97265625
1637677738.4917767,3399,0.953125
1637677739.1915257,3449,0.9453125
