Wall time,Step,Value
1635819211.8443117,49,0.96875
1635819212.7249656,99,0.9453125
1635819213.6214972,149,0.9921875
1635819214.5083537,199,0.9609375
1635819215.4247627,249,0.96875
1635819216.318982,299,0.9765625
1635819217.206839,349,0.96875
1635819218.092492,399,0.984375
1635819219.0322945,449,0.9921875
1635819219.9673939,499,1.0
1635819220.8513067,549,0.984375
1635819221.738403,599,0.9609375
1635819222.6028621,649,0.96875
1635819223.479954,699,0.9921875
1635819224.3599646,749,0.9921875
1635819225.2635944,799,0.984375
1635819226.1553185,849,0.984375
1635819227.0460894,899,0.9765625
1635819227.9559586,949,1.0
1635819228.864178,999,0.984375
1635819229.7565448,1049,0.984375
1635819230.660007,1099,0.984375
1635819231.5645359,1149,0.9921875
1635819232.4567368,1199,0.96875
1635819233.3574321,1249,0.9921875
1635819234.2408323,1299,0.9609375
1635819235.144873,1349,0.984375
1635819236.0388925,1399,0.96875
1635819236.9255404,1449,0.9765625
1635819240.1467638,1499,1.0
1635819241.0366452,1549,0.9921875
1635819241.9308364,1599,0.9765625
1635819242.8159091,1649,0.9921875
1635819243.7164896,1699,0.96875
1635819244.602138,1749,0.9921875
1635819245.4874418,1799,0.9765625
1635819246.3937669,1849,0.984375
1635819247.2870734,1899,0.9921875
1635819248.1827,1949,0.9765625
1635819249.0934763,1999,0.9921875
1635819249.9999194,2049,0.96875
1635819250.91949,2099,0.9609375
1635819251.8100939,2149,0.984375
1635819252.6963103,2199,0.9609375
1635819253.59004,2249,0.9921875
1635819254.4693704,2299,0.984375
1635819255.3692527,2349,0.9609375
1635819256.245707,2399,0.9375
1635819257.1283777,2449,0.9921875
1635819258.0166378,2499,0.984375
1635819258.894164,2549,0.9375
1635819259.7957575,2599,0.9453125
1635819260.6858466,2649,0.984375
1635819261.5607955,2699,0.984375
1635819262.4412851,2749,0.9375
1635819263.3380933,2799,0.96875
1635819264.2325234,2849,0.96875
1635819265.112163,2899,0.96875
1635819267.848541,2949,0.9765625
1635819268.7685056,2999,0.9609375
1635819269.6723013,3049,0.9765625
1635819270.5804603,3099,0.953125
1635819271.4715266,3149,0.9453125
1635819272.3467119,3199,0.9609375
1635819273.2328136,3249,0.9921875
1635819274.1217587,3299,0.96875
1635819275.0032682,3349,0.96875
1635819275.8994405,3399,0.953125
1635819276.7904105,3449,0.9765625
1635819277.6706216,3499,0.9921875
1635819278.5809288,3549,0.953125
1635819279.4877703,3599,0.9609375
1635819280.3953495,3649,0.953125
1635819281.2859542,3699,0.953125
1635819282.16585,3749,0.9609375
1635819283.0742357,3799,0.9921875
1635819283.9650407,3849,0.96875
1635819284.8608255,3899,0.96875
1635819285.7736802,3949,0.9765625
1635819286.6532266,3999,0.953125
1635819287.5796027,4049,0.9453125
1635819288.479318,4099,0.9609375
1635819289.3967626,4149,0.984375
1635819290.2929742,4199,0.9609375
1635819291.2150798,4249,0.953125
1635819292.1118507,4299,0.96875
1635819292.9945886,4349,0.96875
1635819295.749674,4399,0.96875
1635819296.6317022,4449,0.9765625
1635819297.606419,4499,0.9296875
1635819298.5144866,4549,0.9375
1635819299.5078106,4599,0.96875
1635819300.3886974,4649,0.9453125
1635819301.2753048,4699,0.953125
1635819302.159599,4749,0.953125
1635819303.0613616,4799,0.9609375
1635819303.9595704,4849,0.9296875
1635819304.8432913,4899,0.984375
1635819305.7338123,4949,0.9140625
1635819306.6304061,4999,0.953125
1635819307.544701,5049,0.9453125
1635819308.4869478,5099,0.9375
1635819309.44061,5149,0.9453125
1635819310.3058937,5199,0.9765625
1635819311.1860218,5249,0.96875
1635819312.0615292,5299,0.9609375
1635819312.9405375,5349,0.96875
1635819313.8367329,5399,0.953125
1635819314.7322319,5449,0.9375
1635819315.6438954,5499,0.9453125
1635819316.6053615,5549,0.984375
1635819317.5361211,5599,0.9609375
1635819318.4283032,5649,0.9453125
1635819319.3204072,5699,0.9609375
1635819320.225481,5749,0.9609375
1635819321.1227713,5799,0.921875
1635819323.877494,5849,0.9765625
1635819324.7687051,5899,0.9140625
1635819325.6476848,5949,0.9375
1635819326.5685093,5999,0.9375
1635819327.465744,6049,0.9765625
1635819328.3585844,6099,0.9296875
1635819329.258137,6149,0.9375
1635819330.146215,6199,0.9296875
1635819331.0317707,6249,0.9453125
1635819331.9535737,6299,0.9375
1635819332.8602893,6349,0.9453125
1635819333.7760968,6399,0.9765625
1635819334.6535492,6449,0.96875
1635819335.5489366,6499,0.9453125
1635819336.4347324,6549,0.9453125
1635819337.3223705,6599,0.921875
1635819338.2122111,6649,0.953125
1635819339.116777,6699,0.96875
1635819340.0137496,6749,0.96875
1635819340.8974879,6799,0.9609375
1635819341.7816672,6849,0.9140625
1635819342.6910195,6899,0.9140625
1635819343.571577,6949,0.9296875
1635819344.4726753,6999,0.9609375
1635819345.346504,7049,0.921875
1635819346.2267275,7099,0.9296875
1635819347.1425867,7149,0.9296875
1635819348.0202546,7199,0.9453125
1635819348.9292514,7249,0.9453125
1635819351.7066963,7299,1.0
1635819352.5906,7349,0.9609375
1635819353.478106,7399,0.9765625
1635819354.3707554,7449,0.9765625
1635819355.2513094,7499,0.96875
1635819356.1275103,7549,0.9609375
1635819357.017513,7599,0.9296875
1635819357.9113748,7649,0.90625
1635819358.8045902,7699,0.96875
1635819359.6984243,7749,0.9453125
1635819360.5948224,7799,0.921875
1635819361.475162,7849,0.9296875
1635819362.3731005,7899,0.953125
1635819363.274891,7949,0.9609375
1635819364.1606166,7999,0.96875
1635819365.057593,8049,0.953125
1635819365.9351273,8099,0.9453125
1635819366.8270352,8149,0.9140625
1635819367.7100706,8199,0.9453125
1635819368.602208,8249,0.953125
1635819369.5023654,8299,0.953125
1635819370.395547,8349,0.9609375
1635819371.2908738,8399,0.9453125
1635819372.1948695,8449,0.984375
1635819373.08595,8499,0.9453125
1635819374.023802,8549,0.9296875
1635819374.9307497,8599,0.9453125
1635819375.8281295,8649,0.96875
1635819376.7279189,8699,0.96875
