Wall time,Step,Value
1636494299,49,0.359375
1636494300,99,0.4453125
1636494300,149,0.5625
1636494301,199,0.61328125
1636494302,249,0.64453125
1636494302,299,0.6796875
1636494304,349,0.71875
1636494304,399,0.73046875
1636494305,449,0.7265625
1636494306,499,0.7265625
1636494306,549,0.80078125
1636494307,599,0.75
1636494308,649,0.79296875
1636494309,699,0.8203125
1636494310,749,0.83984375
1636494311,799,0.8515625
1636494311,849,0.80859375
1636494312,899,0.84765625
1636494313,949,0.84375
1636494313,999,0.8359375
1636494315,1049,0.875
1636494316,1099,0.83203125
1636494316,1149,0.84765625
1636494317,1199,0.84375
1636494318,1249,0.8046875
1636494318,1299,0.84765625
1636494319,1349,0.8125
1636494320,1399,0.875
1636494321,1449,0.81640625
1636494322,1499,0.8671875
1636494322,1549,0.8515625
1636494323,1599,0.84765625
1636494324,1649,0.875
1636494324,1699,0.8828125
1636494326,1749,0.875
1636494327,1799,0.89453125
1636494327,1849,0.85546875
1636494328,1899,0.8515625
1636494329,1949,0.8828125
1636494329,1999,0.81640625
1636494330,2049,0.8515625
1636494331,2099,0.875
1636494332,2149,0.88671875
1636494332,2199,0.875
1636494333,2249,0.859375
1636494334,2299,0.859375
1636494334,2349,0.8515625
1636494335,2399,0.87890625
1636494336,2449,0.81640625
1636494337,2499,0.875
1636494337,2549,0.88671875
1636494338,2599,0.890625
1636494339,2649,0.83984375
1636494339,2699,0.828125
1636494340,2749,0.8671875
1636494341,2799,0.87109375
1636494342,2849,0.87109375
1636494343,2899,0.84765625
1636494343,2949,0.828125
1636494344,2999,0.8671875
1636494344,3049,0.85546875
1636494345,3099,0.8515625
1636494346,3149,0.8671875
1636494347,3199,0.8828125
1636494348,3249,0.8515625
1636494348,3299,0.85546875
1636494349,3349,0.87109375
1636494350,3399,0.859375
1636494350,3449,0.8671875
1636494352,3499,0.8671875
1636494352,3549,0.859375
1636494353,3599,0.87890625
1636494354,3649,0.875
1636494354,3699,0.859375
1636494355,3749,0.85546875
1636494355,3799,0.8359375
1636494357,3849,0.88671875
1636494357,3899,0.8515625
1636494358,3949,0.86328125
1636494359,3999,0.890625
1636494359,4049,0.8515625
1636494360,4099,0.87890625
1636494361,4149,0.83984375
1636494362,4199,0.91015625
1636494362,4249,0.8984375
1636494363,4299,0.875
1636494364,4349,0.84765625
1636494364,4399,0.80859375
1636494365,4449,0.8671875
1636494366,4499,0.90234375
1636494367,4549,0.8984375
1636494368,4599,0.91015625
1636494368,4649,0.86328125
1636494369,4699,0.83984375
1636494370,4749,0.85546875
1636494370,4799,0.8828125
1636494371,4849,0.890625
1636494372,4899,0.8828125
1636494373,4949,0.87109375
1636494374,4999,0.84375
1636494374,5049,0.890625
1636494375,5099,0.8671875
1636494376,5149,0.87109375
