Wall time,Step,Value
1636501642.541223,49,0.421875
1636501643.193478,99,0.51953125
1636501643.831132,149,0.54296875
1636501644.4921288,199,0.46875
1636501645.3092992,249,0.578125
1636501645.9520862,299,0.6171875
1636501646.589979,349,0.6328125
1636501647.253132,399,0.5859375
1636501648.9727764,449,0.6484375
1636501649.6157343,499,0.64453125
1636501650.2676215,549,0.7265625
1636501650.9140725,599,0.69921875
1636501651.563055,649,0.7265625
1636501652.213819,699,0.73046875
1636501652.8732362,749,0.75
1636501653.5341036,799,0.74609375
1636501655.1685622,849,0.79296875
1636501655.8432052,899,0.8203125
1636501656.4941602,949,0.796875
1636501657.1458552,999,0.8046875
1636501657.7826722,1049,0.80078125
1636501658.4345632,1099,0.79296875
1636501659.0879564,1149,0.75
1636501659.722921,1199,0.75
1636501661.3818634,1249,0.87109375
1636501662.026939,1299,0.796875
1636501662.6621735,1349,0.79296875
1636501663.2974956,1399,0.828125
1636501663.9383962,1449,0.82421875
1636501664.5834024,1499,0.80859375
1636501665.2230413,1549,0.83984375
1636501665.866336,1599,0.74609375
1636501667.4857378,1649,0.84765625
1636501668.1342492,1699,0.8203125
1636501668.7804832,1749,0.8125
1636501669.4074888,1799,0.8359375
1636501670.0504432,1849,0.828125
1636501670.6836784,1899,0.79296875
1636501671.333761,1949,0.828125
1636501671.9779406,1999,0.8203125
1636501673.177653,2049,0.84765625
1636501673.816401,2099,0.86328125
1636501674.4565291,2149,0.828125
1636501675.0860872,2199,0.8515625
1636501675.721927,2249,0.79296875
1636501676.35215,2299,0.77734375
1636501676.9935904,2349,0.7734375
1636501677.6445422,2399,0.8125
1636501678.8758254,2449,0.8203125
1636501679.5156813,2499,0.80078125
1636501680.1740127,2549,0.82421875
1636501680.7996333,2599,0.77734375
1636501681.4440615,2649,0.828125
1636501682.0905836,2699,0.82421875
1636501682.7252917,2749,0.77734375
1636501683.3678823,2799,0.7890625
1636501684.662268,2849,0.83203125
1636501685.3130648,2899,0.8046875
1636501685.9591718,2949,0.76953125
1636501686.6087139,2999,0.84375
1636501687.2433424,3049,0.828125
1636501687.8966973,3099,0.859375
1636501688.5499287,3149,0.80078125
1636501689.1922572,3199,0.82421875
1636501690.4056714,3249,0.83203125
1636501691.0421836,3299,0.80078125
1636501691.6781578,3349,0.80078125
1636501692.3139083,3399,0.83203125
1636501692.9576342,3449,0.77734375
1636501693.5971653,3499,0.796875
1636501694.2416303,3549,0.8046875
1636501694.8588364,3599,0.76953125
1636501696.0667634,3649,0.87109375
1636501696.7143295,3699,0.83203125
1636501697.3606791,3749,0.8046875
1636501698.0076728,3799,0.81640625
1636501698.6616013,3849,0.80859375
1636501699.29654,3899,0.75390625
1636501699.914405,3949,0.828125
1636501700.56024,3999,0.80859375
1636501701.2252495,4049,0.7636363506317139
1636501702.4162855,4099,0.8515625
1636501703.054801,4149,0.83203125
1636501703.6919231,4199,0.796875
1636501704.3372228,4249,0.79296875
1636501704.9802396,4299,0.81640625
1636501705.6165166,4349,0.74609375
1636501706.2560353,4399,0.796875
1636501706.8925352,4449,0.84375
1636501708.11283,4499,0.8125
1636501708.764148,4549,0.78125
1636501709.396722,4599,0.8359375
1636501710.036678,4649,0.7890625
1636501710.6873083,4699,0.8046875
1636501711.332043,4749,0.8125
1636501711.973752,4799,0.77734375
1636501712.5980754,4849,0.796875
1636501713.836243,4899,0.84375
1636501714.50412,4949,0.80859375
1636501715.1586492,4999,0.7890625
1636501715.8123958,5049,0.7890625
1636501716.4533896,5099,0.765625
1636501717.1026604,5149,0.76953125
1636501717.8255951,5199,0.78125
1636501718.4710352,5249,0.80859375
1636501719.7177823,5299,0.8515625
1636501720.376355,5349,0.859375
1636501721.0880947,5399,0.796875
1636501721.7458425,5449,0.80078125
1636501722.3996048,5499,0.79296875
1636501723.057899,5549,0.78515625
1636501723.7084863,5599,0.81640625
1636501724.431286,5649,0.75
