Wall time,Step,Value
1636494628,49,0.3046875
1636494629,99,0.41796875
1636494630,149,0.44921875
1636494630,199,0.46484375
1636494631,249,0.4453125
1636494632,299,0.47265625
1636494633,349,0.54296875
1636494634,399,0.578125
1636494635,449,0.625
1636494635,499,0.625
1636494636,549,0.57421875
1636494637,599,0.640625
1636494637,649,0.66796875
1636494639,699,0.671875
1636494639,749,0.67578125
1636494640,799,0.64453125
1636494641,849,0.69140625
1636494641,899,0.73046875
1636494642,949,0.6796875
1636494643,999,0.765625
1636494644,1049,0.78125
1636494645,1099,0.7421875
1636494646,1149,0.76953125
1636494646,1199,0.7734375
1636494647,1249,0.7578125
1636494647,1299,0.76953125
1636494648,1349,0.77734375
1636494650,1399,0.8046875
1636494650,1449,0.82421875
1636494651,1499,0.7421875
1636494652,1549,0.8046875
1636494652,1599,0.7265625
1636494653,1649,0.77734375
1636494654,1699,0.73828125
1636494655,1749,0.828125
1636494656,1799,0.83984375
1636494656,1849,0.80859375
1636494657,1899,0.7421875
1636494658,1949,0.72265625
1636494658,1999,0.76171875
1636494659,2049,0.78125
1636494660,2099,0.7578125
1636494661,2149,0.7890625
1636494662,2199,0.78515625
1636494662,2249,0.76171875
1636494663,2299,0.7734375
1636494664,2349,0.78125
1636494664,2399,0.703125
1636494665,2449,0.75
1636494666,2499,0.796875
1636494667,2549,0.7265625
1636494667,2599,0.75390625
1636494668,2649,0.7890625
1636494669,2699,0.7890625
1636494670,2749,0.76171875
1636494670,2799,0.82421875
1636494671,2849,0.765625
1636494672,2899,0.7578125
1636494672,2949,0.77734375
1636494673,2999,0.73046875
1636494674,3049,0.75
1636494675,3099,0.7890625
1636494676,3149,0.76171875
1636494676,3199,0.73828125
1636494677,3249,0.8125
1636494678,3299,0.77734375
1636494678,3349,0.68359375
1636494679,3399,0.80078125
1636494680,3449,0.84765625
1636494681,3499,0.71875
1636494681,3549,0.76953125
1636494682,3599,0.73828125
1636494683,3649,0.75390625
1636494683,3699,0.80078125
1636494684,3749,0.75
1636494685,3799,0.7890625
1636494686,3849,0.70703125
1636494687,3899,0.765625
1636494687,3949,0.76953125
1636494688,3999,0.7578125
1636494689,4049,0.74609375
1636494689,4099,0.81640625
1636494690,4149,0.82421875
1636494691,4199,0.7578125
1636494692,4249,0.81640625
1636494692,4299,0.7890625
1636494693,4349,0.8125
1636494694,4399,0.73828125
1636494694,4449,0.765625
1636494695,4499,0.8046875
1636494696,4549,0.8203125
1636494697,4599,0.7734375
1636494697,4649,0.77734375
1636494698,4699,0.78515625
1636494699,4749,0.76171875
1636494699,4799,0.74609375
1636494701,4849,0.8203125
1636494701,4899,0.82421875
1636494702,4949,0.76953125
1636494703,4999,0.734375
1636494703,5049,0.76953125
1636494704,5099,0.76953125
