Wall time,Step,Value
1636500803.1330354,49,0.5078125
1636500803.764817,99,0.5546875
1636500804.395363,149,0.6015625
1636500805.028823,199,0.57421875
1636500805.6648376,249,0.60546875
1636500806.317978,299,0.7109375
1636500806.9559147,349,0.703125
1636500807.6026661,399,0.72265625
1636500808.254023,449,0.7265625
1636500809.9807942,499,0.81640625
1636500810.621224,549,0.78125
1636500811.2462885,599,0.79296875
1636500811.8746839,649,0.77734375
1636500812.5239697,699,0.77734375
1636500813.1539161,749,0.83984375
1636500813.788616,799,0.8203125
1636500814.4341846,849,0.828125
1636500815.0697124,899,0.8046875
1636500815.7140453,949,0.80859375
1636500817.4577398,999,0.86328125
1636500818.1042588,1049,0.828125
1636500818.738551,1099,0.83203125
1636500819.3828654,1149,0.8515625
1636500820.0295036,1199,0.859375
1636500820.6719873,1249,0.84375
1636500821.3186917,1299,0.875
1636500821.9565382,1349,0.84375
1636500822.603315,1399,0.84765625
1636500824.2862399,1449,0.87109375
1636500824.9353068,1499,0.859375
1636500825.5689027,1549,0.84765625
1636500826.2161827,1599,0.8515625
1636500826.8501391,1649,0.86328125
1636500827.4794834,1699,0.8359375
1636500828.1109421,1749,0.87109375
1636500828.7472446,1799,0.8515625
1636500829.3819938,1849,0.84375
1636500830.023265,1899,0.8359375
1636500831.2687402,1949,0.921875
1636500831.921171,1999,0.8828125
1636500832.5567386,2049,0.86328125
1636500833.1990733,2099,0.84765625
1636500833.8319864,2149,0.859375
1636500834.4703987,2199,0.81640625
1636500835.1050987,2249,0.8203125
1636500835.754386,2299,0.84765625
1636500836.37686,2349,0.859375
1636500837.622792,2399,0.8359375
1636500838.2696133,2449,0.83203125
1636500838.9002945,2499,0.8984375
1636500839.5459018,2549,0.890625
1636500840.1927867,2599,0.828125
1636500840.829368,2649,0.8203125
1636500841.4711273,2699,0.8828125
1636500842.1294007,2749,0.84375
1636500842.840965,2799,0.83984375
1636500843.4948208,2849,0.80078125
1636500844.7555451,2899,0.85546875
1636500845.4558558,2949,0.89453125
1636500846.0850732,2999,0.8828125
1636500846.720386,3049,0.87890625
1636500847.379807,3099,0.83203125
1636500848.021117,3149,0.86328125
1636500848.656041,3199,0.8359375
1636500849.3771043,3249,0.80859375
1636500850.0350006,3299,0.83984375
1636500851.28442,3349,0.83203125
1636500851.9100025,3399,0.8203125
1636500852.5472677,3449,0.86328125
1636500853.1868289,3499,0.8359375
1636500853.8284087,3549,0.8671875
1636500854.493521,3599,0.86328125
1636500855.1450908,3649,0.80859375
1636500855.7822437,3699,0.85546875
1636500856.4455957,3749,0.828125
1636500857.0800793,3799,0.85546875
1636500858.3325303,3849,0.88671875
1636500858.9707193,3899,0.859375
1636500859.616808,3949,0.82421875
1636500860.2589438,3999,0.8359375
1636500860.9015946,4049,0.828125
1636500861.538951,4099,0.85546875
1636500862.1857526,4149,0.8515625
1636500862.8271933,4199,0.85546875
1636500863.4683657,4249,0.80078125
1636500864.7192972,4299,0.82421875
1636500865.3550868,4349,0.87109375
1636500865.9738557,4399,0.859375
1636500866.611682,4449,0.83984375
1636500867.2605636,4499,0.8515625
1636500867.9041746,4549,0.8515625
1636500868.5454154,4599,0.8515625
1636500869.1814048,4649,0.86328125
1636500869.8185048,4699,0.84375
1636500870.4610279,4749,0.828125
1636500871.699504,4799,0.8046875
1636500872.3507028,4849,0.8203125
1636500873.0012183,4899,0.8515625
1636500873.6420145,4949,0.859375
1636500874.2889044,4999,0.859375
1636500874.9241052,5049,0.875
1636500875.5818636,5099,0.87109375
1636500876.2227697,5149,0.86328125
1636500876.8559036,5199,0.8203125
1636500878.1258354,5249,0.8125
1636500878.7561498,5299,0.86328125
1636500879.373651,5349,0.83203125
1636500880.0252426,5399,0.87109375
1636500880.6561763,5449,0.8359375
1636500881.301315,5499,0.84765625
1636500881.943257,5549,0.828125
1636500882.5887172,5599,0.83203125
1636500883.2257173,5649,0.86328125
1636500883.858908,5699,0.86328125
1636500885.1252487,5749,0.83984375
1636500885.7600882,5799,0.87109375
1636500886.406673,5849,0.875
1636500887.0517466,5899,0.84765625
1636500887.709822,5949,0.8125
1636500888.3567028,5999,0.84765625
1636500889.0119689,6049,0.85546875
1636500889.6731129,6099,0.8125
1636500890.3316844,6149,0.82421875
