Wall time,Step,Value
1636416194.941932,49,0.59765625
1636416195.619319,99,0.66796875
1636416196.472841,149,0.70703125
1636416197.1617296,199,0.6796875
1636416197.831948,249,0.73828125
1636416198.5045822,299,0.80078125
1636416199.1926618,349,0.79296875
1636416199.8613126,399,0.79296875
1636416201.588923,449,0.81640625
1636416202.2834666,499,0.87109375
1636416202.952431,549,0.859375
1636416203.618168,599,0.87109375
1636416204.2828386,649,0.8515625
1636416204.956369,699,0.84765625
1636416205.6362624,749,0.88671875
1636416206.306956,799,0.875
1636416207.9964542,849,0.91015625
1636416208.6754699,899,0.90234375
1636416209.345723,949,0.90234375
1636416210.020626,999,0.91015625
1636416210.7081873,1049,0.9140625
1636416211.3836882,1099,0.890625
1636416212.0564291,1149,0.9140625
1636416212.7349122,1199,0.93359375
1636416213.407798,1249,0.87109375
1636416215.0729332,1299,0.92578125
1636416215.740921,1349,0.9453125
1636416216.4072094,1399,0.90234375
1636416217.0822072,1449,0.9296875
1636416217.7538307,1499,0.9375
1636416218.4230657,1549,0.94140625
1636416219.095656,1599,0.87890625
1636416219.7650237,1649,0.90234375
1636416221.4983344,1699,0.953125
1636416222.180212,1749,0.95703125
1636416222.8530111,1799,0.921875
1636416223.5237467,1849,0.87890625
1636416224.2050657,1899,0.91796875
1636416224.888371,1949,0.89453125
1636416225.5654957,1999,0.9296875
1636416226.2762809,2049,0.87890625
1636416226.95229,2099,0.890625
1636416228.2601285,2149,0.90234375
1636416228.9497428,2199,0.90234375
1636416229.639251,2249,0.890625
1636416230.3400815,2299,0.921875
1636416231.0140536,2349,0.90234375
1636416231.705603,2399,0.921875
1636416232.4061635,2449,0.890625
1636416233.0974154,2499,0.86328125
1636416234.4237342,2549,0.9296875
1636416235.1018574,2599,0.91015625
1636416235.783043,2649,0.90625
1636416236.4539068,2699,0.890625
1636416237.1315796,2749,0.87890625
1636416237.818134,2799,0.92578125
1636416238.4985175,2849,0.8671875
1636416239.183862,2899,0.9140625
1636416239.8704827,2949,0.88671875
1636416241.200417,2999,0.91796875
1636416241.8879437,3049,0.921875
1636416242.5730898,3099,0.90234375
1636416243.2627468,3149,0.88671875
1636416243.9393485,3199,0.89453125
1636416244.6223671,3249,0.87109375
1636416245.30075,3299,0.84375
1636416245.9760337,3349,0.8671875
1636416247.2924447,3399,0.90625
1636416247.9754498,3449,0.94140625
1636416248.6448178,3499,0.9296875
1636416249.3349586,3549,0.89453125
1636416250.008014,3599,0.9296875
1636416250.6848752,3649,0.890625
1636416251.3656375,3699,0.859375
1636416252.039256,3749,0.88671875
1636416253.3495767,3799,0.91796875
1636416254.0290804,3849,0.89453125
1636416254.7029834,3899,0.875
1636416255.3856735,3949,0.87109375
1636416256.0534956,3999,0.92578125
1636416256.7345734,4049,0.828125
1636416257.4140842,4099,0.87890625
1636416258.099272,4149,0.89453125
1636416258.7834249,4199,0.88671875
1636416260.088966,4249,0.88671875
1636416260.7651598,4299,0.9140625
1636416261.4423094,4349,0.89453125
1636416262.1195796,4399,0.92578125
1636416262.7949119,4449,0.890625
1636416263.4810336,4499,0.9140625
1636416264.151416,4549,0.8671875
1636416264.8179765,4599,0.890625
1636416266.1056635,4649,0.91015625
1636416266.7794297,4699,0.8984375
1636416267.4614098,4749,0.875
1636416268.1415925,4799,0.8984375
1636416268.82148,4849,0.9296875
1636416269.4924085,4899,0.91796875
1636416270.1634128,4949,0.89453125
1636416270.8575866,4999,0.8359375
1636416271.610253,5049,0.92578125
1636416272.9432232,5099,0.87890625
1636416273.622798,5149,0.87109375
1636416274.3028731,5199,0.9296875
1636416274.983896,5249,0.90234375
1636416275.685948,5299,0.8828125
1636416276.438196,5349,0.92578125
1636416277.118659,5399,0.88671875
1636416277.7904618,5449,0.87890625
1636416279.112404,5499,0.91796875
1636416279.8366652,5549,0.8828125
1636416280.5707874,5599,0.85546875
1636416281.2495894,5649,0.921875
1636416281.9376347,5699,0.89453125
1636416282.6187472,5749,0.90625
1636416283.2954588,5799,0.90625
1636416284.0327513,5849,0.8984375
1636416284.7113478,5899,0.86328125
