Wall time,Step,Value
1636500303.7749665,49,0.62890625
1636500304.4832196,99,0.69140625
1636500305.1197286,149,0.8046875
1636500305.7656064,199,0.796875
1636500306.3958843,249,0.8203125
1636500307.0284882,299,0.8125
1636500307.6670692,349,0.83203125
1636500308.3019428,399,0.84765625
1636500309.9318213,449,0.8203125
1636500310.5686169,499,0.890625
1636500311.210248,549,0.87890625
1636500311.843209,599,0.9140625
1636500312.473186,649,0.94140625
1636500313.1095562,699,0.91015625
1636500313.7653565,749,0.91015625
1636500314.4112318,799,0.9296875
1636500315.0497293,849,0.921875
1636500316.6928072,899,0.93359375
1636500317.3261654,949,0.9140625
1636500317.955916,999,0.9296875
1636500318.5955842,1049,0.89453125
1636500319.2348623,1099,0.93359375
1636500319.8644435,1149,0.93359375
1636500320.497177,1199,0.92578125
1636500321.1291518,1249,0.97265625
1636500321.767141,1299,0.90234375
1636500323.4247136,1349,0.94140625
1636500324.048357,1399,0.921875
1636500324.6857939,1449,0.95703125
1636500325.3050368,1499,0.9140625
1636500325.958928,1549,0.9453125
1636500326.6046078,1599,0.90234375
1636500327.2478673,1649,0.9453125
1636500327.876204,1699,0.90625
1636500328.504887,1749,0.921875
1636500330.2550287,1799,0.9453125
1636500330.8841772,1849,0.94921875
1636500331.5318458,1899,0.91796875
1636500332.1748037,1949,0.9375
1636500332.8138442,1999,0.9375
1636500333.4602432,2049,0.92578125
1636500334.1239476,2099,0.953125
1636500334.7785106,2149,0.88671875
1636500336.0149379,2199,0.9453125
1636500336.646135,2249,0.93359375
1636500337.2873025,2299,0.94921875
1636500337.9333088,2349,0.9296875
1636500338.562715,2399,0.92578125
1636500339.2080042,2449,0.92578125
1636500339.8339968,2499,0.9140625
1636500340.4697084,2549,0.93359375
1636500341.1030307,2599,0.9296875
1636500342.2931075,2649,0.96484375
1636500342.9210308,2699,0.921875
1636500343.5481153,2749,0.953125
1636500344.1811862,2799,0.9453125
1636500344.813293,2849,0.91796875
1636500345.4498255,2899,0.91796875
1636500346.0953894,2949,0.9296875
1636500346.7347026,2999,0.9296875
1636500347.37538,3049,0.93359375
1636500348.5919366,3099,0.92578125
1636500349.2223825,3149,0.953125
1636500349.8707116,3199,0.9375
1636500350.5059855,3249,0.9375
1636500351.1461055,3299,0.9296875
1636500351.7949905,3349,0.90234375
1636500352.4189143,3399,0.9140625
1636500353.0647273,3449,0.9296875
1636500353.694766,3499,0.94921875
1636500354.8952286,3549,0.93359375
1636500355.5386395,3599,0.93359375
1636500356.16014,3649,0.921875
1636500356.798784,3699,0.8828125
1636500357.4457715,3749,0.89453125
1636500358.0812669,3799,0.93359375
1636500358.7124178,3849,0.94921875
1636500359.3612509,3899,0.86328125
1636500359.9939332,3949,0.88671875
1636500361.2083023,3999,0.92578125
1636500361.8586657,4049,0.93359375
1636500362.5081277,4099,0.94140625
1636500363.1615834,4149,0.91015625
1636500363.8165412,4199,0.91796875
1636500364.4622772,4249,0.94140625
1636500365.1016126,4299,0.921875
1636500365.741086,4349,0.90625
1636500367.0073757,4399,0.9375
1636500367.6767714,4449,0.91015625
1636500368.3287227,4499,0.890625
1636500368.9644663,4549,0.91015625
1636500369.5868037,4599,0.94140625
1636500370.2272968,4649,0.90234375
1636500370.8620565,4699,0.95703125
1636500371.4988797,4749,0.9296875
1636500372.1497447,4799,0.93359375
1636500373.4190428,4849,0.92578125
1636500374.0736217,4899,0.91796875
1636500374.7156465,4949,0.9375
1636500375.3576114,4999,0.95703125
1636500376.0887122,5049,0.921875
1636500376.7247179,5099,0.921875
1636500377.3562443,5149,0.91796875
1636500377.9823399,5199,0.9375
1636500378.612368,5249,0.9296875
1636500379.9447718,5299,0.9296875
1636500380.660454,5349,0.94140625
1636500381.361963,5399,0.94921875
1636500381.9961946,5449,0.9453125
1636500382.6264222,5499,0.9140625
1636500383.2686484,5549,0.91015625
1636500383.9132307,5599,0.9296875
1636500384.5639672,5649,0.93359375
1636500385.191678,5699,0.953125
1636500386.4209855,5749,0.94921875
1636500387.0417078,5799,0.9296875
1636500387.6709292,5849,0.95703125
1636500388.297872,5899,0.9140625
1636500388.9241707,5949,0.94921875
1636500389.5531037,5999,0.9296875
1636500390.192067,6049,0.9453125
1636500390.8209147,6099,0.953125
