Wall time,Step,Value
1636502343.3897996,49,0.765625
1636502344.0443318,99,0.76171875
1636502344.6736627,149,0.8359375
1636502345.3266294,199,0.84765625
1636502345.9697983,249,0.84375
1636502346.612622,299,0.8671875
1636502348.2610273,349,0.90234375
1636502348.9018052,399,0.890625
1636502349.5487278,449,0.9140625
1636502350.1819992,499,0.9140625
1636502350.821654,549,0.921875
1636502351.473903,599,0.9296875
1636502352.1139722,649,0.9375
1636502353.7685351,699,0.95703125
1636502354.4085424,749,0.95703125
1636502355.0496733,799,0.9375
1636502355.6678395,849,0.96484375
1636502356.3159308,899,0.92578125
1636502356.9501112,949,0.9296875
1636502357.579695,999,0.9140625
1636502358.786795,1049,0.9375
1636502359.4391217,1099,0.9296875
1636502360.07075,1149,0.93359375
1636502360.7236001,1199,0.93359375
1636502361.3861303,1249,0.92578125
1636502362.0258718,1299,0.8984375
1636502362.6521375,1349,0.91796875
1636502363.8274615,1399,0.921875
1636502364.4655714,1449,0.9375
1636502365.1017475,1499,0.90625
1636502365.7577252,1549,0.90625
1636502366.3896918,1599,0.89453125
1636502367.0052805,1649,0.8984375
1636502367.6363232,1699,0.84765625
1636502368.799027,1749,0.94921875
1636502369.442291,1799,0.91796875
1636502370.0974438,1849,0.87890625
1636502370.7393777,1899,0.91015625
1636502371.3848147,1949,0.87109375
1636502372.0321758,1999,0.890625
1636502372.6637778,2049,0.85546875
1636502373.8483257,2099,0.921875
1636502374.5168958,2149,0.890625
1636502375.169124,2199,0.859375
1636502375.80135,2249,0.90625
1636502376.4512722,2299,0.87109375
1636502377.066472,2349,0.87890625
1636502377.7049618,2399,0.85546875
