Wall time,Step,Value
1636494876,49,0.67578125
1636494876,99,0.703125
1636494877,149,0.78125
1636494878,199,0.7578125
1636494878,249,0.79296875
1636494879,299,0.82421875
1636494881,349,0.8515625
1636494881,399,0.87890625
1636494882,449,0.8828125
1636494883,499,0.8828125
1636494883,549,0.8984375
1636494884,599,0.86328125
1636494885,649,0.91015625
1636494886,699,0.9453125
1636494887,749,0.921875
1636494888,799,0.90234375
1636494888,849,0.94140625
1636494889,899,0.89453125
1636494890,949,0.9140625
1636494890,999,0.921875
1636494892,1049,0.91015625
1636494893,1099,0.953125
1636494893,1149,0.94140625
1636494894,1199,0.90234375
1636494895,1249,0.9140625
1636494895,1299,0.890625
1636494896,1349,0.9140625
1636494897,1399,0.93359375
1636494898,1449,0.94921875
1636494899,1499,0.88671875
1636494899,1549,0.91015625
1636494900,1599,0.89453125
1636494900,1649,0.8984375
1636494901,1699,0.8828125
1636494902,1749,0.9140625
1636494903,1799,0.91796875
1636494904,1849,0.9140625
1636494904,1899,0.87890625
1636494905,1949,0.90625
1636494906,1999,0.83203125
1636494906,2049,0.91796875
1636494907,2099,0.9140625
1636494908,2149,0.9140625
1636494909,2199,0.92578125
1636494909,2249,0.890625
1636494910,2299,0.87890625
1636494911,2349,0.87109375
1636494912,2399,0.8984375
1636494913,2449,0.87890625
1636494913,2499,0.9296875
1636494914,2549,0.85546875
1636494915,2599,0.90234375
1636494915,2649,0.875
1636494916,2699,0.85546875
1636494917,2749,0.87890625
