Wall time,Step,Value
1636501234.5267875,49,0.79296875
1636501235.1505156,99,0.83203125
1636501235.7839098,149,0.8828125
1636501236.4115667,199,0.87890625
1636501237.0424054,249,0.89453125
1636501237.6742241,299,0.921875
1636501239.228264,349,0.921875
1636501239.8529394,399,0.94921875
1636501240.4804938,449,0.953125
1636501241.106934,499,0.921875
1636501241.7429967,549,0.93359375
1636501242.3660378,599,0.921875
1636501242.982412,649,0.94140625
1636501244.5001574,699,0.96875
1636501245.1515136,749,0.94140625
1636501245.7745574,799,0.9296875
1636501246.3953145,849,0.92578125
1636501247.02042,899,0.9296875
1636501247.6449106,949,0.92578125
1636501248.2964506,999,0.921875
1636501249.4362488,1049,0.93359375
1636501250.0805836,1099,0.9296875
1636501250.7287557,1149,0.9453125
1636501251.3883162,1199,0.91796875
1636501252.0461943,1249,0.89453125
1636501252.6829925,1299,0.890625
1636501253.318174,1349,0.8984375
1636501254.5063248,1399,0.9375
1636501255.120429,1449,0.94921875
1636501255.754299,1499,0.9140625
1636501256.385767,1549,0.890625
1636501257.0196495,1599,0.88671875
1636501257.6660388,1649,0.85546875
1636501258.314019,1699,0.90234375
1636501259.4904008,1749,0.9296875
1636501260.1190755,1799,0.90625
1636501260.742725,1849,0.8828125
1636501261.3727527,1899,0.8671875
1636501262.0053914,1949,0.88671875
1636501262.6380043,1999,0.8984375
1636501263.2755623,2049,0.9140625
1636501264.4842024,2099,0.875
1636501265.1191783,2149,0.8984375
1636501265.763781,2199,0.875
1636501266.4041657,2249,0.875
1636501267.030287,2299,0.8671875
1636501267.6634367,2349,0.91015625
1636501268.29976,2399,0.8984375
