Wall time,Step,Value
1636416536.7785852,49,0.73828125
1636416537.4641075,99,0.83203125
1636416538.1689513,149,0.8359375
1636416538.8482647,199,0.875
1636416539.5184364,249,0.90234375
1636416540.2025175,299,0.89453125
1636416540.8902287,349,0.90625
1636416541.5753703,399,0.921875
1636416542.2697136,449,0.9140625
1636416542.9518397,499,0.8984375
1636416544.7465866,549,0.9453125
1636416545.447681,599,0.9609375
1636416546.142594,649,0.9765625
1636416546.8272655,699,0.94140625
1636416547.5033917,749,0.98046875
1636416548.1937454,799,0.92578125
1636416548.8770328,849,0.9453125
1636416549.561051,899,0.9453125
1636416550.2485456,949,0.96484375
1636416550.9438202,999,0.921875
1636416551.6379197,1049,0.95703125
1636416553.467583,1099,0.98046875
1636416554.1463432,1149,0.96875
1636416554.8330057,1199,0.98046875
1636416555.5111852,1249,0.96875
1636416556.1760206,1299,0.94921875
1636416556.8432307,1349,0.96484375
1636416557.522462,1399,0.96875
1636416558.2169027,1449,0.96484375
1636416558.8917923,1499,0.9375
1636416559.5825126,1549,0.95703125
1636416560.2549727,1599,0.94921875
1636416561.6642697,1649,0.96875
1636416562.324848,1699,0.95703125
1636416562.9973063,1749,0.94921875
1636416563.6855106,1799,0.9609375
1636416564.355981,1849,0.93359375
1636416565.030351,1899,0.9375
1636416565.700073,1949,0.91796875
1636416566.3764894,1999,0.94140625
1636416567.057874,2049,0.9453125
1636416567.7343116,2099,0.9296875
1636416568.421391,2149,0.94140625
1636416569.8439176,2199,0.921875
1636416570.518914,2249,0.9453125
1636416571.2057436,2299,0.97265625
1636416571.883787,2349,0.9296875
1636416572.5785508,2399,0.9453125
1636416573.2469366,2449,0.91796875
1636416573.9244375,2499,0.91015625
1636416574.6171973,2549,0.9140625
1636416575.3000596,2599,0.921875
1636416575.9940183,2649,0.9140625
1636416576.6697834,2699,0.921875
1636416578.119207,2749,0.90234375
1636416578.7938194,2799,0.953125
1636416579.4721243,2849,0.921875
1636416580.15144,2899,0.95703125
1636416580.8486938,2949,0.921875
1636416581.5241265,2999,0.9140625
1636416582.2020936,3049,0.92578125
1636416582.8777754,3099,0.9375
1636416583.5675104,3149,0.9140625
1636416584.2529159,3199,0.89453125
1636416584.938263,3249,0.8828125
1636416586.3697069,3299,0.90625
1636416587.0692453,3349,0.9296875
1636416587.75432,3399,0.91796875
1636416588.4280732,3449,0.90234375
1636416589.122055,3499,0.8984375
1636416589.8030105,3549,0.87109375
1636416590.4722004,3599,0.89453125
1636416591.1602857,3649,0.87890625
1636416591.8404398,3699,0.9140625
1636416592.5288286,3749,0.91015625
1636416593.2201035,3799,0.875
