Wall time,Step,Value
1636500571.2605178,49,0.67578125
1636500571.9011865,99,0.765625
1636500572.5370932,149,0.75390625
1636500573.170959,199,0.8046875
1636500573.7873733,249,0.875
1636500574.4177,299,0.83984375
1636500576.0068634,349,0.921875
1636500576.6551592,399,0.890625
1636500577.308915,449,0.890625
1636500577.9321172,499,0.90234375
1636500578.561115,549,0.91015625
1636500579.1913352,599,0.93359375
1636500579.8271616,649,0.86328125
1636500581.442024,699,0.953125
1636500582.0700762,749,0.97265625
1636500582.7036638,799,0.953125
1636500583.345196,849,0.9140625
1636500583.970175,899,0.93359375
1636500584.5911598,949,0.921875
1636500585.213809,999,0.90234375
1636500586.3728411,1049,0.93359375
1636500587.013509,1099,0.92578125
1636500587.6469808,1149,0.8984375
1636500588.2909896,1199,0.9140625
1636500588.9267144,1249,0.92578125
1636500589.5665607,1299,0.91796875
1636500590.2022965,1349,0.875
1636500591.374556,1399,0.8984375
1636500592.012585,1449,0.921875
1636500592.64904,1499,0.90234375
1636500593.292965,1549,0.87109375
1636500593.9277534,1599,0.91015625
1636500594.5523639,1649,0.9140625
1636500595.20257,1699,0.828125
1636500596.3631482,1749,0.8984375
1636500597.00715,1799,0.9140625
1636500597.628522,1849,0.875
1636500598.2555156,1899,0.88671875
1636500598.873515,1949,0.88671875
1636500599.4985623,1999,0.890625
1636500600.1288455,2049,0.875
1636500601.274104,2099,0.921875
1636500601.9500906,2149,0.89453125
1636500602.6120067,2199,0.89453125
1636500603.2563472,2249,0.88671875
1636500603.8951147,2299,0.8984375
1636500604.5290968,2349,0.84765625
1636500605.192111,2399,0.8515625
