Wall time,Step,Value
1636508448.0864618,49,0.6484375
1636508448.7166226,99,0.65625
1636508449.339415,149,0.765625
1636508449.9556403,199,0.80859375
1636508450.6316676,249,0.79296875
1636508451.292611,299,0.86328125
1636508451.9501412,349,0.8671875
1636508452.5951393,399,0.92578125
1636508454.1765254,449,0.90234375
1636508454.8006454,499,0.91796875
1636508455.4242122,549,0.93359375
1636508456.0798562,599,0.93359375
1636508456.713518,649,0.91015625
1636508457.3649821,699,0.9453125
1636508458.0002406,749,0.94140625
1636508458.6483765,799,0.921875
1636508460.2933323,849,0.9609375
1636508460.9346159,899,0.953125
1636508461.6467557,949,0.94140625
1636508462.287024,999,0.96875
1636508462.9191475,1049,0.953125
1636508463.546554,1099,0.9453125
1636508464.2507515,1149,0.94140625
1636508464.8834202,1199,0.95703125
1636508466.0543866,1249,0.94921875
1636508466.6783843,1299,0.9296875
1636508467.3228083,1349,0.96875
1636508467.947057,1399,0.921875
1636508468.5711732,1449,0.9140625
1636508469.213965,1499,0.93359375
1636508469.8413773,1549,0.9296875
1636508470.4879026,1599,0.91015625
1636508471.685196,1649,0.93359375
1636508472.3220875,1699,0.94140625
1636508472.9635568,1749,0.92578125
1636508473.625655,1799,0.828125
1636508474.2755158,1849,0.90625
1636508474.9400854,1899,0.8828125
1636508475.5677063,1949,0.875
1636508476.210711,1999,0.9140625
1636508477.3908968,2049,0.9140625
1636508478.0422885,2099,0.84375
1636508478.6683795,2149,0.8671875
1636508479.3007517,2199,0.90625
1636508479.9278476,2249,0.82421875
1636508480.5641751,2299,0.8359375
1636508481.185188,2349,0.875
1636508481.8225148,2399,0.87890625
1636508483.028044,2449,0.87109375
1636508483.6841605,2499,0.890625
1636508484.316278,2549,0.84765625
1636508484.9526904,2599,0.8515625
1636508485.5843825,2649,0.84765625
1636508486.2130115,2699,0.87890625
1636508486.837391,2749,0.8203125
1636508487.470673,2799,0.8515625
1636508488.6891253,2849,0.91796875
1636508489.3147373,2899,0.87890625
1636508489.9404826,2949,0.88671875
1636508490.6032596,2999,0.89453125
1636508491.2511547,3049,0.86328125
1636508491.877517,3099,0.8046875
1636508492.5257025,3149,0.828125
1636508493.1440008,3199,0.86328125
1636508494.3645153,3249,0.890625
1636508495.0042133,3299,0.83984375
1636508495.657499,3349,0.84765625
1636508496.2888775,3399,0.8671875
1636508496.9276192,3449,0.84375
1636508497.5661442,3499,0.875
1636508498.2083035,3549,0.83203125
1636508498.8506885,3599,0.87890625
1636508500.0557053,3649,0.84375
1636508500.6900854,3699,0.89453125
1636508501.3237166,3749,0.85546875
1636508501.9605868,3799,0.8671875
1636508502.5889943,3849,0.87890625
1636508503.2299902,3899,0.83984375
1636508503.8628116,3949,0.85546875
1636508504.5345857,3999,0.87890625
1636508505.1944332,4049,0.8606060743331909
1636508506.344245,4099,0.87109375
1636508506.9823046,4149,0.875
1636508507.6110234,4199,0.87890625
1636508508.242605,4249,0.8671875
1636508508.8792465,4299,0.859375
1636508509.504623,4349,0.84375
1636508510.150192,4399,0.86328125
1636508510.7790093,4449,0.8125
1636508511.9591854,4499,0.91796875
1636508512.5962744,4549,0.87890625
1636508513.2279224,4599,0.87890625
1636508513.863606,4649,0.890625
1636508514.5095246,4699,0.91015625
1636508515.1417196,4749,0.8671875
1636508515.77233,4799,0.8828125
1636508516.4334004,4849,0.90625
