Wall time,Step,Value
1636508133.5348482,49,0.58984375
1636508134.1867487,99,0.58203125
1636508134.8120172,149,0.6953125
1636508135.4566257,199,0.62890625
1636508136.096871,249,0.67578125
1636508136.739818,299,0.7265625
1636508138.4801738,349,0.69921875
1636508139.1391518,399,0.703125
1636508139.8009906,449,0.80859375
1636508140.4349818,499,0.796875
1636508141.1284473,549,0.80078125
1636508141.7664015,599,0.76953125
1636508142.4281912,649,0.796875
1636508143.9257245,699,0.80078125
1636508144.5614815,749,0.8515625
1636508145.2016504,799,0.859375
1636508145.836117,849,0.84765625
1636508146.466443,899,0.88671875
1636508147.0891743,949,0.8515625
1636508147.7134855,999,0.88671875
1636508149.2730663,1049,0.9140625
1636508149.9071362,1099,0.921875
1636508150.5393295,1149,0.9140625
1636508151.1654606,1199,0.89453125
1636508151.7870429,1249,0.8984375
1636508152.428059,1299,0.890625
1636508153.0830088,1349,0.890625
1636508154.6869478,1399,0.90234375
1636508155.327412,1449,0.91796875
1636508155.9662333,1499,0.9296875
1636508156.5973742,1549,0.8828125
1636508157.2328067,1599,0.88671875
1636508157.8762672,1649,0.86328125
1636508158.513122,1699,0.90234375
1636508159.680746,1749,0.9296875
1636508160.3234937,1799,0.90234375
1636508160.9609964,1849,0.9140625
1636508161.5812714,1899,0.9375
1636508162.2149298,1949,0.83984375
1636508162.845514,1999,0.859375
1636508163.4629421,2049,0.89453125
1636508164.6044037,2099,0.9375
1636508165.2288222,2149,0.91015625
1636508165.8618102,2199,0.90625
1636508166.5163977,2249,0.90234375
1636508167.1565838,2299,0.8828125
1636508167.7860186,2349,0.890625
1636508168.4066627,2399,0.9296875
1636508169.5688403,2449,0.9140625
1636508170.1865277,2499,0.95703125
1636508170.8224494,2549,0.8671875
1636508171.465153,2599,0.8671875
1636508172.1233687,2649,0.91796875
1636508172.7669015,2699,0.85546875
1636508173.3997366,2749,0.890625
1636508174.5799942,2799,0.9140625
1636508175.2086866,2849,0.91015625
1636508175.8556185,2899,0.8828125
1636508176.4948897,2949,0.90625
1636508177.1255682,2999,0.859375
1636508177.7775462,3049,0.88671875
1636508178.4122694,3099,0.8828125
1636508179.5347428,3149,0.88671875
1636508180.155852,3199,0.88671875
1636508180.7933254,3249,0.9140625
1636508181.4395661,3299,0.90234375
1636508182.064634,3349,0.9140625
1636508182.6893957,3399,0.9140625
1636508183.3291695,3449,0.90234375
1636508184.4858258,3499,0.9375
1636508185.1217644,3549,0.90625
1636508185.7680342,3599,0.90625
1636508186.4506526,3649,0.9296875
1636508187.093174,3699,0.8984375
1636508187.7388046,3749,0.90625
1636508188.3782856,3799,0.875
1636508189.4972074,3849,0.91796875
1636508190.1372957,3899,0.921875
1636508190.7687526,3949,0.92578125
1636508191.3952525,3999,0.9296875
1636508192.0528996,4049,0.88671875
1636508192.6963854,4099,0.8828125
1636508193.3275175,4149,0.89453125
1636508194.4605296,4199,0.9296875
1636508195.102454,4249,0.9375
1636508195.7314844,4299,0.953125
1636508196.3518078,4349,0.95703125
1636508196.9965334,4399,0.91796875
1636508197.6200767,4449,0.9296875
1636508198.7695222,4499,0.93359375
1636508199.4127624,4549,0.9140625
1636508200.0448878,4599,0.9296875
1636508200.6856508,4649,0.95703125
1636508201.305398,4699,0.92578125
1636508201.9372354,4749,0.9296875
1636508202.5524902,4799,0.93359375
