Wall time,Step,Value
1636509700.7965994,49,0.40625
1636509701.457283,99,0.453125
1636509702.1356204,149,0.375
1636509702.7967405,199,0.37109375
1636509703.438048,249,0.42578125
1636509704.100991,299,0.45703125
1636509704.789668,349,0.55859375
1636509705.4799263,399,0.515625
1636509707.1498308,449,0.6328125
1636509707.8058105,499,0.59765625
1636509708.4569948,549,0.68359375
1636509709.1085393,599,0.640625
1636509709.7609138,649,0.6796875
1636509710.4732118,699,0.70703125
1636509711.1771119,749,0.7109375
1636509711.8361733,799,0.73828125
1636509713.503525,849,0.8125
1636509714.2504764,899,0.79296875
1636509714.9217272,949,0.796875
1636509715.5776317,999,0.81640625
1636509716.2360034,1049,0.76171875
1636509716.941458,1099,0.81640625
1636509717.582881,1149,0.81640625
1636509718.2417636,1199,0.84765625
1636509719.9710824,1249,0.8125
1636509720.6450663,1299,0.859375
1636509721.286656,1349,0.8515625
1636509721.979362,1399,0.8125
1636509722.6554832,1449,0.8359375
1636509723.3115468,1499,0.8203125
1636509723.956855,1549,0.89453125
1636509724.5984986,1599,0.84765625
1636509726.2827635,1649,0.890625
1636509726.945425,1699,0.89453125
1636509727.586182,1749,0.890625
1636509728.2364833,1799,0.890625
1636509728.8884091,1849,0.8828125
1636509729.5255344,1899,0.85546875
1636509730.1887672,1949,0.81640625
1636509730.8315504,1999,0.875
1636509732.5205195,2049,0.86328125
1636509733.1674216,2099,0.87109375
1636509733.8292406,2149,0.90234375
1636509734.4956446,2199,0.890625
1636509735.1722772,2249,0.84375
1636509735.8238122,2299,0.859375
1636509736.4569595,2349,0.859375
1636509737.1014547,2399,0.8359375
1636509738.348208,2449,0.90625
1636509739.0527008,2499,0.875
1636509739.7072735,2549,0.8828125
1636509740.3662443,2599,0.8828125
1636509741.022472,2649,0.86328125
1636509741.68456,2699,0.828125
1636509742.3545432,2749,0.87890625
1636509743.0154688,2799,0.87109375
1636509744.2350254,2849,0.84375
1636509744.8790379,2899,0.87890625
1636509745.520257,2949,0.84375
1636509746.1638453,2999,0.89453125
1636509746.8067136,3049,0.85546875
1636509747.4876661,3099,0.81640625
1636509748.1615272,3149,0.8046875
1636509748.8248556,3199,0.80859375
1636509750.0651636,3249,0.875
1636509750.7218077,3299,0.8984375
1636509751.376531,3349,0.8671875
1636509752.0227113,3399,0.88671875
1636509752.677635,3449,0.84375
1636509753.3295662,3499,0.875
1636509753.9800658,3549,0.84375
1636509754.6304297,3599,0.84375
1636509755.9208796,3649,0.875
1636509756.5752807,3699,0.88671875
1636509757.2113366,3749,0.859375
1636509757.8394349,3799,0.89453125
1636509758.4897811,3849,0.8359375
1636509759.1208076,3899,0.85546875
1636509759.7832706,3949,0.86328125
1636509760.4502342,3999,0.87890625
1636509761.1149194,4049,0.8666666746139526
1636509762.3135664,4099,0.890625
1636509762.9393747,4149,0.859375
1636509763.5973358,4199,0.859375
1636509764.290183,4249,0.85546875
1636509764.9605336,4299,0.90234375
1636509765.5914323,4349,0.86328125
1636509766.2707686,4399,0.84765625
1636509766.9111354,4449,0.8828125
1636509768.0965667,4499,0.87109375
1636509768.7368047,4549,0.859375
1636509769.3850229,4599,0.88671875
1636509770.0465357,4649,0.8515625
1636509770.6840775,4699,0.859375
1636509771.3267624,4749,0.89453125
1636509772.0062468,4799,0.91796875
1636509772.6621594,4849,0.8671875
1636509773.8971288,4899,0.91015625
1636509774.5393562,4949,0.890625
1636509775.186009,4999,0.921875
1636509775.8272507,5049,0.859375
1636509776.476864,5099,0.87109375
1636509777.123277,5149,0.875
1636509777.7550914,5199,0.90234375
1636509778.4102213,5249,0.89453125
1636509779.6758366,5299,0.92578125
1636509780.3198152,5349,0.88671875
1636509780.959075,5399,0.9140625
1636509781.6061854,5449,0.921875
1636509782.2548513,5499,0.9140625
1636509782.91944,5549,0.91796875
1636509783.5635984,5599,0.87890625
1636509784.2461278,5649,0.89453125
1636509785.8908656,5699,0.9375
1636509786.5477,5749,0.91015625
1636509787.209603,5799,0.921875
1636509787.8540304,5849,0.86328125
1636509788.5231602,5899,0.8984375
1636509789.1810083,5949,0.91796875
1636509789.853008,5999,0.8984375
