Wall time,Step,Value
1636495056.4300985,49,0.67578125
1636495057.0671706,99,0.77734375
1636495057.700724,149,0.76953125
1636495058.340008,199,0.796875
1636495058.9715586,249,0.84765625
1636495059.5939105,299,0.8828125
1636495060.2216847,349,0.84765625
1636495060.8892937,399,0.875
1636495062.524427,449,0.9140625
1636495063.164529,499,0.890625
1636495063.810043,549,0.9296875
1636495064.471304,599,0.9453125
1636495065.0992417,649,0.93359375
1636495065.733044,699,0.953125
1636495066.423145,749,0.9453125
1636495067.0412948,799,0.9453125
1636495068.616175,849,0.96875
1636495069.3422966,899,0.94921875
1636495069.9846263,949,0.96484375
1636495070.6300666,999,0.9453125
1636495071.269073,1049,0.96875
1636495071.9559867,1099,0.9453125
1636495072.6070561,1149,0.95703125
1636495073.253168,1199,0.93359375
1636495074.4845886,1249,0.9609375
1636495075.1371326,1299,0.91796875
1636495075.7722797,1349,0.94921875
1636495076.409375,1399,0.96875
1636495077.0368226,1449,0.91015625
1636495077.6809752,1499,0.95703125
1636495078.320454,1549,0.95703125
1636495078.9590561,1599,0.90234375
1636495080.156971,1649,0.90625
1636495080.8121006,1699,0.9375
1636495081.4551635,1749,0.8828125
1636495082.0976555,1799,0.921875
1636495082.730069,1849,0.921875
1636495083.3751593,1899,0.91015625
1636495084.011934,1949,0.859375
1636495084.652073,1999,0.91796875
1636495085.8345082,2049,0.90234375
1636495086.4821324,2099,0.90234375
1636495087.1111672,2149,0.921875
1636495087.7541964,2199,0.89453125
1636495088.4023764,2249,0.9140625
1636495089.0245097,2299,0.88671875
1636495089.6502783,2349,0.8515625
1636495090.2864044,2399,0.85546875
1636495091.4872591,2449,0.90234375
1636495092.1190984,2499,0.8984375
1636495092.7591884,2549,0.8671875
1636495093.38939,2599,0.8671875
1636495094.0179865,2649,0.8671875
1636495094.6400273,2699,0.85546875
1636495095.2760303,2749,0.8203125
1636495095.9072242,2799,0.80859375
1636495097.081208,2849,0.875
1636495097.7049115,2899,0.875
1636495098.3678846,2949,0.84765625
1636495099.0102592,2999,0.84765625
1636495099.6400464,3049,0.828125
1636495100.2613633,3099,0.875
1636495100.8961623,3149,0.8671875
1636495101.5406184,3199,0.85546875
1636495102.775757,3249,0.875
1636495103.4206388,3299,0.90234375
1636495104.04766,3349,0.86328125
1636495104.6829178,3399,0.8984375
1636495105.3134615,3449,0.8515625
1636495105.9456115,3499,0.890625
1636495106.5896466,3549,0.8359375
1636495107.2144446,3599,0.85546875
1636495108.4638705,3649,0.8359375
1636495109.0897717,3699,0.88671875
1636495109.7212076,3749,0.890625
1636495110.3622127,3799,0.8828125
1636495110.9942524,3849,0.8671875
1636495111.6764076,3899,0.86328125
1636495112.3043027,3949,0.87890625
1636495112.930038,3999,0.890625
1636495113.6103566,4049,0.8666666746139526
1636495114.8080022,4099,0.921875
1636495115.4586196,4149,0.84765625
1636495116.097623,4199,0.8828125
1636495116.7413287,4249,0.8984375
1636495117.412324,4299,0.85546875
1636495118.0552042,4349,0.859375
1636495118.7111802,4399,0.83984375
1636495119.3597817,4449,0.859375
1636495120.5477245,4499,0.90234375
1636495121.181965,4549,0.90234375
1636495121.8270614,4599,0.84765625
1636495122.4992466,4649,0.890625
1636495123.1383798,4699,0.85546875
1636495123.7790134,4749,0.875
1636495124.4301481,4799,0.88671875
1636495125.0800636,4849,0.86328125
