Wall time,Step,Value
1636494416.1396837,49,0.6875
1636494416.7790534,99,0.69921875
1636494417.4097524,149,0.70703125
1636494418.1689086,199,0.76953125
1636494418.8295496,249,0.78125
1636494419.4629095,299,0.765625
1636494420.0970926,349,0.78515625
1636494420.730332,399,0.80078125
1636494422.3873644,449,0.8203125
1636494423.0176437,499,0.859375
1636494423.648515,549,0.83984375
1636494424.2998765,599,0.83203125
1636494424.9135525,649,0.875
1636494425.535264,699,0.875
1636494426.2091033,749,0.890625
1636494426.8541932,799,0.88671875
1636494428.4352252,849,0.8984375
1636494429.064715,899,0.921875
1636494429.69486,949,0.91015625
1636494430.321423,999,0.94140625
1636494430.9560623,1049,0.9453125
1636494431.61919,1099,0.91796875
1636494432.2857327,1149,0.9453125
1636494432.9330602,1199,0.91796875
1636494433.5703037,1249,0.91015625
1636494435.165537,1299,0.93359375
1636494435.794204,1349,0.9453125
1636494436.420213,1399,0.9296875
1636494437.0662148,1449,0.9296875
1636494437.6925113,1499,0.93359375
1636494438.3340592,1549,0.93359375
1636494438.9560244,1599,0.9140625
1636494439.5822525,1649,0.89453125
1636494441.1725326,1699,0.921875
1636494441.7974584,1749,0.94140625
1636494442.4336855,1799,0.91015625
1636494443.0806959,1849,0.91796875
1636494443.7153816,1899,0.94140625
1636494444.3514795,1949,0.921875
1636494444.9700885,1999,0.91015625
1636494445.6146674,2049,0.92578125
1636494446.28109,2099,0.91015625
1636494447.504269,2149,0.9296875
1636494448.1405706,2199,0.9375
1636494448.7795277,2249,0.93359375
1636494449.404825,2299,0.90234375
1636494450.0878923,2349,0.90234375
1636494450.7226133,2399,0.8984375
1636494451.3456964,2449,0.8984375
1636494451.9767292,2499,0.8984375
1636494453.1794872,2549,0.90234375
1636494453.805562,2599,0.9296875
1636494454.4362373,2649,0.8984375
1636494455.062204,2699,0.87890625
1636494455.6753726,2749,0.91796875
1636494456.3046608,2799,0.9140625
1636494456.938029,2849,0.93359375
1636494457.5688381,2899,0.8828125
1636494458.2030785,2949,0.90625
1636494459.4254072,2999,0.9375
1636494460.0753715,3049,0.890625
1636494460.7151887,3099,0.91796875
1636494461.3572812,3149,0.8828125
1636494461.9944072,3199,0.87890625
1636494462.622636,3249,0.859375
1636494463.2864404,3299,0.91796875
1636494463.9222908,3349,0.921875
1636494465.1207728,3399,0.89453125
1636494465.7571113,3449,0.921875
1636494466.4030228,3499,0.9296875
1636494467.0645518,3549,0.90234375
1636494467.699669,3599,0.9140625
1636494468.34957,3649,0.87890625
1636494468.9988024,3699,0.90234375
1636494469.6219032,3749,0.94921875
1636494470.8430464,3799,0.87109375
1636494471.4633946,3849,0.9140625
1636494472.1123052,3899,0.953125
1636494472.7795577,3949,0.9296875
1636494473.4202836,3999,0.9375
1636494474.0677829,4049,0.921875
1636494474.7167308,4099,0.90625
1636494475.3632932,4149,0.91796875
1636494476.002242,4199,0.90625
1636494477.2032464,4249,0.90625
1636494477.8350391,4299,0.90625
1636494478.4814093,4349,0.9296875
1636494479.1101103,4399,0.91796875
1636494479.780872,4449,0.9140625
1636494480.4426155,4499,0.9140625
1636494481.0919595,4549,0.92578125
1636494481.7214086,4599,0.9140625
1636494482.9485312,4649,0.94140625
1636494483.591417,4699,0.8984375
1636494484.2286508,4749,0.90625
1636494484.857555,4799,0.8984375
1636494485.475109,4849,0.90234375
1636494486.098428,4899,0.91015625
1636494486.7903738,4949,0.91015625
1636494487.467599,4999,0.91015625
1636494488.0950675,5049,0.9140625
1636494489.3084831,5099,0.9375
1636494489.933275,5149,0.93359375
1636494490.6466908,5199,0.9140625
1636494491.2790587,5249,0.93359375
1636494491.921972,5299,0.90234375
1636494492.586204,5349,0.91015625
1636494493.2235444,5399,0.9296875
1636494493.914885,5449,0.94140625
1636494495.1008618,5499,0.94140625
1636494495.7416239,5549,0.9453125
1636494496.3850071,5599,0.9453125
1636494497.0203624,5649,0.9609375
1636494497.6324055,5699,0.94921875
1636494498.2835743,5749,0.91015625
1636494498.9139347,5799,0.93359375
1636494499.5711389,5849,0.9375
1636494500.1946163,5899,0.91796875
