Wall time,Step,Value
1636509020.5283005,49,0.65234375
1636509021.1594453,99,0.703125
1636509021.8015053,149,0.79296875
1636509022.4624233,199,0.82421875
1636509023.1117113,249,0.8203125
1636509023.788788,299,0.84375
1636509024.436193,349,0.859375
1636509025.0942109,399,0.88671875
1636509026.7274172,449,0.9296875
1636509027.3671727,499,0.91796875
1636509028.02287,549,0.921875
1636509028.6932352,599,0.94140625
1636509029.3374453,649,0.96484375
1636509029.9996645,699,0.94140625
1636509030.6413794,749,0.96484375
1636509031.2858746,799,0.94921875
1636509032.872196,849,0.94921875
1636509033.5180695,899,0.95703125
1636509034.2321727,949,0.94921875
1636509034.879393,999,0.9765625
1636509035.5287018,1049,0.9609375
1636509036.170846,1099,0.97265625
1636509036.9011343,1149,0.94921875
1636509037.5392191,1199,0.95703125
1636509038.7804294,1249,0.984375
1636509039.4204757,1299,0.95703125
1636509040.0768816,1349,0.9765625
1636509040.740696,1399,0.95703125
1636509041.3806405,1449,0.9375
1636509042.0170312,1499,0.93359375
1636509042.650041,1549,0.90625
1636509043.2952175,1599,0.9375
1636509044.5347474,1649,0.91796875
1636509045.214551,1699,0.92578125
1636509045.8674479,1749,0.8828125
1636509046.5291762,1799,0.9140625
1636509047.1763558,1849,0.89453125
1636509047.8333418,1899,0.90625
1636509048.498471,1949,0.89453125
1636509049.1587574,1999,0.875
1636509050.3862672,2049,0.91796875
1636509051.0440056,2099,0.89453125
1636509051.6852388,2149,0.91796875
1636509052.3692803,2199,0.875
1636509053.022395,2249,0.85546875
1636509053.655921,2299,0.8515625
1636509054.29935,2349,0.875
1636509054.9501925,2399,0.87890625
1636509056.1599672,2449,0.8671875
1636509056.7882884,2499,0.890625
1636509057.4337838,2549,0.86328125
1636509058.095259,2599,0.80859375
1636509058.7347677,2649,0.875
1636509059.3883984,2699,0.8125
1636509060.0320742,2749,0.85546875
1636509060.6731641,2799,0.828125
1636509061.9126816,2849,0.88671875
1636509062.5501986,2899,0.83984375
1636509063.1999245,2949,0.87109375
1636509063.8430548,2999,0.859375
1636509064.4825423,3049,0.890625
1636509065.1293747,3099,0.8828125
1636509065.7710848,3149,0.8671875
1636509066.42336,3199,0.87109375
1636509067.635508,3249,0.8671875
1636509068.290367,3299,0.87109375
1636509068.966622,3349,0.828125
1636509069.6134539,3399,0.87890625
1636509070.2405207,3449,0.87890625
1636509070.8792572,3499,0.875
1636509071.525344,3549,0.8515625
1636509072.172935,3599,0.81640625
1636509073.4731305,3649,0.85546875
1636509074.1149135,3699,0.8515625
1636509074.7615132,3749,0.85546875
1636509075.3999896,3799,0.859375
1636509076.0278208,3849,0.8515625
1636509076.6695855,3899,0.90625
1636509077.311824,3949,0.84375
1636509077.9780939,3999,0.8671875
1636509078.6457667,4049,0.8606060743331909
1636509079.8764749,4099,0.91015625
1636509080.5390313,4149,0.859375
1636509081.1781518,4199,0.85546875
1636509081.8219962,4249,0.8515625
1636509082.4574106,4299,0.8671875
1636509083.1099992,4349,0.8671875
1636509083.753327,4399,0.89453125
1636509084.4103186,4449,0.875
1636509085.6094577,4499,0.8828125
1636509086.257594,4549,0.8671875
1636509086.8950164,4599,0.921875
1636509087.5328257,4649,0.83203125
1636509088.1792722,4699,0.85546875
1636509088.8600712,4749,0.859375
1636509089.5001898,4799,0.86328125
1636509090.158588,4849,0.87890625
