Wall time,Step,Value
1636508734.6882048,49,0.6796875
1636508735.3624086,99,0.68359375
1636508736.148556,149,0.7578125
1636508736.7924879,199,0.73046875
1636508737.4314685,249,0.7734375
1636508738.0804136,299,0.78125
1636508738.7399457,349,0.78125
1636508739.3805027,399,0.80078125
1636508741.057978,449,0.8671875
1636508741.7046063,499,0.890625
1636508742.3481147,549,0.86328125
1636508742.9872763,599,0.859375
1636508743.6595132,649,0.8984375
1636508744.3227546,699,0.9140625
1636508744.9785602,749,0.91015625
1636508745.6094563,799,0.92578125
1636508746.2404852,849,0.97265625
1636508747.9271538,899,0.9375
1636508748.5963945,949,0.97265625
1636508749.2418911,999,0.953125
1636508749.923022,1049,0.984375
1636508750.5570524,1099,0.96875
1636508751.2116978,1149,0.94921875
1636508751.8704472,1199,0.94140625
1636508752.5019853,1249,0.94140625
1636508753.1545763,1299,0.96875
1636508754.8029735,1349,0.96484375
1636508755.4727705,1399,0.98046875
1636508756.121579,1449,0.9609375
1636508756.7848735,1499,0.9765625
1636508757.4382622,1549,0.953125
1636508758.0903096,1599,0.9453125
1636508758.7206686,1649,0.953125
1636508759.36664,1699,0.94921875
1636508760.0156207,1749,0.95703125
1636508761.270352,1799,0.9765625
1636508761.9411423,1849,0.9609375
1636508762.5771387,1899,0.98046875
1636508763.2167819,1949,0.94921875
1636508763.8662112,1999,0.96484375
1636508764.520051,2049,0.9453125
1636508765.1749632,2099,0.953125
1636508765.8620424,2149,0.96484375
1636508767.0959642,2199,0.96484375
1636508767.7337205,2249,0.98046875
1636508768.3900242,2299,0.9375
1636508769.0615244,2349,0.9609375
1636508769.7015853,2399,0.9609375
1636508770.339812,2449,0.95703125
1636508770.9867256,2499,0.95703125
1636508771.6301875,2549,0.95703125
1636508772.2951365,2599,0.953125
1636508773.5188346,2649,0.9609375
1636508774.1745412,2699,0.953125
1636508774.8368244,2749,0.9296875
1636508775.5277007,2799,0.93359375
1636508776.1833935,2849,0.92578125
1636508776.8440719,2899,0.94140625
1636508777.4771168,2949,0.96484375
1636508778.1264403,2999,0.9375
1636508778.787178,3049,0.9375
1636508780.0375512,3099,0.93359375
1636508780.7064602,3149,0.96484375
1636508781.333426,3199,0.9609375
1636508781.9766705,3249,0.953125
1636508782.6164708,3299,0.9609375
1636508783.2678452,3349,0.93359375
1636508783.9239717,3399,0.953125
1636508784.578413,3449,0.91796875
1636508785.2278996,3499,0.95703125
1636508786.4828806,3549,0.953125
1636508787.148726,3599,0.96484375
1636508787.7881415,3649,0.94921875
1636508788.4525242,3699,0.9453125
1636508789.0971138,3749,0.9609375
1636508789.7420375,3799,0.9453125
1636508790.3807385,3849,0.9296875
1636508791.0258868,3899,0.94921875
1636508791.670254,3949,0.953125
1636508792.8750312,3999,0.9765625
1636508793.5305333,4049,0.93359375
1636508794.188882,4099,0.9375
1636508794.8664787,4149,0.94921875
1636508795.511794,4199,0.921875
1636508796.1644573,4249,0.94140625
1636508796.8142571,4299,0.9609375
1636508797.4668682,4349,0.95703125
1636508798.7204301,4399,0.953125
1636508799.4010696,4449,0.9609375
1636508800.0366983,4499,0.94140625
1636508800.67855,4549,0.95703125
1636508801.3300707,4599,0.94921875
1636508801.9647784,4649,0.9765625
1636508802.6026063,4699,0.98046875
1636508803.2673411,4749,0.9609375
1636508803.938334,4799,0.94921875
1636508805.2534838,4849,0.9609375
1636508805.9028883,4899,0.98046875
1636508806.5423307,4949,0.96484375
1636508807.1869893,4999,0.95703125
1636508807.832216,5049,0.9453125
1636508808.5535426,5099,0.98046875
1636508809.2041948,5149,0.953125
1636508809.8400314,5199,0.97265625
1636508810.4660547,5249,0.94921875
1636508811.69864,5299,0.96875
1636508812.35041,5349,0.953125
1636508813.0570142,5399,0.9609375
1636508813.7274196,5449,0.9609375
1636508814.394083,5499,0.96875
1636508815.1276615,5549,0.96484375
1636508815.8048978,5599,0.953125
1636508816.4637241,5649,0.95703125
1636508817.1089318,5699,0.96484375
