Wall time,Step,Value
1636502930.5681877,49,0.296875
1636502931.2085662,99,0.3125
1636502931.8418128,149,0.42578125
1636502932.4791954,199,0.42578125
1636502933.1181684,249,0.515625
1636502933.7459693,299,0.5
1636502935.3455672,349,0.5546875
1636502936.002435,399,0.5390625
1636502936.6597242,449,0.60546875
1636502937.30821,499,0.578125
1636502937.955476,549,0.65234375
1636502938.5961797,599,0.6015625
1636502939.2486892,649,0.64453125
1636502940.8454087,699,0.7109375
1636502941.4913483,749,0.66015625
1636502942.13383,799,0.625
1636502942.7756221,849,0.6796875
1636502943.4155853,899,0.69140625
1636502944.0630739,949,0.7265625
1636502944.7145429,999,0.67578125
1636502946.2807693,1049,0.7109375
1636502946.9231796,1099,0.7109375
1636502947.595018,1149,0.71484375
1636502948.251607,1199,0.71484375
1636502948.8801541,1249,0.73046875
1636502949.5201042,1299,0.6796875
1636502950.1522276,1349,0.70703125
1636502951.7033954,1399,0.71875
1636502952.3284194,1449,0.73828125
1636502952.973925,1499,0.76953125
1636502953.61111,1549,0.76953125
1636502954.2372482,1599,0.7421875
1636502954.86467,1649,0.7421875
1636502955.4959908,1699,0.75390625
1636502957.0274644,1749,0.77734375
1636502957.6747696,1799,0.796875
1636502958.3251262,1849,0.6875
1636502958.958213,1899,0.703125
1636502959.6073282,1949,0.73828125
1636502960.2513065,1999,0.72265625
1636502960.8841968,2049,0.75
1636502962.4832368,2099,0.8046875
1636502963.1352572,2149,0.74609375
1636502963.7701406,2199,0.7265625
1636502964.4132037,2249,0.73828125
1636502965.0495706,2299,0.72265625
1636502965.693795,2349,0.7890625
1636502966.3404288,2399,0.74609375
1636502967.5144634,2449,0.77734375
1636502968.1885524,2499,0.78515625
1636502968.8391418,2549,0.77734375
1636502969.4992142,2599,0.72265625
1636502970.1495018,2649,0.7421875
1636502970.8041503,2699,0.7265625
1636502971.9838574,2749,0.7890625
1636502972.6327891,2799,0.796875
1636502973.2875042,2849,0.7421875
1636502973.9205377,2899,0.8359375
1636502974.5702899,2949,0.7578125
1636502975.2240763,2999,0.74609375
1636502975.8652806,3049,0.703125
1636502977.0690377,3099,0.81640625
1636502977.7199557,3149,0.78515625
1636502978.3634155,3199,0.74609375
1636502979.014158,3249,0.7578125
1636502979.642556,3299,0.72265625
1636502980.2713144,3349,0.734375
1636502980.9060113,3399,0.72265625
1636502982.0779238,3449,0.796875
1636502982.6989522,3499,0.8125
1636502983.336749,3549,0.7578125
1636502983.9821782,3599,0.7265625
1636502984.610787,3649,0.73828125
1636502985.251307,3699,0.7890625
1636502985.873938,3749,0.765625
1636502987.0533402,3799,0.75390625
1636502987.6987991,3849,0.8125
1636502988.3391416,3899,0.765625
1636502988.9722476,3949,0.75
1636502989.6157908,3999,0.78515625
1636502990.2519224,4049,0.77734375
1636502990.8924465,4099,0.765625
1636502992.066107,4149,0.83203125
1636502992.7114294,4199,0.76171875
1636502993.3491554,4249,0.73046875
1636502993.983325,4299,0.78125
1636502994.6097732,4349,0.76953125
1636502995.2629979,4399,0.71875
1636502995.9028838,4449,0.69140625
1636502997.0572543,4499,0.8046875
1636502997.684955,4549,0.76171875
1636502998.3293028,4599,0.8046875
1636502999.016588,4649,0.8125
1636502999.7146387,4699,0.80859375
1636503000.3543744,4749,0.76171875
1636503000.9916017,4799,0.72265625
1636503002.2303596,4849,0.79296875
1636503002.9308386,4899,0.796875
1636503003.5587828,4949,0.7890625
1636503004.1861837,4999,0.796875
1636503004.8847191,5049,0.7734375
1636503005.5392802,5099,0.76953125
1636503007.0760899,5149,0.7890625
1636503007.7208297,5199,0.80859375
1636503008.3675008,5249,0.76953125
1636503009.0106814,5299,0.7578125
1636503009.6467893,5349,0.78515625
1636503010.2731497,5399,0.76171875
1636503010.8912416,5449,0.80859375
1636503012.020736,5499,0.76953125
1636503012.6615393,5549,0.78125
1636503013.3066895,5599,0.78515625
1636503013.9429414,5649,0.77734375
1636503014.5739033,5699,0.7890625
1636503015.2045856,5749,0.76953125
1636503015.8519473,5799,0.77734375
1636503017.0156682,5849,0.828125
1636503017.6567874,5899,0.75
1636503018.2942436,5949,0.78125
1636503018.933898,5999,0.75390625
1636503019.5667279,6049,0.79296875
1636503020.1961703,6099,0.8125
1636503020.824005,6149,0.74609375
1636503021.9782465,6199,0.8203125
1636503022.609819,6249,0.76171875
1636503023.2441335,6299,0.8046875
1636503023.875028,6349,0.77734375
1636503024.4977229,6399,0.7890625
1636503025.1319606,6449,0.75390625
1636503025.7617693,6499,0.83984375
