Wall time,Step,Value
1636505945.2149503,49,0.41796875
1636505945.8841271,99,0.50390625
1636505946.560819,149,0.48828125
1636505947.23709,199,0.49609375
1636505948.1060786,249,0.53515625
1636505948.7604885,299,0.5859375
1636505949.42163,349,0.5234375
1636505950.0832076,399,0.63671875
1636505951.8604136,449,0.58203125
1636505952.5440717,499,0.6171875
1636505953.2388115,549,0.66796875
1636505953.9073195,599,0.66796875
1636505954.58163,649,0.70703125
1636505955.2499013,699,0.71484375
1636505955.9143865,749,0.70703125
1636505956.592183,799,0.734375
1636505958.3273065,849,0.75390625
1636505959.0076876,899,0.71875
1636505959.6850724,949,0.78125
1636505960.3664675,999,0.80078125
1636505961.0492082,1049,0.77734375
1636505961.7148774,1099,0.78515625
1636505962.4072828,1149,0.80078125
1636505963.0737798,1199,0.7734375
1636505964.7651806,1249,0.82421875
1636505965.453669,1299,0.8359375
1636505966.1291697,1349,0.796875
1636505966.8122299,1399,0.8203125
1636505967.5017471,1449,0.81640625
1636505968.1705728,1499,0.8515625
1636505968.829682,1549,0.828125
1636505969.4956768,1599,0.82421875
1636505971.1595445,1649,0.86328125
1636505971.8392358,1699,0.83984375
1636505972.518253,1749,0.85546875
1636505973.1770937,1799,0.8515625
1636505973.861034,1849,0.83984375
1636505974.5040746,1899,0.86328125
1636505975.1516705,1949,0.87890625
1636505975.7870054,1999,0.87109375
1636505977.5422883,2049,0.8828125
1636505978.2194748,2099,0.91015625
1636505978.884431,2149,0.84765625
1636505979.5548394,2199,0.90234375
1636505980.218904,2249,0.85546875
1636505980.896706,2299,0.83984375
1636505981.5728397,2349,0.8359375
1636505982.2539248,2399,0.890625
1636505983.5071437,2449,0.8671875
1636505984.1729233,2499,0.8984375
1636505984.841786,2549,0.90625
1636505985.5183365,2599,0.875
1636505986.2015984,2649,0.84765625
1636505986.8874335,2699,0.88671875
1636505987.546912,2749,0.83984375
1636505988.1964893,2799,0.8046875
1636505989.4804146,2849,0.89453125
1636505990.1447868,2899,0.88671875
1636505990.7971692,2949,0.88671875
1636505991.5054073,2999,0.8828125
1636505992.1919987,3049,0.8515625
1636505992.8715274,3099,0.8046875
1636505993.5414917,3149,0.8515625
1636505994.210452,3199,0.87109375
1636505995.4657483,3249,0.91015625
1636505996.1371267,3299,0.90625
1636505996.8123116,3349,0.859375
1636505997.5322976,3399,0.84375
1636505998.2286265,3449,0.88671875
1636505998.9071853,3499,0.83203125
1636505999.6020286,3549,0.84375
1636506000.2898142,3599,0.828125
1636506001.610942,3649,0.859375
1636506002.3388755,3699,0.88671875
1636506003.0372605,3749,0.84765625
1636506003.7363305,3799,0.8515625
1636506004.423397,3849,0.86328125
1636506005.1215587,3899,0.8125
1636506005.8090289,3949,0.82421875
1636506006.4926467,3999,0.85546875
1636506007.2105165,4049,0.8545454740524292
1636506008.4587936,4099,0.88671875
1636506009.1561747,4149,0.89453125
1636506009.8397048,4199,0.89453125
1636506010.5243816,4249,0.8359375
1636506011.2045076,4299,0.8515625
1636506011.8734615,4349,0.8359375
1636506012.5446975,4399,0.87109375
1636506013.2101822,4449,0.8828125
1636506014.4657521,4499,0.87109375
1636506015.1483295,4549,0.8515625
1636506015.8348048,4599,0.84765625
1636506016.5241282,4649,0.83203125
1636506017.201769,4699,0.8671875
1636506017.87568,4749,0.875
1636506018.5750356,4799,0.86328125
1636506019.2357473,4849,0.87109375
1636506020.5084236,4899,0.83203125
1636506021.1493473,4949,0.86328125
1636506021.7971053,4999,0.85546875
1636506022.4584076,5049,0.8359375
1636506023.1150813,5099,0.859375
1636506023.8148024,5149,0.7890625
1636506024.5016437,5199,0.82421875
1636506025.2772927,5249,0.86328125
1636506026.5710847,5299,0.89453125
1636506027.234856,5349,0.86328125
1636506027.9083197,5399,0.83203125
1636506028.6598654,5449,0.890625
1636506029.3227136,5499,0.8515625
1636506029.983098,5549,0.8515625
1636506030.6819081,5599,0.859375
1636506031.3610225,5649,0.84375
1636506032.8235693,5699,0.8515625
1636506033.5339832,5749,0.88671875
1636506034.1826665,5799,0.8671875
1636506034.838582,5849,0.8046875
1636506035.5129464,5899,0.859375
1636506036.1594827,5949,0.86328125
1636506036.8567884,5999,0.875
1636506037.5349095,6049,0.8515625
