Wall time,Step,Value
1636505471.9772937,49,0.43359375
1636505472.6274557,99,0.5390625
1636505473.3170824,149,0.546875
1636505473.978391,199,0.5
1636505474.6506393,249,0.54296875
1636505475.298066,299,0.53125
1636505475.944581,349,0.546875
1636505476.6050267,399,0.609375
1636505477.2539723,449,0.65234375
1636505478.9988365,499,0.65625
1636505479.6745381,549,0.69140625
1636505480.3624773,599,0.6640625
1636505481.0188427,649,0.6640625
1636505481.6716475,699,0.671875
1636505482.3486948,749,0.69921875
1636505483.0112798,799,0.7265625
1636505483.6688967,849,0.71484375
1636505484.3350368,899,0.77734375
1636505484.9735072,949,0.734375
1636505486.6649754,999,0.82421875
1636505487.341435,1049,0.78515625
1636505488.0188258,1099,0.82421875
1636505488.679866,1149,0.8046875
1636505489.3294482,1199,0.8125
1636505489.984739,1249,0.80859375
1636505490.6424813,1299,0.8203125
1636505491.3021562,1349,0.83984375
1636505491.9558241,1399,0.82421875
1636505493.6279705,1449,0.8203125
1636505494.2815628,1499,0.8671875
1636505494.9266143,1549,0.87109375
1636505495.5997312,1599,0.85546875
1636505496.2540226,1649,0.83203125
1636505496.900928,1699,0.83203125
1636505497.5301852,1749,0.8515625
1636505498.1720014,1799,0.84765625
1636505498.8006296,1849,0.87890625
1636505499.4547296,1899,0.91015625
1636505501.1362371,1949,0.8828125
1636505501.7906816,1999,0.89453125
1636505502.4457195,2049,0.890625
1636505503.0925972,2099,0.89453125
1636505503.7403035,2149,0.890625
1636505504.3989074,2199,0.90625
1636505505.0415645,2249,0.859375
1636505505.6913216,2299,0.8515625
1636505506.3343928,2349,0.89453125
1636505508.0097644,2399,0.89453125
1636505508.672747,2449,0.90234375
1636505509.3155458,2499,0.8984375
1636505509.9653573,2549,0.8984375
1636505510.6099386,2599,0.875
1636505511.2608223,2649,0.88671875
1636505511.9204526,2699,0.86328125
1636505512.6445096,2749,0.890625
1636505513.2825556,2799,0.86328125
1636505513.9350119,2849,0.875
1636505515.2273898,2899,0.90625
1636505515.875926,2949,0.87890625
1636505516.6137238,2999,0.875
1636505517.2507617,3049,0.890625
1636505517.9210708,3099,0.90234375
1636505518.5942469,3149,0.85546875
1636505519.2406132,3199,0.83984375
1636505519.9773233,3249,0.86328125
1636505520.6214724,3299,0.8671875
1636505521.9165974,3349,0.89453125
1636505522.5685408,3399,0.9375
1636505523.2136645,3449,0.91015625
1636505523.8614106,3499,0.91015625
1636505524.5072024,3549,0.88671875
1636505525.1559954,3599,0.87109375
1636505525.8118918,3649,0.8828125
1636505526.4372518,3699,0.87890625
1636505527.070103,3749,0.8828125
1636505527.7357166,3799,0.87890625
1636505528.971256,3849,0.87890625
1636505529.6082902,3899,0.88671875
1636505530.2403245,3949,0.90234375
1636505530.8750696,3999,0.9140625
1636505531.5165603,4049,0.90625
1636505532.1638017,4099,0.87890625
1636505532.79221,4149,0.85546875
1636505533.4696615,4199,0.84765625
1636505534.137859,4249,0.83984375
1636505535.4440567,4299,0.8828125
1636505536.088992,4349,0.859375
1636505536.7273073,4399,0.8828125
1636505537.3622682,4449,0.91015625
1636505537.9980536,4499,0.8515625
1636505538.6522942,4549,0.88671875
1636505539.308242,4599,0.86328125
1636505539.9694946,4649,0.8515625
1636505540.6043358,4699,0.875
1636505541.2407484,4749,0.828125
1636505542.4827044,4799,0.88671875
1636505543.129109,4849,0.89453125
1636505543.7802517,4899,0.92578125
1636505544.4369988,4949,0.8515625
1636505545.0823293,4999,0.83203125
1636505545.7337103,5049,0.87109375
1636505546.3678176,5099,0.82421875
1636505547.0113473,5149,0.890625
1636505547.6764805,5199,0.87890625
1636505548.9592252,5249,0.91796875
1636505549.608016,5299,0.859375
1636505550.2664156,5349,0.88671875
1636505550.912712,5399,0.87109375
1636505551.5428348,5449,0.8984375
1636505552.175928,5499,0.875
1636505552.822095,5549,0.8984375
1636505553.4645472,5599,0.8828125
1636505554.1075103,5649,0.82421875
1636505554.7452805,5699,0.875
1636505556.0055642,5749,0.86328125
1636505556.6414666,5799,0.8515625
1636505557.2801366,5849,0.890625
1636505557.9230733,5899,0.87890625
1636505558.583353,5949,0.8359375
1636505559.2163203,5999,0.84765625
1636505559.8582044,6049,0.9140625
1636505560.5186515,6099,0.875
1636505561.1638036,6149,0.85546875
1636505562.427657,6199,0.84765625
1636505563.0766387,6249,0.8671875
1636505563.7175872,6299,0.87890625
1636505564.3446426,6349,0.87890625
1636505564.9844403,6399,0.92578125
1636505565.629338,6449,0.8671875
1636505566.2791338,6499,0.859375
1636505566.9201245,6549,0.86328125
1636505567.583423,6599,0.88671875
1636505568.2495167,6649,0.8671875
1636505569.5518215,6699,0.91796875
1636505570.2119792,6749,0.89453125
1636505570.8583395,6799,0.85546875
1636505571.509138,6849,0.875
1636505572.148287,6899,0.90625
1636505572.8005152,6949,0.89453125
1636505573.4851367,6999,0.88671875
1636505574.1348674,7049,0.875
1636505574.7804124,7099,0.890625
