Wall time,Step,Value
1636504428.3879862,49,0.515625
1636504429.036273,99,0.48828125
1636504429.6846566,149,0.578125
1636504430.3725843,199,0.5625
1636504431.0459645,249,0.6640625
1636504431.7071865,299,0.671875
1636504433.2975566,349,0.68359375
1636504433.9378853,399,0.75
1636504434.59514,449,0.79296875
1636504435.2539432,499,0.78515625
1636504435.9146528,549,0.828125
1636504436.5700955,599,0.85546875
1636504437.2271488,649,0.8203125
1636504438.81367,699,0.87109375
1636504439.4490137,749,0.86328125
1636504440.1292222,799,0.84765625
1636504440.7821214,849,0.8671875
1636504441.4216342,899,0.83203125
1636504442.0566216,949,0.890625
1636504442.6847944,999,0.87109375
1636504444.251523,1049,0.9296875
1636504444.9404833,1099,0.8984375
1636504445.596394,1149,0.93359375
1636504446.2539253,1199,0.89453125
1636504446.9140654,1249,0.890625
1636504447.5659306,1299,0.9296875
1636504448.2139566,1349,0.88671875
1636504449.7994044,1399,0.953125
1636504450.4722214,1449,0.9140625
1636504451.1457422,1499,0.9453125
1636504451.8193676,1549,0.9375
1636504452.47734,1599,0.875
1636504453.1260467,1649,0.8671875
1636504453.767991,1699,0.8984375
1636504454.992172,1749,0.93359375
1636504455.6364262,1799,0.91796875
1636504456.2941394,1849,0.9453125
1636504456.9593472,1899,0.91015625
1636504457.6276388,1949,0.89453125
1636504458.2932365,1999,0.9140625
1636504458.955897,2049,0.88671875
1636504460.1680746,2099,0.89453125
1636504460.8163042,2149,0.9453125
1636504461.4845612,2199,0.91015625
1636504462.152103,2249,0.91015625
1636504462.8122737,2299,0.85546875
1636504463.4751256,2349,0.87890625
1636504464.1150217,2399,0.85546875
1636504465.3491197,2449,0.9140625
1636504465.9978085,2499,0.91015625
1636504466.6491663,2549,0.83203125
1636504467.2898123,2599,0.87890625
1636504467.9278212,2649,0.88671875
1636504468.5664172,2699,0.85546875
1636504469.7241902,2749,0.890625
1636504470.3573027,2799,0.890625
1636504471.0110629,2849,0.87890625
1636504471.6655707,2899,0.875
1636504472.314039,2949,0.87109375
1636504472.9680245,2999,0.859375
1636504473.5973356,3049,0.83203125
