Wall time,Step,Value
1636506196.2081475,49,0.5390625
1636506196.8864775,99,0.63671875
1636506197.5599413,149,0.69140625
1636506198.2284849,199,0.6796875
1636506198.8969688,249,0.78125
1636506199.5736585,299,0.78125
1636506201.2519865,349,0.84375
1636506201.9315798,399,0.7890625
1636506202.615683,449,0.8203125
1636506203.2818878,499,0.86328125
1636506203.9549417,549,0.8359375
1636506204.629434,599,0.83984375
1636506205.310301,649,0.875
1636506206.9731824,699,0.890625
1636506207.6199834,749,0.8671875
1636506208.2963796,799,0.8984375
1636506208.9996536,849,0.90625
1636506209.6894789,899,0.875
1636506210.3681123,949,0.88671875
1636506211.0370162,999,0.85546875
1636506212.6379101,1049,0.90625
1636506213.3000624,1099,0.9375
1636506213.9884892,1149,0.9296875
1636506214.6623406,1199,0.9140625
1636506215.3451324,1249,0.9140625
1636506216.0213656,1299,0.90625
1636506216.685497,1349,0.90625
1636506217.8836493,1399,0.9296875
1636506218.5572743,1449,0.9296875
1636506219.2166233,1499,0.92578125
1636506219.866912,1549,0.953125
1636506220.521118,1599,0.921875
1636506221.1874163,1649,0.8671875
1636506221.8866837,1699,0.8984375
1636506223.114561,1749,0.94140625
1636506223.7710922,1799,0.9375
1636506224.421271,1849,0.91796875
1636506225.0961764,1899,0.92578125
1636506225.761344,1949,0.91796875
1636506226.4265716,1999,0.90234375
1636506227.0927167,2049,0.89453125
1636506228.316156,2099,0.92578125
1636506228.9728053,2149,0.9296875
1636506229.639457,2199,0.9296875
1636506230.3142624,2249,0.85546875
1636506230.9776974,2299,0.8984375
1636506231.6393163,2349,0.90234375
1636506232.285196,2399,0.8515625
1636506233.5178113,2449,0.9140625
1636506234.1721964,2499,0.90234375
1636506234.8442132,2549,0.8828125
1636506235.519211,2599,0.8359375
1636506236.1758728,2649,0.875
1636506236.8344328,2699,0.87890625
