Wall time,Step,Value
1636505700.0112205,49,0.54296875
1636505700.6753323,99,0.5859375
1636505701.3154397,149,0.58984375
1636505701.969902,199,0.63671875
1636505702.61218,249,0.62109375
1636505703.2397997,299,0.67578125
1636505704.8025765,349,0.73046875
1636505705.4438312,399,0.75390625
1636505706.093994,449,0.75390625
1636505706.7455142,499,0.78515625
1636505707.3984287,549,0.76953125
1636505708.0424922,599,0.76953125
1636505708.6736293,649,0.86328125
1636505710.2610958,699,0.8671875
1636505710.9196434,749,0.86328125
1636505711.5951667,799,0.83203125
1636505712.2580817,849,0.90234375
1636505712.9096527,899,0.87109375
1636505713.5515573,949,0.8828125
1636505714.195652,999,0.88671875
1636505715.7897067,1049,0.9140625
1636505716.436869,1099,0.9453125
1636505717.0617638,1149,0.89453125
1636505717.7029755,1199,0.91796875
1636505718.3409038,1249,0.90234375
1636505718.9895527,1299,0.8828125
1636505719.6316211,1349,0.90625
1636505721.2782328,1399,0.91015625
1636505721.9328814,1449,0.921875
1636505722.5577621,1499,0.94921875
1636505723.1822424,1549,0.91015625
1636505723.8105404,1599,0.890625
1636505724.440075,1649,0.89453125
1636505725.0867517,1699,0.8828125
1636505726.2549307,1749,0.9375
1636505726.902027,1799,0.9140625
1636505727.5538795,1849,0.9453125
1636505728.2147303,1899,0.90234375
1636505728.8653982,1949,0.93359375
1636505729.505649,1999,0.8828125
1636505730.16576,2049,0.8984375
1636505731.3576286,2099,0.91796875
1636505732.0298738,2149,0.91015625
1636505732.6727035,2199,0.91796875
1636505733.330939,2249,0.9140625
1636505733.9862628,2299,0.89453125
1636505734.6377344,2349,0.87109375
1636505735.2890196,2399,0.87109375
1636505736.5211554,2449,0.9296875
1636505737.1786168,2499,0.90234375
1636505737.8365302,2549,0.921875
1636505738.4975088,2599,0.84765625
1636505739.1535418,2649,0.83984375
1636505739.8066785,2699,0.89453125
1636505740.9774892,2749,0.875
1636505741.6372008,2799,0.8984375
1636505742.277811,2849,0.88671875
1636505742.918136,2899,0.87109375
1636505743.5742147,2949,0.8203125
1636505744.2129788,2999,0.8984375
1636505744.8482313,3049,0.82421875
