Wall time,Step,Value
1636308282.8824275,49,0.4921875
1636308283.6246614,99,0.5625
1636308284.3680587,149,0.60546875
1636308285.1302452,199,0.578125
1636308285.9320018,249,0.5859375
1636308286.6758747,299,0.6328125
1636308288.6324716,349,0.66796875
1636308289.4424393,399,0.73046875
1636308290.2564561,449,0.71875
1636308291.0318515,499,0.7734375
1636308291.8151743,549,0.82421875
1636308292.563404,599,0.7890625
1636308293.3258984,649,0.80078125
1636308295.247012,699,0.86328125
1636308296.0470896,749,0.859375
1636308296.836373,799,0.79296875
1636308297.6251702,849,0.85546875
1636308298.393836,899,0.875
1636308299.2139266,949,0.890625
1636308299.9890196,999,0.91015625
1636308302.0679877,1049,0.87109375
1636308302.8624384,1099,0.8828125
1636308303.6349897,1149,0.890625
1636308304.4167352,1199,0.89453125
1636308305.2249708,1249,0.8984375
1636308306.016749,1299,0.90625
1636308306.797601,1349,0.90234375
1636308308.8390868,1399,0.92578125
1636308309.6616697,1449,0.94921875
1636308310.4484336,1499,0.91015625
1636308311.273713,1549,0.88671875
1636308312.0577843,1599,0.94140625
1636308312.8492465,1649,0.90625
1636308313.6657257,1699,0.85546875
1636308315.1947548,1749,0.921875
1636308315.9210908,1799,0.9296875
1636308316.6824095,1849,0.91015625
1636308317.4410026,1899,0.87109375
1636308318.1963382,1949,0.91015625
1636308319.0290837,1999,0.91015625
1636308319.8391683,2049,0.88671875
1636308321.290122,2099,0.921875
1636308322.0735142,2149,0.91015625
1636308322.9444675,2199,0.87890625
1636308323.6963506,2249,0.87890625
1636308324.5311847,2299,0.90234375
1636308325.2937226,2349,0.90234375
1636308326.0986972,2399,0.84375
1636308327.5812948,2449,0.93359375
1636308328.3227093,2499,0.89453125
1636308329.098719,2549,0.8671875
1636308329.8713682,2599,0.890625
1636308330.621289,2649,0.84375
1636308331.4011989,2699,0.87890625
1636308332.1743567,2749,0.91796875
1636308333.653522,2799,0.92578125
1636308334.3897355,2849,0.87890625
1636308335.2226493,2899,0.94140625
1636308335.9572303,2949,0.8984375
1636308336.7242358,2999,0.8984375
1636308337.5404418,3049,0.890625
1636308338.28962,3099,0.9375
1636308339.7957563,3149,0.921875
1636308340.5509894,3199,0.94140625
1636308341.2956862,3249,0.890625
1636308342.0583813,3299,0.91796875
1636308342.8241615,3349,0.92578125
1636308343.576298,3399,0.89453125
1636308344.3447652,3449,0.9140625
1636308345.8992724,3499,0.92578125
1636308346.6448574,3549,0.921875
1636308347.4066124,3599,0.89453125
1636308348.1621358,3649,0.890625
1636308348.9301264,3699,0.9296875
1636308349.6702285,3749,0.9140625
1636308350.4073048,3799,0.91015625
1636308351.9356608,3849,0.921875
1636308352.6755023,3899,0.91015625
1636308353.4782321,3949,0.9375
1636308354.2586937,3999,0.8828125
1636308355.0658243,4049,0.9296875
1636308355.81567,4099,0.92578125
1636308356.5797622,4149,0.9140625
1636308358.0288973,4199,0.94140625
1636308358.8109982,4249,0.93359375
1636308359.6001232,4299,0.9140625
1636308360.3953454,4349,0.953125
1636308361.1467009,4399,0.9296875
1636308361.894102,4449,0.9375
1636308363.4477391,4499,0.9453125
1636308364.2054346,4549,0.9453125
1636308364.9684098,4599,0.94140625
1636308365.7306309,4649,0.9296875
1636308366.4775891,4699,0.921875
1636308367.247296,4749,0.91015625
1636308368.01509,4799,0.93359375
