Wall time,Step,Value
1636308610.665432,49,0.390625
1636308611.6026263,99,0.43359375
1636308612.4564192,149,0.41796875
1636308613.2425425,199,0.48046875
1636308613.9908407,249,0.4609375
1636308614.7294827,299,0.46484375
1636308615.4976943,349,0.5234375
1636308616.2606802,399,0.51953125
1636308618.21933,449,0.546875
1636308619.0455158,499,0.625
1636308619.8330112,549,0.68359375
1636308620.6128924,599,0.67578125
1636308621.3839245,649,0.74609375
1636308622.1706147,699,0.703125
1636308622.972196,749,0.78125
1636308623.7264879,799,0.765625
1636308625.7789795,849,0.78125
1636308626.605972,899,0.828125
1636308627.4353025,949,0.76171875
1636308628.2280905,999,0.86328125
1636308628.9961662,1049,0.80859375
1636308629.7618287,1099,0.7890625
1636308630.5239444,1149,0.8125
1636308631.3061938,1199,0.81640625
1636308633.4447014,1249,0.8203125
1636308634.2666788,1299,0.859375
1636308635.0377414,1349,0.87109375
1636308635.8154974,1399,0.83984375
1636308636.598117,1449,0.83984375
1636308637.4196222,1499,0.80078125
1636308638.2433805,1549,0.86328125
1636308639.0038323,1599,0.81640625
1636308640.992058,1649,0.8671875
1636308641.8268383,1699,0.890625
1636308642.6477284,1749,0.8359375
1636308643.4976254,1799,0.85546875
1636308644.2601466,1849,0.83984375
1636308645.0370562,1899,0.8671875
1636308645.802885,1949,0.86328125
1636308646.606042,1999,0.828125
1636308648.7418804,2049,0.89453125
1636308649.504517,2099,0.8515625
1636308650.2972279,2149,0.84765625
1636308651.0675876,2199,0.83984375
1636308651.8303986,2249,0.81640625
1636308652.5981922,2299,0.84375
1636308653.4062746,2349,0.796875
1636308654.1646216,2399,0.8125
1636308655.6418757,2449,0.82421875
1636308656.3911161,2499,0.80078125
1636308657.190582,2549,0.86328125
1636308657.963245,2599,0.8203125
1636308658.7171712,2649,0.8125
1636308659.504724,2699,0.796875
1636308660.2759228,2749,0.80859375
1636308661.0567276,2799,0.8125
1636308662.5940437,2849,0.84765625
1636308663.3454106,2899,0.828125
1636308664.0961561,2949,0.80859375
1636308664.8709145,2999,0.828125
1636308665.6810703,3049,0.84375
1636308666.4380393,3099,0.84375
1636308667.260831,3149,0.7734375
1636308668.0305135,3199,0.828125
1636308669.5730982,3249,0.80078125
1636308670.3456929,3299,0.859375
1636308671.1335156,3349,0.85546875
1636308671.9258368,3399,0.8359375
1636308672.7036133,3449,0.84375
1636308673.5118263,3499,0.86328125
1636308674.3116271,3549,0.83203125
1636308675.1226318,3599,0.83984375
