Wall time,Step,Value
1636308176.9460065,49,0.5703125
1636308177.7384915,99,0.51171875
1636308178.4990218,149,0.55078125
1636308179.319405,199,0.6015625
1636308180.0917716,249,0.61328125
1636308180.8369586,299,0.6640625
1636308181.5700808,349,0.671875
1636308182.3415375,399,0.6875
1636308184.3763268,449,0.7421875
1636308185.1495318,499,0.76953125
1636308185.9324427,549,0.80078125
1636308186.7324114,599,0.85546875
1636308187.4803648,649,0.8671875
1636308188.2602952,699,0.890625
1636308189.0277011,749,0.87890625
1636308189.769402,799,0.8828125
1636308190.5207381,849,0.90625
1636308192.5829163,899,0.9375
1636308193.4073308,949,0.9453125
1636308194.1852555,999,0.9375
1636308194.9737542,1049,0.95703125
1636308195.782253,1099,0.94921875
1636308196.5510387,1149,0.96484375
1636308197.3232932,1199,0.9765625
1636308198.1514766,1249,0.9609375
1636308198.9499812,1299,0.9609375
1636308201.1427495,1349,0.95703125
1636308201.952409,1399,0.97265625
1636308202.7542896,1449,0.9765625
1636308203.5685318,1499,0.96484375
1636308204.356988,1549,0.9765625
1636308205.124229,1599,0.953125
1636308205.8758492,1649,0.94921875
1636308206.643123,1699,0.95703125
1636308207.440258,1749,0.95703125
1636308208.969712,1799,0.96875
1636308209.74324,1849,0.9609375
1636308210.493549,1899,0.9609375
1636308211.230215,1949,0.96484375
1636308212.0091171,1999,0.96484375
1636308212.7736573,2049,0.9765625
1636308213.5866766,2099,0.953125
1636308214.3725471,2149,0.94140625
1636308215.9301805,2199,0.96875
1636308216.676095,2249,0.96875
1636308217.4469502,2299,0.94921875
1636308218.2604568,2349,0.9609375
1636308219.0753188,2399,0.9609375
1636308219.8560102,2449,0.9296875
1636308220.609406,2499,0.953125
1636308221.3926687,2549,0.94140625
1636308222.2088575,2599,0.9609375
1636308223.7369843,2649,0.96484375
1636308224.500842,2699,0.9296875
1636308225.2550335,2749,0.94921875
1636308225.9868662,2799,0.96484375
1636308226.758237,2849,0.953125
1636308227.5426586,2899,0.9609375
1636308228.4052494,2949,0.96484375
1636308229.1523254,2999,0.95703125
1636308229.91599,3049,0.93359375
1636308231.4380145,3099,0.94921875
1636308232.2012327,3149,0.953125
1636308233.058717,3199,0.91015625
1636308233.8862274,3249,0.94140625
1636308234.6192725,3299,0.94921875
1636308235.4062161,3349,0.9296875
1636308236.2106745,3399,0.9609375
1636308236.982717,3449,0.9375
1636308237.748736,3499,0.9375
1636308239.2791002,3549,0.96875
1636308240.0509715,3599,0.94921875
1636308240.8370745,3649,0.96484375
1636308241.6033022,3699,0.953125
1636308242.3824284,3749,0.95703125
1636308243.1318364,3799,0.94921875
1636308243.8890436,3849,0.9453125
1636308244.6519783,3899,0.94140625
1636308245.4759119,3949,0.94921875
1636308246.9937558,3999,0.9296875
1636308247.7468286,4049,0.94921875
1636308248.4980836,4099,0.953125
1636308249.250613,4149,0.91015625
1636308250.0164504,4199,0.93359375
1636308250.752882,4249,0.9609375
1636308251.5432434,4299,0.9453125
1636308252.3053772,4349,0.984375
1636308253.8027368,4399,0.90234375
1636308254.567108,4449,0.95703125
1636308255.33751,4499,0.97265625
1636308256.0806777,4549,0.953125
1636308256.8432574,4599,0.95703125
1636308257.6322942,4649,0.953125
1636308258.381372,4699,0.96875
1636308259.1421018,4749,0.9453125
1636308259.9409144,4799,0.94921875
1636308261.4675405,4849,0.984375
1636308262.2597833,4899,0.94140625
1636308263.0605707,4949,0.97265625
1636308263.8067539,4999,0.9296875
1636308264.605591,5049,0.96484375
1636308265.361875,5099,0.9765625
1636308266.1608577,5149,0.984375
1636308266.9508314,5199,0.9609375
1636308267.7363336,5249,0.95703125
1636308269.2548258,5299,0.96875
1636308269.992897,5349,0.95703125
1636308270.785083,5399,0.97265625
1636308271.5788577,5449,0.95703125
1636308272.3622158,5499,0.98046875
1636308273.1157315,5549,0.9453125
1636308273.8591979,5599,0.96484375
1636308274.6309998,5649,0.953125
1636308275.41168,5699,0.96875
