Wall time,Step,Value
1637693183.5994005,49,0.72265625
1637693184.330909,99,0.80859375
1637693185.0827184,149,0.8203125
1637693185.8133278,199,0.85546875
1637693186.534264,249,0.85546875
1637693187.27395,299,0.87890625
1637693188.0159526,349,0.91015625
1637693188.7451074,399,0.921875
1637693189.4794526,449,0.95703125
1637693191.3878403,499,0.93359375
1637693192.1587977,549,0.96875
1637693192.8924804,599,0.92578125
1637693193.6371508,649,0.96484375
1637693194.4062772,699,0.95703125
1637693195.129486,749,0.94921875
1637693195.8436413,799,0.9453125
1637693196.5896862,849,0.97265625
1637693197.3187041,899,0.9765625
1637693198.0579093,949,0.9453125
1637693199.9993544,999,0.9765625
1637693200.751613,1049,0.9765625
1637693201.493233,1099,0.9765625
1637693202.2285802,1149,0.96484375
1637693202.9523711,1199,0.96875
1637693203.7105472,1249,0.97265625
1637693204.4469154,1299,0.96875
1637693205.1840808,1349,0.9609375
1637693205.9386668,1399,0.94921875
1637693207.3724406,1449,0.9609375
1637693208.0975072,1499,0.96484375
1637693208.8199818,1549,0.9609375
1637693209.559057,1599,0.9296875
1637693210.3023589,1649,0.9609375
1637693211.013535,1699,0.95703125
1637693211.740859,1749,0.96484375
1637693212.523344,1799,0.953125
1637693213.2613084,1849,0.9140625
1637693214.0366397,1899,0.9375
1637693215.5435467,1949,0.9296875
1637693216.308474,1999,0.90234375
1637693217.0450058,2049,0.953125
1637693217.8029368,2099,0.9296875
1637693218.5736084,2149,0.90234375
1637693219.330554,2199,0.91796875
1637693220.0698328,2249,0.91796875
1637693220.8270822,2299,0.9140625
1637693221.5784812,2349,0.8828125
1637693223.088885,2399,0.94140625
1637693223.9475176,2449,0.91796875
1637693224.6753583,2499,0.921875
1637693225.4094722,2549,0.8984375
1637693226.1739042,2599,0.90625
1637693226.9317274,2649,0.890625
1637693227.6610248,2699,0.91796875
1637693228.4109542,2749,0.890625
1637693229.1779017,2799,0.90625
1637693229.93026,2849,0.86328125
1637693231.4227197,2899,0.90234375
1637693232.1338153,2949,0.9140625
1637693232.868317,2999,0.93359375
1637693233.5906193,3049,0.87890625
1637693234.3087199,3099,0.90625
1637693235.0610905,3149,0.87890625
1637693235.7960832,3199,0.890625
1637693236.5377936,3249,0.90234375
1637693237.3246014,3299,0.8828125
1637693238.8314993,3349,0.90625
1637693239.5683482,3399,0.9140625
1637693240.3100445,3449,0.88671875
1637693241.0453832,3499,0.8671875
1637693241.797805,3549,0.8828125
1637693242.5191522,3599,0.890625
1637693243.278419,3649,0.88671875
1637693244.031735,3699,0.90234375
1637693244.8613389,3749,0.8828125
1637693245.6043742,3799,0.89453125
1637693247.1148977,3849,0.88671875
1637693247.8252563,3899,0.9140625
1637693248.6284208,3949,0.89453125
1637693249.4511313,3999,0.91796875
1637693250.1837842,4049,0.89453125
1637693250.9210632,4099,0.89453125
1637693251.6982818,4149,0.90234375
1637693252.401302,4199,0.84375
1637693253.1455698,4249,0.8828125
1637693254.6269226,4299,0.84765625
1637693255.3590925,4349,0.921875
1637693256.0817342,4399,0.91015625
1637693256.7815542,4449,0.90234375
1637693257.5362232,4499,0.91015625
1637693258.266102,4549,0.9140625
1637693259.0052214,4599,0.8515625
1637693259.7506196,4649,0.9140625
1637693260.4982045,4699,0.9453125
1637693261.2242923,4749,0.890625
1637693262.726651,4799,0.953125
1637693263.4801195,4849,0.9296875
1637693264.2238884,4899,0.9140625
1637693264.955904,4949,0.94140625
1637693265.6686254,4999,0.8984375
1637693266.4052742,5049,0.9140625
1637693267.1872997,5099,0.875
1637693267.931581,5149,0.890625
1637693268.6883938,5199,0.92578125
1637693270.2072,5249,0.95703125
1637693270.954027,5299,0.92578125
1637693271.6818345,5349,0.921875
1637693272.4087865,5399,0.91796875
1637693273.1536758,5449,0.90625
1637693273.8908093,5499,0.91796875
1637693274.6440725,5549,0.921875
1637693275.4123127,5599,0.9140625
1637693276.1364896,5649,0.8984375
1637693276.8619223,5699,0.91796875
1637693278.3378224,5749,0.92578125
1637693279.072109,5799,0.93359375
1637693279.8564663,5849,0.921875
1637693280.580494,5899,0.921875
1637693281.2966864,5949,0.9140625
1637693282.05256,5999,0.921875
1637693282.799318,6049,0.90234375
1637693283.5503466,6099,0.89453125
1637693284.3254364,6149,0.890625
1637693285.7737403,6199,0.88671875
1637693286.5017977,6249,0.92578125
1637693287.2411096,6299,0.921875
1637693287.9653182,6349,0.91796875
1637693288.7079966,6399,0.9375
1637693289.4541178,6449,0.94921875
1637693290.1855152,6499,0.9375
1637693290.9099917,6549,0.9140625
1637693291.6532547,6599,0.9375
1637693292.3854284,6649,0.90625
1637693293.8980596,6699,0.94921875
1637693294.6203249,6749,0.953125
1637693295.3418784,6799,0.90234375
1637693296.1049488,6849,0.9140625
1637693296.815648,6899,0.9140625
1637693297.5305297,6949,0.94140625
1637693298.2676923,6999,0.9296875
1637693298.9920447,7049,0.91796875
1637693299.7267005,7099,0.9140625
1637693301.2276237,7149,0.91796875
1637693301.9730673,7199,0.93359375
1637693302.7080438,7249,0.953125
1637693303.426061,7299,0.921875
1637693304.1543367,7349,0.95703125
1637693304.891927,7399,0.96484375
1637693305.6193507,7449,0.94921875
1637693306.3551867,7499,0.921875
1637693307.101433,7549,0.93359375
1637693307.8123264,7599,0.9453125
1637693309.3103683,7649,0.9375
1637693310.0539393,7699,0.91796875
1637693310.7759748,7749,0.95703125
1637693311.5620537,7799,0.93359375
1637693312.311517,7849,0.93359375
1637693313.0516708,7899,0.9609375
1637693313.8282342,7949,0.92578125
1637693314.561787,7999,0.9375
1637693315.3741143,8049,0.9296875
