Wall time,Step,Value
1637693758.1131008,49,0.5625
1637693758.85666,99,0.56640625
1637693759.601658,149,0.6328125
1637693760.3496678,199,0.59375
1637693761.1263812,249,0.625
1637693761.8606532,299,0.65234375
1637693762.6309733,349,0.71484375
1637693763.4323769,399,0.75
1637693764.1994238,449,0.703125
1637693766.1416552,499,0.74609375
1637693766.8876057,549,0.7890625
1637693767.6441605,599,0.7734375
1637693768.3744059,649,0.80078125
1637693769.1502142,699,0.81640625
1637693769.8784282,749,0.8359375
1637693770.6281629,799,0.87890625
1637693771.4048655,849,0.85546875
1637693772.1392653,899,0.83984375
1637693772.8840714,949,0.85546875
1637693774.8684528,999,0.890625
1637693775.6465445,1049,0.8984375
1637693776.3732097,1099,0.90234375
1637693777.1160097,1149,0.88671875
1637693777.8789024,1199,0.9140625
1637693778.6239712,1249,0.9140625
1637693779.403078,1299,0.890625
1637693780.1679127,1349,0.875
1637693780.914944,1399,0.88671875
1637693782.8477128,1449,0.921875
1637693783.6558867,1499,0.91015625
1637693784.4308217,1549,0.91015625
1637693785.1870313,1599,0.87890625
1637693785.907183,1649,0.93359375
1637693786.6610656,1699,0.921875
1637693787.4184115,1749,0.8984375
1637693788.1709728,1799,0.88671875
1637693788.9391966,1849,0.90625
1637693789.7356389,1899,0.87109375
1637693791.7102234,1949,0.96484375
1637693792.4610178,1999,0.9296875
1637693793.21783,2049,0.9140625
1637693794.0206149,2099,0.9296875
1637693794.7653127,2149,0.8828125
1637693795.5311701,2199,0.90625
1637693796.3123164,2249,0.91796875
1637693797.0560904,2299,0.9375
1637693797.7746327,2349,0.8828125
1637693799.3139808,2399,0.90625
1637693800.094272,2449,0.91015625
1637693800.8893278,2499,0.90234375
1637693801.633888,2549,0.8984375
1637693802.3600407,2599,0.8984375
1637693803.1418586,2649,0.91015625
1637693803.8758218,2699,0.88671875
1637693804.627906,2749,0.90625
1637693805.4072018,2799,0.921875
1637693806.1721878,2849,0.85546875
1637693807.6812224,2899,0.8984375
1637693808.4845626,2949,0.92578125
1637693809.2096128,2999,0.890625
1637693809.953799,3049,0.88671875
1637693810.6961284,3099,0.90234375
1637693811.4342072,3149,0.8984375
1637693812.198038,3199,0.89453125
1637693812.95514,3249,0.8671875
1637693813.6988661,3299,0.91015625
1637693815.2761056,3349,0.890625
1637693816.0334847,3399,0.90234375
1637693816.792429,3449,0.91015625
1637693817.5318623,3499,0.87890625
1637693818.3027449,3549,0.8671875
1637693819.060824,3599,0.875
1637693819.8055305,3649,0.90234375
1637693820.5434535,3699,0.8828125
1637693821.3660066,3749,0.88671875
1637693822.0975082,3799,0.8828125
1637693823.760728,3849,0.890625
1637693824.5786722,3899,0.8984375
1637693825.3383148,3949,0.8984375
1637693826.0839553,3999,0.890625
1637693826.919596,4049,0.89453125
1637693827.6531854,4099,0.9140625
1637693828.4017775,4149,0.875
1637693829.1826768,4199,0.8984375
1637693829.9360967,4249,0.88671875
1637693831.3937297,4299,0.86328125
1637693832.1361709,4349,0.90625
1637693832.9047358,4399,0.87890625
1637693833.6610317,4449,0.8984375
1637693834.459901,4499,0.94140625
1637693835.2138374,4549,0.890625
1637693835.9547336,4599,0.87109375
1637693836.711336,4649,0.87109375
1637693837.4613516,4699,0.90625
1637693838.2381504,4749,0.875
1637693839.7694378,4799,0.859375
1637693840.535841,4849,0.8984375
1637693841.3352334,4899,0.9453125
1637693842.090537,4949,0.87109375
1637693842.8638144,4999,0.93359375
1637693843.6925182,5049,0.90234375
1637693844.4767528,5099,0.9140625
1637693845.2275152,5149,0.90625
1637693846.0112627,5199,0.921875
1637693847.5510952,5249,0.9375
1637693848.3176572,5299,0.92578125
1637693849.0837736,5349,0.9140625
1637693849.8682353,5399,0.91015625
1637693850.6256754,5449,0.94140625
1637693851.3655636,5499,0.8828125
1637693852.1136115,5549,0.88671875
1637693852.8667376,5599,0.90625
1637693853.6400845,5649,0.90234375
1637693854.4339259,5699,0.8984375
1637693855.973954,5749,0.9375
1637693856.7132566,5799,0.9296875
1637693857.4721067,5849,0.91796875
1637693858.2127001,5899,0.94140625
1637693858.9452705,5949,0.9140625
1637693859.700505,5999,0.92578125
1637693860.447374,6049,0.953125
1637693861.1971827,6099,0.94140625
1637693861.9951115,6149,0.92578125
1637693863.5234172,6199,0.93359375
1637693864.3042018,6249,0.90625
1637693865.0527823,6299,0.95703125
1637693865.7938843,6349,0.91796875
1637693866.5222006,6399,0.94140625
1637693867.2799056,6449,0.9375
1637693868.0372624,6499,0.9140625
1637693868.785678,6549,0.92578125
1637693869.5222144,6599,0.93359375
1637693870.2597454,6649,0.93359375
1637693871.7775383,6699,0.9296875
1637693872.5277843,6749,0.921875
1637693873.338187,6799,0.97265625
1637693874.1036365,6849,0.9296875
1637693874.8550062,6899,0.90234375
1637693875.6210828,6949,0.921875
1637693876.384653,6999,0.921875
1637693877.1344185,7049,0.9296875
1637693877.8840694,7099,0.93359375
1637693879.4388773,7149,0.93359375
1637693880.1934276,7199,0.9375
1637693880.9460664,7249,0.93359375
1637693881.7059367,7299,0.94140625
1637693882.498282,7349,0.92578125
1637693883.3041973,7399,0.94140625
1637693884.0800881,7449,0.921875
1637693884.8243206,7499,0.96484375
1637693885.5804143,7549,0.95703125
1637693886.3313942,7599,0.94140625
1637693887.8264666,7649,0.94140625
1637693888.557544,7699,0.9375
1637693889.3137155,7749,0.9296875
1637693890.0743263,7799,0.97265625
1637693890.8555093,7849,0.94921875
1637693891.591982,7899,0.953125
1637693892.3794382,7949,0.94921875
1637693893.259093,7999,0.953125
1637693894.014604,8049,0.9453125
1637693895.988704,8099,0.953125
1637693896.7569423,8149,0.921875
1637693897.6170328,8199,0.953125
1637693898.449653,8249,0.95703125
1637693899.2255857,8299,0.9609375
1637693900.034026,8349,0.95703125
1637693900.7483711,8399,0.96484375
1637693901.5091796,8449,0.953125
1637693902.2651765,8499,0.9375
1637693903.0174165,8549,0.96484375
1637693904.9750185,8599,0.9453125
1637693905.7204885,8649,0.97265625
1637693906.4728184,8699,0.94921875
1637693907.2710476,8749,0.9453125
1637693908.035306,8799,0.96875
1637693908.7589989,8849,0.96484375
1637693909.490685,8899,0.94921875
1637693910.2606623,8949,0.9296875
1637693911.0171258,8999,0.96875
1637693912.5155642,9049,0.96875
1637693913.2756424,9099,0.96484375
1637693914.0243502,9149,0.984375
1637693914.7560854,9199,0.9453125
1637693915.5462184,9249,0.953125
1637693916.3311772,9299,0.98046875
1637693917.1000776,9349,0.94921875
1637693917.8330717,9399,0.9453125
1637693918.6078618,9449,0.9765625
1637693919.3520005,9499,0.9609375
1637693921.3192208,9549,0.984375
1637693922.081963,9599,0.96484375
1637693922.871051,9649,0.9609375
1637693923.6398785,9699,0.98046875
1637693924.3688455,9749,0.9765625
1637693925.118973,9799,0.98046875
1637693925.8584163,9849,0.98828125
1637693926.5977552,9899,0.95703125
1637693927.327701,9949,0.9609375
1637693929.2669365,9999,0.98828125
1637693930.0700455,10049,0.9921875
1637693930.837838,10099,0.984375
1637693931.5830963,10149,0.98046875
1637693932.3230968,10199,0.984375
1637693933.0743089,10249,0.9765625
1637693933.8102796,10299,0.98046875
1637693934.57519,10349,0.96875
1637693935.3054278,10399,0.9765625
1637693936.0700936,10449,0.9765625
1637693938.0820327,10499,0.99609375
1637693938.9039404,10549,0.9921875
1637693939.6466749,10599,0.9609375
1637693940.3759665,10649,0.9765625
1637693941.148385,10699,0.98828125
1637693941.8749838,10749,0.98828125
1637693942.6222177,10799,0.984375
1637693943.409797,10849,0.9765625
1637693944.150062,10899,0.98046875
1637693946.1261766,10949,0.984375
1637693946.8719265,10999,0.98828125
1637693947.6728122,11049,0.98828125
1637693948.446656,11099,0.984375
1637693949.2004025,11149,0.9921875
1637693949.943508,11199,0.9921875
1637693950.6886616,11249,0.9921875
1637693951.4735594,11299,0.984375
1637693952.2376015,11349,0.98046875
1637693952.988219,11399,0.98046875
